Aspect, Esperanto, Ido, Example
Alphabet, uses diacritics (?  ?  ?  ?  ?  ?) and digraphs[which?], uses digraphs (ch  sh  qu), Translation of "chamber"  "shoe"  and "square": ?ambro / ?uo / kvadrato (Esp.) chambro / shuo / quadrato (Ido)
Gender, masculine by default; feminine optional, gender-neutral by default; masculine and feminine optional, Gender of "elephant": elefanto (default) / elefantino (fem.) (Esp.) elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)
Antonyms, formed by mal- prefix, come from natural vocabulary, Translation of "warm" and "cold": varma / malvarma (Esp.) varma / kolda (Ido)
Infinitives, -i suffix, -ar suffix, Translation of "to go": iri (Esp.) irar (Ido)
Imperative, -u suffix, -ez suffix, Translation of "go!": iru! (Esp.) irez! (Ido)
Plural noun, -oj suffix (agglutinative), -i suffix (synthetic), Plural of domo ("house"): domoj (Esp.) domi (Ido)
Adjectives, Agree with nouns, Not declined, Translation of "big dogs": grandaj hundoj (Esp.) granda hundi (Ido)
Accusative form, Mandatory, Only when object precedes subject, Translation of "I drink milk" / "I milk drink": "mi trinkas lakton" / "mi lakton trinkas" (Esp.) "me drinkas lakto" / "me lakton drinkas" (Ido)
Proper nouns, Sometimes rendered, Never rendered, Translation of "Europe": E?ropo (Esp.) Europa (Ido)
No. of speakers, c. 100 000–2 000 000, c. 100–1 000, 
