uses diacritics (?"""" ?"""" ?"""" ?"""" ?"""" ?) and digraphs,uses digraphs (ch"""" sh"""" qu),Translation of ""chamber"""""" ""shoe"""""" and ""square"": ?ambro / ?uo / kvadrato (Esp.) chambro / shuo / quadrato (Ido)
masculine by default; feminine optional,gender-neutral by default; masculine and feminine optional,Gender of ""elephant"": elefanto (default) / elefantino (fem.) (Esp.) elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)
formed by mal- prefix,come from natural vocabulary,Translation of ""warm"" and ""cold"": varma / malvarma (Esp.) varma / kolda (Ido)
-i suffix,-ar suffix,Translation of ""to go"": iri (Esp.) irar (Ido)
-u suffix,-ez suffix,Translation of ""go!"": iru! (Esp.) irez! (Ido)
-oj suffix (agglutinative),-i suffix (synthetic),Plural of domo (""house""): domoj (Esp.) domi (Ido)
Agree with nouns,Not declined,Translation of ""big dogs"": grandaj hundoj (Esp.) granda hundi (Ido)
Mandatory,Only when object precedes subject,Translation of ""I drink milk"" / ""I milk drink"": ""mi drinkas lakton"" / ""mi lakton drinkas"" (Esp.) ""me drinkas lakto"" / ""me lakton drinkas"" (Ido)
Sometimes rendered,Never rendered,Translation of ""Europe"": E?ropo (Esp.) Europa (Ido)
c. 100""""000–2""""000""""000,c. 100–1""""000,
