Aspect, Esperanto, Interlingua
Type, schematic; designed to be easy to learn, naturalistic; designed to be easy to understand to as many people as possible
Alphabet, uses diacritics (?  ?  ?  ?  ?  ?), does not use diacritics
Orthography, invariable letter-to-phoneme correspondence, letters c  h  g  q  t  and w are variable
Vocabulary sources, mostly Romance and Germanic languages, primary control languages: English  French  Italian  Spanish and Portuguese
Gender, masculine by default; feminine optional, only for third-person pronouns
Antonyms, formed by mal- prefix, dis- for verbs and words derived from verbs  in- for adjectives and words derived from adjectives in addition  certain roots can be prefixed  e.g. mal
Infinitive suffix, -i (invariable), -ar  -er  or -ir
Imperative, -u suffix, same as indicative
Plural noun, -oj (agglutinative), -s (after vowels) -es (after consonants)
Adjectives, agree with nouns, no declension
Accusative form, mandatory  -n, only for personal pronouns
No of speakers, c. 100 000–2 000 000, c. 1 500
