schematic; designed to be easy to learn,naturalistic; designed to be easy to understand to as many people as possible
uses diacritics (?"""" ?"""" ?"""" ?"""" ?"""" ?),does not use diacritics
invariable letter-to-phoneme correspondence,letters c"""" h"""" g"""" q"""" t"""" and w are variable
mostly Romance and Germanic languages,primary control languages: English"""" French"""" Italian"""" Spanish and Portuguese
masculine by default; feminine optional,only for third-person pronouns
formed by mal- prefix,dis- for verbs and words derived from verbs"""" in- for adjectives and words derived from adjectives in addition"""" certain roots can be prefixed"""" e.g. mal
-i (invariable),-ar"""" -er"""" or -ir
-u suffix,same as indicative
-oj (agglutinative),-s (after vowels) -es (after consonants)
agree with nouns,no declination
mandatory"""" -n,only for personal pronouns
c. 100""""000–2""""000""""000,c. 1""""500
