Rank, Country, U.S. equivalents, GDP (Billions of int$)
1, China, United States California, 23 159
2, India, California Texas New York Florida Illinois Oregon, 9 459
3, Japan, California Texas New York Florida, 5 429
4, Germany, California Texas Mississippi, 4 170
5, Russia, California Texas, 4 007
6, Indonesia, California Michigan, 3 244
7, Brazil, California Michigan, 3 240
8, United Kingdom, California Utah, 2 914
9, France, California Hawaii, 2 836
10, Mexico, Texas Pennsylvania, 2 458
11, Italy, Texas New Jersey Vermont, 2 311
12, Turkey, Texas Michigan, 2 173
13, South Korea, Texas Colorado, 2 029
14, Spain, Texas West Virginia, 1 774
15, Saudi Arabia, Texas West Virginia, 1 774
16, Canada, Texas West Virginia, 1 769
17, Iran, New York New Mexico, 1 645
18, Australia, Florida Utah, 1 247
19, Thailand, Florida Nevada, 1 234
20, Egypt, Florida Mississippi, 1 201
21, Taiwan, Florida Mississippi, 1 186
22, Poland, Florida Mississippi, 1 121
23, Nigeria, Florida Mississippi, 1 119
24, Pakistan, Florida, 1 057
25, Malaysia, Illinois Mississippi, 931
26, Argentina, Illinois New Mexico, 920
27, Netherlands, Illinois New Mexico, 916
28, Philippines, Illinois North Dakota, 876
29, South Africa, Ohio Mississippi, 766
30, Colombia, Ohio Maine, 714
31, Bangladesh, Ohio Wyoming, 687
32, UAE, Ohio Wyoming, 687
33, Iraq, Ohio, 659
34, Vietnam, New Jersey Wyoming, 647
35, Algeria, North Carolina, 633
36, Belgium, Massachusetts, 529
37, Singapore, Massachusetts, 527
38, Sweden, Virginia, 521
39, Switzerland, Virginia, 517
40, Romania, Maryland Hawaii, 482
41, Kazakhstan, Maryland New Hampshire, 478
42, Hong Kong, Maryland Maine, 455
—, Chile, Maryland Maine, 451
43, Austria, Maryland South Dakota, 440
44, Peru, Indiana Maine, 424
45, Venezuela, Indiana, 381
46, Norway, Indiana, 381
47, Czech Republic, Indiana, 376
48, Ukraine, Indiana, 369
49, Qatar, Tennessee, 348
50, Ireland, Colorado, 344
