Rank, Country/U.S. state, USD
1, Luxembourg, 105 863
2, Switzerland, 80 637
3, New York, 78 354
4, Delaware, 77 931
5, Massachusetts, 77 433
6, Norway, 75 389
7, North Dakota, 73 214
8, Connecticut, 72 929
9, Alaska, 71 155
10, Iceland, 70 248
11, California, 69 984
12, Washington, 69 478
13, Wyoming, 68 806
14, Ireland, 68 710
15, New Jersey, 66 157
16, Maryland, 65 426
17, Illinois, 64 083
18, Nebraska, 63 852
19, Minnesota, 63 608
20, Colorado, 61 862
21, Hawaii, 61 696
22, Qatar, 61 024
23, Texas, 60 878
24, Iowa, 60 673
25, Virginia, 60 470
26, New Hampshire, 60 321
-, United States, 59 792
27, Pennsylvania, 58 828
28, Singapore, 57 713
29, Oregon, 57 706
30, South Dakota, 57 690
31, Denmark, 56 630
32, Rhode Island, 56 282
33, Wisconsin, 56 078
34, Ohio, 55 890
35, Australia, 55 692
36, Kansas, 54 276
37, Utah, 54 249
38, Indiana, 54 141
39, Georgia (U.S. state), 53 758
40, Nevada, 53 167
41, North Carolina, 53 050
42, Sweden, 52 925
43, Louisiana, 52 602
44, Tennessee, 51 903
45, Vermont, 51 549
46, Michigan, 50 081
47, Missouri, 50 041
48, Netherlands, 48 555
49, Oklahoma, 48 211
50, San Marino, 47 595
51, Austria, 47 347
52, Florida, 46 930
53, New Mexico, 46 655
54, Arizona, 46 147
55, Montana, 46 136
56, Maine, 46 117
57, Finland, 45 927
58, Kentucky, 45 641
59, Canada, 45 094
60, Germany, 44 769
61, South Carolina, 44 162
62, Belgium, 43 488
63, Alabama, 43 377
64, West Virginia, 41 939
65, Arkansas, 41 803
66, Idaho, 41 729
67, New Zealand, 41 572
68, Israel, 40 272
69, France, 39 932
70, United Kingdom, 39 800
71, Japan, 38 448
72, United Arab Emirates, 37 732
73, Mississippi, 37 376
-, European Union, 33 800
74, Italy, 31 996
75, Bahamas, 31 660
76, South Korea, 29 938
77, Spain, 28 358
78, Brunei, 28 278
79, Kuwait, 27 393
80, Malta, 27 326
81, Cyprus, 25 380
82, Bahrain, 24 325
83, Taiwan, 24 292
84, Slovenia, 23 654
85, Portugal, 21 158
86, Saudi Arabia, 21 096
87, Czech Republic, 20 401
88, Estonia, 19 735
89, Greece, 18 637
90, Barbados, 17 757
91, Slovakia, 17 655
92, Saint Kitts and Nevis, 17 397
93, Oman, 17 128
94, Uruguay, 16 941
95, Lithuania, 16 730
96, Antigua and Barbuda, 16 702
97, Trinidad and Tobago, 16 637
98, Palau, 15 980
99, Seychelles, 15 859
100, Latvia, 15 550
101, Panama, 15 089
102, Chile, 15 067
103, Equatorial Guinea, 14 817
104, Argentina, 14 462
105, Hungary, 14 209
106, Poland, 13 821
107, Croatia, 13 271
108, Maldives, 12 527
109, Lebanon, 12 013
110, Costa Rica, 11 728
111, Russia, 10 955
112, Romania, 10 785
-, World, 10 728
113, Turkey, 10 537
114, Mauritius, 10 504
115, Grenada, 10 405
116, Brazil, 9 895
117, Malaysia, 9 755
118, Saint Lucia, 9 606
119, Mexico, 9 318
120, Kazakhstan, 8 762
121, China, 8 643
122, Nauru, 8 574
123, Bulgaria, 8 077
124, Dominica, 7 879
125, Montenegro, 7 678
126, Botswana, 7 584
127, Dominican Republic, 7 477
128, Gabon, 7 373
129, Saint Vincent and the Grenadines, 7 124
130, Venezuela, 6 890
131, Peru, 6 731
132, Turkmenistan, 6 642
133, Thailand, 6 590
134, Colombia, 6 379
135, Ecuador, 6 216
136, South Africa, 6 179
137, Serbia, 5 901
138, Suriname, 5 869
139, Belarus, 5 727
140, Paraguay, 5 600
141, Namibia, 5 589
142, Fiji, 5 527
143, Macedonia, 5 474
144, Iran, 5 289
145, Jamaica, 5 193
146, Bosnia and Herzegovina, 5 180
147, Iraq, 4 950
148, Belize, 4 806
149, Libya, 4 739
150, Guyana, 4 578
151, Albania, 4 544
152, Tonga, 4 520
153, Guatemala, 4 469
154, Angola, 4 465
155, Samoa, 4 258
156, Azerbaijan, 4 140
157, Jordan, 4 135
158, Georgia, 4 085
159, Sri Lanka, 4 073
160, Algeria, 4 033
161, Kosovo, 3 944
162, Swaziland, 3 915
163, El Salvador, 3 894
164, Indonesia, 3 876
165, Armenia, 3 861
166, Mongolia, 3 640
167, Tuvalu, 3 638
168, Marshall Islands, 3 625
169, Tunisia, 3 496
170, Bolivia, 3 353
171, Cape Verde, 3 238
172, Micronesia, 3 200
173, Morocco, 3 151
174, Vanuatu, 3 094
175, Philippines, 2 976
176, Bhutan, 2 903
177, Papua New Guinea, 2 861
178, Honduras, 2 766
179, Ukraine, 2 583
180, Laos, 2 542
181, Egypt, 2 501
182, Vietnam, 2 354
183, Moldova, 2 280
184, Nicaragua, 2 207
185, East Timor, 2 104
186, Solomon Islands, 2 081
187, Nigeria, 1 994
188, Djibouti, 1 989
189, India, 1 983
190, Republic of the Congo, 1 958
191, São Tomé and Príncipe, 1 785
192, Kiribati, 1 721
193, Kenya, 1 702
194, Ghana, 1 663
195, Côte d'Ivoire, 1 617
196, Bangladesh, 1 602
197, Pakistan, 1 541
198, Uzbekistan, 1 491
199, Zambia, 1 480
200, Sudan, 1 428
201, Lesotho, 1 425
202, Cameroon, 1 401
203, Cambodia, 1 390
204, Mauritania, 1 318
205, Myanmar, 1 264
206, Zimbabwe, 1 176
207, Kyrgyzstan, 1 144
208, Senegal, 1 038
209, Tanzania, 1 034
210, Eritrea, 980
211, Ethiopia, 873
212, Nepal, 834
213, Benin, 830
214, Tajikistan, 824
215, Mali, 811
216, Chad, 810
217, Guinea-Bissau, 794
218, Comoros, 788
219, Haiti, 784
220, Rwanda, 772
221, Guinea, 749
222, Liberia, 729
223, Uganda, 699
224, Burkina Faso, 664
225, Togo, 611
226, Afghanistan, 588
227, Yemen, 551
228, Sierra Leone, 491
229, Gambia  The, 480
230, Democratic Republic of the Congo, 478
231, Madagascar, 448
232, Niger, 440
233, Mozambique, 429
234, Central African Republic, 387
235, Malawi, 324
236, Burundi, 312
237, South Sudan, 228
