Product, Paging touch screen, Paging volume key, Backward-forward, Contents table, Bookmarks, Resume, Go to, Search full text, Sync to cloud, Autoscroll by pixel, Autoscroll by line, Autoscroll by page, Scroll speed control, Rolling blind mode, Continuous scrolling
Aldiko Book Reader[14], Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, No, No, No, No, No, ?
AlReader[1], Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, Yes
Bookari[15], Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, No, No, No, Yes
Cool Reader, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, ?, ?, ?, ?, ?, Yes
EBookDroid, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, ?, ?, ?, ?, ?, Yes
Ebook Reader, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, No, No, No, No
eReader Prestigio, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, No, No, No, No
FBReader[16], Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes[17], No, No, No, No, No, No
Google Play Books, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, ?, ?, ?, ?, ?
iReader, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, No, Yes, Yes, Yes, No, ?
Kindle, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, ?, ?, ?, ?, No
Kobo Books, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, No, No, No, No, No, No
KOReader, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, Yes[18], ?, ?, ?, ?, ?, Yes
Lektz eBook Reader[19], Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, No, No, No, ?
Librera, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, Yes, Yes, Yes, No, Yes
Moon+ reader[20], Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
MReader, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, No, No, Yes, No, Yes
PocketBook, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, Yes, No, Yes
Snapplify[21], Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, No, No, No, ?
Socio eReader[22], Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, ?, No, No, No, No, No, ?
Product, Paging touch screen, Paging volume key, Backward-forward, Contents table, Bookmarks, Resume, Go to, Search full text, Sync to cloud, Autoscroll by pixel, Autoscroll by line, Autoscroll by page, Scroll speed control, Rolling blind mode, Continuous scrolling
