
Bangladesh,Space Research and Remote Sensing Organization,SPARRSO,1980,—,No,No,No,No,[126]
People's Republic of China,China National Space Administration (Chinese: ?????),CNSA,22 April 1993,—,Yes,Yes,Yes,Yes,[127]
India,Indian Space Research Organisation (Hindi: ?????? ???????? ???????? ?????),ISRO ????,15 August 1969,—,Yes,Yes,Yes,Yes,[128][129][130]
Indonesia,Indonesian: Lembaga Antariksa dan Penerbangan Nasional (National Institute of Aeronautics and Space),LAPAN,27 November 1964,—,Yes,Yes,Yes,No,[citation needed]
Iran,Iranian Space Agency (Persian: ?????? ????? ??????),ISA,2003,—,No,Yes,Yes,Yes,[131][132][133]
Israel,Israeli Space Agency (Hebrew: ?????? ???? ?????????),ISA ??""?,April 1983,—,Yes,Yes,Yes,No,[citation needed]
Japan,Japan Aerospace Exploration Agency (Japanese: ??????????),JAXA,1 October 2003,—,Yes,Yes,Yes,Yes,[134][135]
Malaysia,Malaysian National Space Agency (Malay: Agensi Angkasa Negara),ANGKASA,2002,—,Yes,Yes,No,No,[136]
North Korea,Korean Committee of Space Technology (Korean: ???????????),KCST,1980s,2013,No,Yes,Yes,No,[137][138][139]
Pakistan,Pakistan Space and Upper Atmosphere Research Commission (Urdu: ??????? ????? ? ???? ????? ???????? ??????),SUPARCO ??????,16 September 1961,—,No,Yes,Yes,No,[citation needed]
Philippines,Philippine Space Agency,PhilSA,8 August 2019,—,No,Yes,No,No,[140]
South Korea,Korea Aerospace Research Institute (Korean: ?????????),KARI,10 October 1989,—,Yes,Yes,Yes,No,[citation needed]
Republic of China,National Space Organization (Chinese: ??????),NSPO,3 October 1991,—,No,Yes,Yes,No,[141]
Thailand,Geo-Informatics and Space Technology Development Agency (Thai: ??????????????????????????????????????????),GISTDA ????,3 November 2002,—,No,Yes,No,No,[142]
