Name, Developer, Software license, Latest stable software release, Operating system, Year (not dynamic  but easier for sorting)
ABC, various, PSFL, 3.1 (October 2  2005; 14 years ago (2005-10-02)[5]), Windows  Linux, 2005
Acquisition, Acquisition, Proprietary, 2.2 (v223) (November 19  2010; 9 years ago (2010-11-19)) [±], macOS, 2010
BitComet, BitComet Development Group, Proprietary  Adware, 1.61 (November 4  2019; 45 days ago (2019-11-04)) [±][6], Windows  macOS, 2018
BitLet, various, ASL, ?, (Java runtime), 2015
BitLord, House of Life, Proprietary  Adware installs WhenU adware, Windows: 2.4.6-343 (August 18  2019; 4 months ago (2019-08-18)) [±] macOS: 2.4.6-343 (August 18  2019; 4 months ago (2019-08-18)) [±], Windows  macOS, 2017
BitTornado, John Hoffman, MIT, 0.3.17 (October 19  2006; 13 years ago (2006-10-19)) [±], Windows  macOS  Linux  BSD, 2006
BitTorrent, BitTorrent, Proprietary  Adware, Windows 7.10.5.45416 / November 21  2019; 28 days ago (2019-11-21)[7] Mac 7.4.3.43797 / September 4  2019; 3 months ago (2019-09-04)[8] Android 6.1.4 / September 27  2019; 2 months ago (2019-09-27)[9], Windows, 7.10.5.45416 / November 21  2019; 28 days ago (2019-11-21)[7], Mac, 7.4.3.43797 / September 4  2019; 3 months ago (2019-09-04)[8], Android, 6.1.4 / September 27  2019; 2 months ago (2019-09-27)[9], Windows  macOS, 2018
Windows, 7.10.5.45416 / November 21  2019; 28 days ago (2019-11-21)[7]
Mac, 7.4.3.43797 / September 4  2019; 3 months ago (2019-09-04)[8]
Android, 6.1.4 / September 27  2019; 2 months ago (2019-09-27)[9]
BitTyrant, University of Washington, GPL, 1.1.1 (September 7  2007; 12 years ago (2007-09-07)[10]) [±], Windows  macOS  Linux, 2007
Blog Torrent, Downhill Battle, GPL, 0.92 (April 20  2005; 14 years ago (2005-04-20)) [±], Windows  macOS, 2005
Deluge, various, GPL, 2.0.3 (June 12  2019; 6 months ago (2019-06-12)) [±], Windows  macOS  Linux  BSD, 2019
FlashGet, Trend Media, Proprietary, 3.7.0.1220 (May 17  2013; 6 years ago (2013-05-17)[11]) [±], Windows, 2013
Folx, Eltima Software, Proprietary  Setapp, 5.0.13709 (March 28  2018; 20 months ago (2018-03-28)) [±][12] 5.0.13493 (May 26  2016; 3 years ago (2016-05-26)) [±], macOS, 2018
Free Download Manager, alervd, Proprietary, 5.1.38 (build 7312) (January 31  2019; 10 months ago (2019-01-31)) [±][13], Windows  macOS, 2018
FrostWire, The FrostWire Project, GPL, 6.8.2 (build 288) (August 31  2019; 3 months ago (2019-08-31)) [±], Windows  macOS  Linux  Android, 2019
KGet, KDE, GPL, 4.14.38 (November 7  2017; 2 years ago (2017-11-07)) [±][14], Linux, 2019
KTorrent, Joris Guisson  Ivan Vasi?, GPL, 5.1.2 (September 1  2019; 3 months ago (2019-09-01)[15]) [±], Linux, 2019
Lftp, Alexander V. Lukya, GPL, 4.8.4 (August 1  2018; 16 months ago (2018-08-01)[16]) [±], Linux, 2018
LimeWire, Lime Wire LLC, GPL, 5.5.16 (September 30  2010; 9 years ago (2010-09-30)) [±], Windows  macOS  Linux, 2010
Meerkat Bittorrent Client, 47 Software, Proprietary, 1.5.8 (August 28  2011; 8 years ago (2011-08-28)) [±], Windows, 2011
Miro, Participatory Culture Foundation, GPL, 6.0 (April 16  2013; 6 years ago (2013-04-16)) [±][17], Windows  macOS  Linux, 2013
MLDonkey, MLDonkey Project, GPL, 3.1.6 (January 22  2017; 2 years ago (2017-01-22)[18]) [±], Windows  macOS  Linux  MorphOs, 2014
?Torrent, BitTorrent, Proprietary  Adware [a], Template:Latest stable software release/?Torrent, Windows  macOS  Android, 2018
OneSwarm, University of Washington, GPL, 0.7.5 (May 23  2011; 8 years ago (2011-05-23)[19]) [±], , 2011
Opera 12, Opera Software, Proprietary, Windows (Presto) – 12.17 Linux  FreeBSD  macOS – 12.16, Windows  macOS  Linux, 2016
