BitTorrent client, GUI, Remote, CLI, Other, Programming language, Based on, IPv6, ?TP
ABC, Yes, Yes, No, No, Python, BitTornado, buggy[Note 2], No
Acquisition, Yes, No, No, No, Objective-C  Cocoa, Limewire, No, No
BitComet, Yes, Yes, Partial[42], No, C++, -, Yes, No
BitLet, No, No, No, Webapp, Java Applet, -, No, No
BitLord, Yes, No, No, No, Python  C++, libtorrent (Rasterbar), Yes, No
BitTornado, Yes, No, Partial, No, Python, BitTorrent, Yes, No
BitTorrent 5  Mainline, Yes, No, Partial, No, Python, -, No, No
BitTorrent 6, Yes, Yes, Partial, No, C++, ?Torrent, Yes, Yes
BitTyrant, Yes, Yes, Partial, Telnet  XML over HTTP remote control API, Java  SWT, Azureus, Yes, No
Blog Torrent, Yes, No, No, No, ?, ?, No, No
Deluge, Yes, Yes, Yes, Daemon, Python  C++, libtorrent (Rasterbar), Yes, Yes[43]
FlashGet, Yes, No, No, No, ?, ?, No, No
Free Download Manager, Yes, Yes, Partial, No, C++, libtorrent (Rasterbar), No, No
Frostwire, Yes, No, No, No, Java, libtorrent (Rasterbar), No, Yes[44]
KGet, Yes, Yes, Partial[Note 3], No, C++, -, Yes, No
KTorrent, Yes, Yes, Partial, No, C++, -, Yes, Yes[45]
LimeWire, Yes, No, No, No, Java, libtorrent (Rasterbar), No, No
Meerkat Bittorrent Client, Yes, No, No, No, C++, -, No, No
Miro, Yes, No, No, No, C++, libtorrent (Rasterbar), No, No
MLDonkey, No, Third Party[46], Partial, Telnet, OCaml, -, No, No
?Torrent, Yes, Yes, No[47], RESTful Web API[48], C++[49], -, Yes[50], Yes[51]
OneSwarm, Partial, Yes, No-partial, No, Java, Azureus, Yes, No
Opera 12, Yes, No, No, No, C++, -, Yes, No
qBittorrent, Yes, Yes, Partial, No, Python  C++, libtorrent (Rasterbar), Yes, Yes[52]
rTorrent, No, Third Party, Yes, SCGI, C++, [libTorrent] (Rakshasa), No[53], No
Shareaza, Yes, Yes, Partial, No, C++, -, No, No
SymTorrent, Yes, No, No, No, ?, ?, No, No
Tixati, Yes, Yes, No, No, C++, -, Yes, Yes[54]
Tomato Torrent, Yes, No, No, No, Cocoa, BitTorrent, No, No
Tonido, No, Yes, No, No, C++, libtorrent (Rasterbar), No, No
TorrentFlux, No, Yes, No, No, PHP, BitTornado, No, No
Transmission, Yes, Yes, Yes, Daemon  JSON-RPC over HTTP remote control API, C  Objective-C, libtransmission, Yes, Yes[55]
Tribler, Yes, Partial, Partial, No, Python  C++, libtorrent (Rasterbar), No, Yes
Vuze (formerly Azureus), Yes, Yes, Partial, Telnet  XML over HTTP remote control API, Java  SWT, -, Yes, Yes[56]
Xunlei, Yes, No, No, remote control over internet[57], C++, -, No, No
BitTorrent client, GUI, Web, CLI, Other, Programming language, Based on, IPv6, ?TP
