System, Office Integration, Multi Lingual, Languages Supported, Web-Based, Time Tracking, Attaching Emails to Business Objects, Desktop Environment, Global Search, LDAP Support
Act! CRM, Yes, Yes, en  de  fr, Yes, , , Yes, Yes, No
Adempiere, ?, ?, ?, ?, ?, ?, ?, ?, ?
Base CRM, Yes, Yes, de  en  es  fr  nl  pl  pt, Yes, Yes, Yes, No, Yes, No
Capsule (CRM), Gmail G Suite, No, en, Yes, No, Yes, Yes, Yes, ?
CiviCRM, ?, Yes, Yes Over 40, Yes Integrated with Drupal  Wordpress  Joomla! or Backdrop, ?, Yes (when email is sent from software), ?, Yes, ?
Dolibarr, A module google is available for customer and agenda sync, Yes, Over 30, Yes, Yes, Yes (when email is sent from software), ?, Yes, Yes
Microsoft Dynamics CRM, Yes, Yes, Yes over 40, Yes, Yes, Yes, No, Yes, Yes with ADFS
Epesi CRM, Any type of file attachments, Yes, ar  bg  cs  da  de  el  en  es  et  fa  fi  fr  he  hr  hu  id  in  it  jp  ko  lt  nl  no  pl  pt  ro  ru  sk  sl  sr  sv  th  tr  vi  zh, Yes, Yes, Yes, ?, ?, ?
GNU Enterprise, Yes, Yes, Yes, Yes, Yes, ?, ?, ?, ?
Group-Office, Yes, Yes, Over 20 languages, Yes, Yes, ?, ?, ?, ?
HubSpot CRM Free, Gmail  G Suite  Outlook  Office 365 for Windows[6], Yes, en  fr  jp  de  pt  es[7], Yes[6], No, Yes[8], Yes[9], Yes, No
Neolane, ?, ?, ?, ?, ?, ?, ?, ?, ?
Nutshell CRM, Google Apps  Microsoft Exchange, No, (in English), Yes, No, Yes, ?, Yes, ?
Pega CRM[4], ?, ?, ?, ?, ?, ?, ?, Maybe[10], Yes[11]
Pipedrive, Yes, Yes, de  en  es  et  fi  fr  it  no  nl  pl  pt  ru  tr  ko  ja, Yes, Yes, Yes, Yes, Yes, Yes
Pivotal CRM, Yes, Yes, Yes, Web/Windows, ?, Yes, ?, Yes, Yes
Really Simple Systems, Yes, No, en, Yes, No, ?, ?, ?, ?
SageCRM, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?
Salesbox CRM, Yes, Yes, de  en  es  fr  nl  pt  se  no  fi  tr  ro  ru  jp  ch  ko  hu, Yes, Yes, Yes, Yes, Yes, No
Salesforce.com[12], Yes, Yes, en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl, Yes, No, No, No, Yes, No
Siebel, Yes, Yes, Yes, Yes, No, Yes, ?, ?, Yes
SAP CRM, Yes, Yes, Yes, Yes, No, Yes, Yes|, Yes, Yes
SAP Cloud for Customer, Yes, Yes, Yes, Yes, No, Yes, Yes|, Yes, Yes
Streak, via Google Docs, Yes, de  en  es  fr  it  nl  pl  pt  pt-br  ru  zh-cn, Yes, No, ?, ?, ?, ?
SugarCRM, Yes - Outlook  Excel  Word Plugins[1], Yes, sq_AL  ar_SA  bg_BG  ca_ES  zh_CN  hr_HR  cs_CZ  da_DK  nl_NL  en_UK  en_us  et_EE  fi_FI  fr_FR  de_DE  el_EL  he_IL  hu_HU  it_it  ja_JP  ko_KR  lv_LV  lt_LT  nb_NO  pl_PL  pt_PT  pt_BR  ro_RO  ru_RU  sr_RS  sk_SK  es_ES  es_LA  sv_SE  th_TH  zh_TW  tr_TR  uk_UA, Yes, Yes, Yes, ?, Yes, Yes
SuiteCRM, Via Plugin, Yes, 20 languages, Yes, Yes, Yes, No, Yes, Yes
SuperOfficeCRM, Yes, Yes, cn  de  dk  en  es  fi  fr  it  jp  nl  no  ru  se  zh, Yes, Yes, ?, ?, ?, ?
TeamLab, Yes, Yes, en  de  fr  es  it  ru  lat, Yes, Yes, ?, ?, ?, ?
Tryton, ?, Yes, bg  ca  cs  de  en  es-ar  es-co  es-es  fr  nl  ru  sl, Yes, Yes, Yes, Yes, Yes, Yes
WORKetc, Outlook Addon and Google Docs, Yes, de  en  es  fr  it  nl, Yes, Yes, Yes, ?, Yes, ?
Zoho CRM, Outlook & MS Office, Yes, en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl  pl, Yes, Yes, Yes, ?, Yes, Yes
