Methods and properties, Java, C#
Static imports, Yes, Yes[52]
Virtual methods, Virtual by default, Non-Virtual by default
Abstract, Yes, Yes
Sealing, Yes, Yes
Explicit interface implementation, Default methods, Yes[53]
Value (input) parameters, Yes, Yes
Reference (input/output) parameters, No, Yes
Output (output) parameters, No, Yes
Constant (immutable) parameters, Yes; final parameters, Yes[54]
Variadic methods, Yes, Yes
Optional arguments, No;[55] Instead method overloading or varargs, Yes
Named arguments, No, Yes
Generator methods, No, Yes
Extension/default methods, Yes, Yes
Conditional methods, No, Yes
Partial methods, No, Yes
