Server, BSD, Solaris, Linux, Mac OS X, Windows
BIND, Yes, Yes, Yes, Yes, Yes[Note 1]
Microsoft DNS, No, No, No, No, Included[Note 2]
djbdns, Yes, Yes, Yes, Yes, No
Dnsmasq, Yes, Yes, Yes, Yes, No
Simple DNS Plus, No, No, No, No, Yes
NSD, Yes, Yes, Yes, Yes, No
Knot DNS, Yes, No, Yes, Yes, No
Knot Resolver, Partial, No, Yes, Yes, No
PowerDNS, Yes, Yes [7], Yes, Beta, No
MaraDNS, Yes, Yes [8], Yes, Yes, Partial
pdnsd, Yes, Partial[40], Yes, Yes, No
Posadis, Yes, Yes, Yes, Yes, Yes [9]
Unbound, Yes, Yes, Yes, Yes, Yes
Cisco Network Registrar, No, Yes, Yes, No, Yes
YADIFA, Yes, Yes, Yes, Yes, No
Secure64 DNS Authority, No, No, Yes, No, No
Secure64 DNS Cache, No, No, Yes, No, No
