Client, Creator, First public release date, Latest stable version, Software license, Copy files over 2 GB limit[1], Interface
cURL, Daniel Stenberg, 1998, 7.68.0 (8 January 2020; 8 days ago (2020-01-08)[2]) [±], MIT, Yes, CLI
Cyberduck, David V. Kocher, 2001, 6.0.4 June 2  2017; 2 years ago (2017-06-02), GPL, Yes, GUI and CLI
FAR Manager, Eugene Roshal / FAR Group, 1996, 3.0 build 5000 (7 August 2017; 2 years ago (2017-08-07)) [±], BSD, Yes, TUI
*FileZilla, Community, 2001 (January), 3.45.1 (25 September 2019; 3 months ago (2019-09-25)) [±][3], GPL, Yes, GUI
FireFTP, Mime ?uvalo, 2004 (September), 2.0.32 (February 1  2019; 11 months ago (2019-02-01)) [±], MPL 1.1  Charityware, Yes (since version 2.0.5), Waterfox  Firefox pre-version 57 addon
Fugu, University of Michigan Research Systems Unix Group, 2003, 1.2.0 May 2  2005; 14 years ago (2005-05-02), BSD, ?, GUI
gFTP, Brian Masney, 1998, 2.0.19 November 30  2008; 11 years ago (2008-11-30), GPL, Yes, GTK+
lftp, Alexander V. Lukyanov, 1996 (August), 4.9.1 (January 15  2020; 1 day ago (2020-01-15)[4]) [±], GPL, Yes, CLI
Macfusion, Michael Gorbach, 0 ?, 2.0.4, BSD, ?, GUI
NcFTP, NcFTP Software Inc., 1991, 3.2.6 November 27  2016; 3 years ago (2016-11-27), Clarified Artistic License, Yes, CLI
net2ftp, David C. Gartner, 2003 (January), 0.98 March 1  2013; 6 years ago (2013-03-01), GPL, ?, Web application
tnftp, Luke Mewburn, 1999, 20151004 October 4  2015; 4 years ago (2015-10-04), BSD, Yes, CLI
WinSCP, Martin P?ikryl, 2000, 5.15.9[5] (December 5  2019; 42 days ago (2019-12-05)) [±], GPL, Yes, GUI and CLI
