Client, Creator, First public release date, Latest stable version, Software license, Copy files over 2 GB[1]
ALFTP, ESTsoft, 2000, 5.31 February 1  2012; 7 years ago (2012-02-01), Proprietary, ?
ExpanDrive (Mac), ExpanDrive  Inc, 2008, macOS: 7.4.0 (November 16  2019; 30 days ago (2019-11-16)[7]) [±] Windows: 7.4.0 (November 16  2019; 30 days ago (2019-11-16)[8]) [±] Linux: 7.4.0 (November 16  2019; 30 days ago (2019-11-16)[9]) [±], Proprietary, Yes
ExpanDrive (Windows) (formerly SFTPDrive), ExpanDrive  Inc, 2005, macOS: 7.4.0 (November 16  2019; 30 days ago (2019-11-16)[10]) [±] Windows: 7.4.0 (November 16  2019; 30 days ago (2019-11-16)[11]) [±] Linux: 7.4.0 (November 16  2019; 30 days ago (2019-11-16)[12]) [±], Proprietary, Yes
ForkLift, BinaryNights  LLC, 2007, 3.2.2 April 10  2018; 20 months ago (2018-04-10), Proprietary, Yes
FTP Commander, Internetsoft Corporation, 1997, 9.21 November 8  2010; 9 years ago (2010-11-08), Proprietary, Yes
FTP Explorer, FTPx Corp., October  1996, 1.0.1.53; January 2012, Proprietary, ?
Interarchy, Nolobe Software Pty Ltd, 1993 (as Anarchie), 10.0.6 August 18  2014; 5 years ago (2014-08-18), Proprietary, Yes
Steed, French Fry  SAS, 2012, 1.2.1.1169 June 27  2017; 2 years ago (2017-06-27), Proprietary, Yes
Transmit, Panic  Inc., 1998, 5.0.4 October 2  2017; 2 years ago (2017-10-02), Proprietary, Yes
WISE-FTP, AceBIT, 1998, 7.0 (Build 7.0.4) March 16  2012; 7 years ago (2012-03-16), Proprietary, ?
edtFTPj, Bruce P. Blackshaw, 2000, 2.3.0 August 26  2011; 8 years ago (2011-08-26), Proprietary, Yes, Java JAR file
edtFTPnet, Bruce P. Blackshaw, 2003, 2.2.1 August 26  2011; 8 years ago (2011-08-26), Proprietary, Yes, Windows DLL
