Framework, Internet Explorer, Mozilla Firefox, Safari, Opera, Chrome
AngularJS (1.3), 8+ (9+), 4+, 5+, 11+, 30+
Apache Royale, 9 (Edge --> 10), 21, 6, 15, 23
Dojo, 6+, 3+[167], 4[167], 10.50+[167], 3[167]
Ember.js, 6+, 3+, 4+, 10.6+, 14+
Enyo, 8+[168], >4[168], >5[168], , >10[168]
Ext JS, 6+, 3.6+, 4+, 11+, 10+[169]
Google Web Toolkit, 8+, 1+, 5+, 9+, 1+
jQuery (3.x), 6+ (9+)[170], 2+[170], 3+[170], 9+[170], 1+[170]
jQWidgets, 7+[171], 2+[171], 3+[171], 9+[171], 1+[171]
MooTools, 6+, 2+, 3+, 9+, 1+
Prototype & script. aculo.us[11], 6+, 1.5+, 2.0.4+, 9.25+, 1+ (starting with 1.6.1RC3)
qooxdoo, 6+, 2+, 3+, 9+, 2+
SmartClient and SmartGWT, 6+, 1+, 3+, 9+, 1+
SproutCore, 6+, 3+, 4+, 9+, 1+
Vue, 10+, 21+, 6+, 15+, 23+
Wakanda, 9+, 4+, 5+, , 11+
ZK, 6+, 2.0+, 3+, 9+, 2+
Webix, 8+[172], 3+[172], 4+[172], 9+[172], 1+[172]
