Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
Unofficial[107] Official discontinued 2017-11-08[108],Yes,No,Discontinued unofficial port,No,No,No,Unofficial[109],No,Discontinued. Unofficial port[110],No,No,No,No,No,No
Discontinued from BackTrack 5 and superseded by Kali Linux[111],Discontinued from BackTrack 5 and superseded by Kali Linux,No,No,No,No,No,Discontinued from BackTrack 5 and superseded by Kali Linux,No,No,No,No,No,No,No,No
Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,No,No,No,No,No,Discontinued 2013-10-23[112],No,No,No,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,No,?,No,No,No,No,No,No,No,No
AltArch,Yes,Discontinued 3.5-3.8 4.1-4.7[113],Beta"""" Discontinued 4.0,AltArch,Beta 4.2[113][114],No,AltArch,No,No,No,No,Discontinued 3.5-3.8 4.1-4.7[113][115],Discontinued 3.5-3.8 4.1-4.7[113][115],Discontinued 4.2-4.3[113][116][117],No
No,Yes,No,No,No,No,No,?,No,No,No,No,No,No,No,No
Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes 4.0+,Discontinued 3.0-7.0[119],Discontinued 2.2-8,Yes,Discontinued 2.1-4.0[120],Discontinued -7[121],Yes 2.2+,Discontinued 3.0-5.0,Yes,Yes 3.0+,In progress,Discontinued 3.0-7,Yes 7+,Discontinued 2.1-5.0,Discontinued 2.0-3.1,In progress[122]
Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,Discontinued from Fedora 9 [124],Discontinued from Fedora 17,Yes,No,Inactive from Fedora 12[125],Yes[126],No,In progress,Inactive from Fedora 13 [127],No,No,Yes,No,No,In progress[128]
Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[130],Yes,Yes[131],Yes[132][133],Yes,Yes,Yes,Yes,Yes
Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,No,No,In progress[135],No,No,No,No,No,No,No,No,No,No,No,In progress[136]
Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No,No,Yes XBurst,No,No,No,No,No
Yes Unofficial[137],Yes,No,No,No,No,No,Yes Unofficial[138],No,No,No,No,No,No,No,No
Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Discontinued 42.1,Yes,No,No[140],No[140],No,partial[141],partial[142],No,No,No,No,No,No,No,No
Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
Yes,Yes,Discontinued 5[145],No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,No,No,Test release[146],No,No,Yes"""" ARMv7[147][148],No,Discontinued[149],Discontinued[149],No,No,No,No,No,Test release[150]
Discontinued 8.0[151],Discontinued 8.0[151],Discontinued 3[152],No,Discontinued 3[152],No,No,No,No,No,No,No,No,No,No,No
Discontinued 9.0,No,Discontinued 7.1-7.2,Test release 5.1[154],No,Discontinued 4.0-4.2 5.1-6.2,Test release 5.1[154],No,No,No,Test release 5.1[154],No,Discontinued 7.2,Yes,Discontinued 2.1-7.1,Test release 5.1[154]
Discontinued 2.1-6[156],Yes 3+,Discontinued 2.1-5[157],Yes 3+,Yes 3+,No,No,No,No,No,No,No,Discontinued 3-4[158],Yes 3+,No,No
Discontinued,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,Discontinued 3-4,No,No,No,No,No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Yes,Yes,No,No,No,Discontinued ?[159],No,Yes,No,No,No,No,Discontinued ?[160],Discontinued ?[160],Discontinued 8.1[161],No
No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Yes,No,Yes,No,No,No,No,No,?,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,AArch64 only[163],No,No,No,No,No,Yes,No,No
Yes,Yes[164],No,No,No,No,No,No,No,No,Yes[165],No,No,No,No,No
Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Selected ISOs available,Yes,No,No,No,No,No,No - but under development by community,No,No,No,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,No,Yes"""" including 64-bit ARMv8-A,No,No,No,No,No,Ubuntu only[166],No,No
Yes,Yes,No,No,No,No,No,No,No,In progress,No,No,No,No,No,No
Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No

