Free"""" and nonfree,8""""135[167],?,apk,.apk,setup-alpine,No,?,?
Free"""" and nonfree,8""""300[168],?,APT (APT-RPM)"""" RPM,RPM,,Yes,?,?
Free"""" and nonfree,10""""700[169],56""""500 from AUR[170],Pacman,.pkg.tar.xz,None (install scripts only),No,Yes,iPXE
Free only,10""""000[171],?,RPM"""" yum"""" APT,RPM,,Yes,No,No
Free"""" and nonfree,35""""000,?,APT,.dpkg,Ubiquity,Yes,?,?
Free"""" and nonfree,17""""565[172],?,RPM"""" yum/up2date,RPM,Anaconda,Yes,Yes,?
Free"""" and nonfree,3""""074[173],CCR: 4""""663[174],Pacman (will be replaced by Akabei in future),.pkg.tar.xz,,Package manager in development,?,?
Free"""" and nonfree,?,?,RPM"""" yum,RPM,,No,?,?
Free"""" and nonfree,23""""000,?,APT,.deb,,Yes,?,?
Free"""" and nonfree,610,?,myDSL"""" APT,.dsl"""" .tar.gz"""" .uci"""" .unc"""" .deb,,No,?,?
Free"""" and nonfree,89""""103[175],21""""041[a],APT,.deb,Debian-Installer,Yes,Yes,PXE
Free"""" and nonfree,?,?,APT,.deb,Debian-Installer,Yes,Yes,PXE
Free only,484,?,pkgsystem,.tlz,?,No,No,No
Free only,?,?,APT,.deb,Debian-Installer,Yes,No,No
Free"""" and nonfree,20""""000 [176],25""""041[177],DNF"""" yum"""" PackageKit,RPM,Anaconda,Yes,Yes,?
Free"""" and nonfree,108[178],19""""092[179][b],Portage,.ebuild"""" .tbz2,,Yes[c],Yes,PXE
Free only,?,?,APT,.deb,Debian-Installer,Yes,Yes,No
Free"""" and nonfree,200,?,APT,.deb,,Yes,?,?
Free only,9""""714[180],9""""714,Guix,.scm"""" .go,guix system init,Yes[181],Yes,No
Free only,14""""494[182],?,Pacman,.pkg.tar.xz,None (install scripts),No,Yes,?
Free"""" and nonfree,3""""600,?,APT,.deb,,No,?,?
Free only,826,?,?,?,,No,No,No
Free"""" and nonfree,50""""781,?,APT,.deb,Ubiquity,Yes,?,?
Free"""" and nonfree,17""""283 (i586)"""" 11""""409 (x86-64)[183],8""""834[184],urpmi"""" rpmdrake,RPM,DrakX,Yes,Yes,?
Free"""" and nonfree,22""""600,?,urpmi"""" rpmdrake,RPM,DrakX,Yes,?,?
Free"""" and nonfree,?,? from AUR[170],Pacman,.pkg.tar.xz,Calamares[185],Yes[186],Yes,iPXE
Free"""" and nonfree,20""""000,?,APT,.deb,MEPIS Install,Yes,?,?
Free only,1""""819,?,APT,.deb,Debian-Installer,Yes,No,No
Free"""" and nonfree,140[187],?,XBMCbuntu addon manager"""" own and 3rd party addons,.zip,,Yes,?,?
Free"""" and nonfree,34""""000,34""""000[188],YaST"""" Zypper,RPM,YaST,Yes,Yes,?
Free"""" and nonfree,2""""000,?,opkg,.ipk,-,No,?,?
Free only,23""""000[189],?,Pacman,.pkg.tar.xz,None (install scripts) or Calamares,Yes,Yes,?
Free"""" and nonfree,4""""000,?,PiSi,.pisi,YALI,Yes,?,?
Free"""" and nonfree,29""""000,14""""900,APT,.deb,,Yes,?,?
Free"""" and nonfree,12""""000,?,APT"""" RPM,RPM,,Yes,?,?
Free"""" and nonfree,700,?,PupGet"""" DotPup,.pup"""" .pet,,Yes,?,?
Free"""" and nonfree,3""""000 (plus 9""""155 from EPEL[190]),?,RPM"""" yum,RPM,Anaconda,Yes,?,?
Free"""" and nonfree,5""""000,?,APT,.deb,,Yes,?,?
Free"""" and nonfree,>13""""130,?,Portage"""" Entropy,ebuild"""" .tbz2,Calamares,Yes,?,?
Free"""" and nonfree,?,?,APT/yum,RPM,,Yes,?,?
Free"""" and nonfree,2""""292,7""""705 from SlackBulids,slackpkg,tgz"""" .txz"""" .tlz"""" .tbz,bash script[191],No,Yes,Yes
Free"""" and nonfree,2""""050,?,none,.lzm,,,?,?
Free"""" and nonfree,3""""381[192],?,Tazpkg,.tazpkg,tazinst,Yes,iPXE,iPXE
Free"""" and nonfree,9""""500,?,eopkg,.eopkg,os-installer,Yes,No,No
Free"""" and nonfree,118,8""""876,Sorcery Package Manager,src,,Yes,?,?
Free"""" and nonfree,24""""094,11""""385,YaST"""" Zypper,RPM,YaST,Yes,?,?
Tiny Core Linux,Free"""" and nonfree,25""""160,?,ab"""" tce-load,tcz,tc-install"""" core2usb,Yes,?,?
Tiny SliTaz,Free"""" and nonfree,50,?,Web site[193],tazpkg,,No,?,iPXE
Tor-ramdisk,Free"""" and nonfree,?,?,none,none,,No,?,?
Free only,52""""748[194],?,APT,.deb,Ubiquity,Yes,Yes,?
Free"""" and nonfree,57""""290[175] plus ?30 custom packages,21""""041[d] (currently TurnKey only supplies source code for custom packages),APT,.deb,DI-Live (custom fork of Debian Installer),No,No,No
Free"""" and nonfree,73""""229[195],24""""474[e],APT,.deb,Ubiquity,Yes,Yes,PXE
Free only,5""""000,?,UTUTO Package Manager,ebuild,?,?,No,No
Free"""" and nonfree,?,?,slapt-get"""" gslapt"""" installpkg,tgz,,Yes,?,?
Free"""" nonfree and multilib,6""""000,6""""719,xbps,.xbps,ncurses script,Yes,Yes,No
Free"""" and nonfree,?,?,APT,.deb,,No,?,?
Free"""" and nonfree,?,?,APT,.deb,dpkg,Yes,?,?
Free"""" and nonfree,2""""000,?,netpkg"""" installpkg"""" upgradepkg,tgz"""" txz,,Yes,?,?

