742,,Yes,Yes,Yes,Yes
301,,Yes,Yes,Yes,Yes
696,?,Yes,No,?,
1""""024,80,Yes,Yes,Yes,Yes
603 (Minimal) 4""""096 (DVD),,Yes,Yes,Yes (installable since 6.0),Yes
2""""150,,No,Yes,Yes,Yes
958,,Yes,Yes,Yes,Yes
868,Yes,Yes,Yes,Yes
655,?,Yes,?,?,?
1""""650,?,up to version 2.x,Yes,?,?
1""""434,256 to 1""""024,Yes,Yes,Yes,Yes
260 (Minimal) 2""""048 (Live DVD),up to 128,Yes,Yes,Yes,Yes
1""""200,512,?,?,Yes,?
460,32 to 128,Yes,No,Yes,Yes
1""""375,366,No,Yes,Yes,Yes
660 and 688,?,Yes,Yes,Yes,Yes
700,128 to 320,Yes,Yes,Only DVD edition is maintained,
4""""813,128 to 500,No,Yes,,
?,?,No,No,No,No
700,128 to 768,Yes,Yes,Yes,Yes
473 to 2""""200[198],256 to 1""""024,Yes,Yes,Yes,Yes
700 to 4""""000,128 to 512,Yes,Yes,Yes,Yes
2""""000,?,No,Yes,Yes,Yes
18,?64,Yes,Yes,Yes,Yes
700,192 to 512,Yes,,Yes,
700,128 to 768,Yes,Yes,Yes,Yes
min 4,min 16,No,No,No,No
400 to 3""""300,?,Yes,Yes,Yes,Yes
1""""256 to 1""""276,256 to 1""""024,Yes,Yes,Yes,Yes
130 to 700,96 to 512,Yes,Yes,Yes,Yes
666 and 700,48 to 96,Yes,Yes,By hand[199],By hand
224 to 373,min 36,?,?,Yes,Yes
235,32 to 192,Yes,Yes,Yes,Yes
542,,Yes,Yes,Yes,Yes
695,,Yes,Yes,Yes,Yes
2""""400,,No,Yes,Yes,Yes
431 to 2""""300[200],640,Yes,Yes,Yes,Yes
2""""600,64 to 1""""024[201],Yes,Yes,Yes,Yes
200,96 to 320,Yes,Yes,,Yes
1""""200,1""""024,No,Yes,Yes,Yes
459,,Yes,Yes,Yes,Yes
35,24 to 192,Yes,Yes,Yes,Yes
?900,?1""""024,No,Yes,Yes,Yes (when run from DVD)
16,46,Yes,Yes,Yes,Yes
1.44,4,Yes,Yes,By SliTaz,By SliTaz
Tor-ramdisk,5,256 or >[202],Yes,Yes,Yes,Yes
1""""500[203],384,Yes,Yes,Yes,Yes
212,~173,Yes,Yes,Yes,Yes
1""""700[204],384,Yes,Yes,Yes,Yes
3""""500,?,No,Yes,Yes,?
2""""900[205],,Yes,Yes,Yes,
1""""400[206],384,Yes,Yes,Yes,Yes
700,256 to 1""""024,Yes,No,Yes,Yes
600,256,Yes,Yes,Yes,Yes
1""""200[207],256,Yes,Yes,Yes,Yes

