Name, Windows, Mac OS X, Linux, BSD, Unix, Android, iOS, Updated
Atlantis, No, Yes, No, No, No, No, No, 2006
Axmud, Yes, No, Yes, Yes, Yes, No, No, 2019
BeipMU, Yes, No, No, No, No, No, No, 2019
BioMUD, Yes, No, No, No, No, No, No, 2016
BlowTorch, No, No, No, No, No, Yes, No, 2018
CMUD, Yes, No, No, No, No, No, No, 2010
GGMUD, Yes, Yes, Yes, Yes, Yes, No, No, 2007
GMUD, Yes, No, No, No, No, No, No, 1998
Gnome-Mud, No, No, Yes, No, No, No, No, 2018
JamochaMUD, CPI, CPI, CPI, CPI, CPI, No, No, 2014
KBtin, No, Yes, Yes, Yes, Yes, No, No, 2018
KildClient, Yes, Yes, Yes, Yes, Yes, No, No, 2017
KMuddy, No, Yes, Yes, Yes, No, No, No, 2009
Lyntin, CPI, CPI, CPI, CPI, CPI, No, No, 2008
mcl, No, No, Yes, No, No, No, No, 2003
muby, No, CPI, CPI, CPI, CPI, No, No, 2009
Mudlet, Yes, Yes, Yes, Yes, Yes, No, No, 2019
MudMagic, Yes, Yes, Yes, Yes, Yes, No, No, 2006
MUDRammer, No, No, No, No, No, No, Yes, 2015
MUSHclient, Yes, No, No, No, No, No, No, 2019
Portal, Yes, No, No, No, No, No, No, 2013
Potato, CPI, CPI, CPI, CPI, CPI, No, No, 2017
Powwow, Yes, Yes, Yes, Yes, Yes, No, No, 2002
Pueblo/UE, Yes, No, No, No, No, No, No, 2004
SimpleMU, Yes, No, No, No, No, No, No, 2001
Soiled, CPI, CPI, CPI, CPI, CPI, No, No, 2012
TinTin++, Cygwin[os 2], Yes, Yes, Yes, Yes, Termux, iSH, 2019
TinyFugue, Yes, Yes, Yes, Yes, Yes, No, No, 2007
Tortilla, Yes, No, No, No, No, No, No, 2018
Trebuchet, CPI, CPI, CPI, CPI, CPI, No, No, 2015
Wintin.Net, Yes, No, No, No, No, No, No, 2007
zMUD, Yes, No, No, No, No, No, No, 2008
