OLAP server, Semi-additive measures, Many-to-Many, Multi-Cube Model, Perspectives, KPI, Multilingual, Named Sets, Multi-attribute Hierarchies, Actions
Apache Kylin, No, No, Yes, No, Yes, Yes, No, Yes, Yes
Druid, Yes, Yes, Yes, ?, No, Yes, ?, Yes, Yes
Apache Pinot (Incubating), Yes, Yes, Yes, ?, ?, No, No, No, No
Essbase, Yes, ?, ?, ?, Yes, Yes, Yes, Yes, ?
IBM Cognos BI, Yes, Yes, ?, ?, ?, ?, Yes, Yes, ?
IBM Cognos TM1, Yes, Yes, Yes, ?, ?, ?, ?, ?, ?
icCube, Yes[32], Yes[33], Yes, Yes, ?, Yes, Yes, ?, ?
Infor BI OLAP Server, Yes, ?, Yes, ?, Yes, ?, ?, ?, ?
Jedox OLAP Server, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?
Kyligence, Yes, No, Yes, No, Yes, Yes, ?, Yes, ?
Kyvos, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, No
Microsoft Analysis Services, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
MicroStrategy Intelligence Server, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
Mondrian OLAP server, Yes[34], ?, ?, ?, ?, ?, ?, ?, ?
Oracle Database OLAP Option, Yes, ?, ?, ?, ?, ?, ?, ?, ?
SAP NetWeaver BW, Yes, ?, ?, ?, ?, ?, ?, ?, ?
SAS OLAP Server, Yes, ?, ?, ?, ?, ?, ?, ?, ?
