Meaning, Spanish, Portuguese, Notes
newspaper  journal, periódico < Lat. period?cus < gr. ?????????? [16], jornal < Fra. journal, 
journalist, periodista < Lat. period?cus < gr. ?????????? [17], jornalista < Fra. journaliste, 
journey, recorrido < Lat. recurr?re [18], jornada < Provençal. jornada < jorn[19], 
shop window, escaparate < Ned. schaprade[20], montra < Fra. montre, The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
boutique  clothes store, tienda< Lat. tenda[21], boutique  butique < Fra. boutique[22], 
scarf, bufanda < Uncertain  maybe O.Fra. bouffant[23], cachecol  écharpe cache-col  écharpe[24], 
lampshade  bedside lamp, lámpara < Lat. < Gre. lamp?da < ??????[25], abajur < Fra. abat-jour[26], 
New Year's Eve, Nochevieja < Lat. noctis + veclus < vet?lus[27], Reveillon < Fra. Reveillon, 
frisson, escalofrío < Lat. + prefix ex + cale+ frige[28], frisson < Fra. frisson[29], 
gaffe  blunder, metedura de pata < Lat. + Ar. < mitt?re + batt[30], gafe < Fra. gaffe [31], 
brioche, bollo de leche < Lat. < bulla + lactis[32]  [33], brioche < Fra. brioche [34], 
croissant, medialuna < Lat. < media + luna[35], croissant  croassã < Fra. croissant [36], 
courgette  zucchini, calabacín < Pre-roman calabaza[37], courgette  curgete < Fra. courgette [38], 
blueberry, arándano < Celt + Lat. aran + rodamd?rum[39], mirtilo < Fra. myrtille [40], In Por. arando < Celt aran means cranberry
billy club  truncheon, porra < Lat. porrum[41], cassetete  casse-tête < Fra. casse-tête [42], 
creche, guardería infantil <Ger. + Lat. warda + infant?lis [43], creche < Fra. crèche[44], 
voyeur, mirón < Lat. mir?ri [45], voyeur < Fra. voyeur, 
omelette, tortilla < uncertain + suffix torta + illa, omelete < Fra. omelette[46], 
swing, columpio < Leon. < Gr. columbiar < ???????? kolymbân [47], balancé < Fra. balancé[48], 
lipstick, pintalabios < Lat. pinct?re + labium [49], batom < Fra. bâton[50], 
cap, gorra < uncertain gorra [51], boné < Fra. bonnet[52], 
hat, sombrero < Lat subumbr?re[53], chapéu < O.Fra. chapel[54], 
(train) station, estación (ferrocarril) < Lat. stati?nis[55], gare < Fra. gare [56], The term gare in Port. is also used for bus-station.
quay  jetty  key, muelle < Lat. mollis[57], cais < Fra. quai [58], The term cais in Port. is also used for railway platforms.
vehicle, vehículo < Lat. vehiculum[59], viatura < Fr. voiture [60], 
package  packaging, envase < Lat. in + vasum[61], embalagem < Fr. emballage [62], 
rissole, empanadilla rellena < Lat. + prefix en + panis + re + plenus, rissol  rissole < Fra. rissole[63], 
souvenir, recuerdo < Lat. record?ri[64], souvenir  suvenir < Fr. souvenir [65], 
strike, huelga < Lat. follic?re[66], greve < Fr. grève [67], 
