Meaning, Spanish, Portuguese
mayor, alcalde < Hisp. Ar. < Arabic alqá?i < q??i [70], presidente da câmara (municipal) / prefeito < Lat. praesidens + camara / praef?ctus, 
bricklayer  stonemason, albañil < Hisp. Ar. < Arabic albanní < bann?[71], pedreiro < Lat. petra, 
potter, alfarero < Hisp. Ar. < Arabic alfa? ??r < fa? ??r[72], oleiro < Lat. ollarius, 
vest, chaleco < Alg. Ar. < Turk xileco < yelek[73], colete < Ita. coletto, 
basil, albahaca < Hisp. Ar. < Arabic al?abáqa < ?abaqah[74], basílico  manjericão < Lat.  uncertain origin basilicum  uncertain, 
bean, alubia < Hisp. Ar. < Arabic alubía < al-lubiya ???????[75], feijão < Lat. faseolus [76], 
celery, chirivía < Hisp. Ar. alcaravea < alkarawíyya [77][78], aipo < Lat. apium, 
watermelon, sandía < Hisp. Ar. < Arabic sindiyya ?????[75], melancia < Lat. bilancia < bilanx, 
pistachio, alfóncigo < Hisp. Ar. < Arabic fustuq[79], pistácio  pistacho < Lat < Gre pistacium < pistákia[80], 
thrush, zorzal < Hisp. Ar. < Arabic zurzál < zurzir[81], tordo < Lat. turdus, 
hobby (bird), alcotán < Hisp. Ar. < Arabic qu?án < qa??m[82], ógea < uncertain origin *maybe O.Fra. hobe[83], 
mackerel, jurel < Hisp. Ar < Lat šuríl < saurus[84], cavala < Gaulish < Celt . caballos [85], 
scorpion, alacrán  escorpión < His. Ar. < Arabic  Lat. al‘aqráb < aqrab  scorp?o [86], escorpião < Lat. scorp?o, 
mercury, azogue < His. Ar. < Arabic azzáwq < z?w?q[87], mercúrio < Lat. Mercurius, 
breast cancer, zaratán  cáncer de mama < Arabic  Lat. saratan  cancer mamma [75], cancro/câncer da mama < Lat. cancer mamma, 
robe (bath), albornoz < Hisp. Ar. < Arabic burnús < burn?s [88], roupão  robe < Gothic  Fra. rauba  robe [89], 
hostess  stewardess, azafata < Hisp. Ar < Arabic. assafá? < safá?[90], hospedeira (de bordo) < Lat. hospitis [91], 
sewage (system)  gutter, alcantarilla < Hisp. Ar. < Arabic alqán?ara < qán?arah[92], esgoto  goteira < Lat. guttae [93], 
jerk, mamarracho < Hisp. Ar < Arabic muharrá? < muharri?[94], parvo < Lat . parvulus [95], 
drunk  drunkard, borracho < Cat < Arabic marratxa < mirrassa[96], bêbado < Lat . bibitum, 
to crimp  to compress  to link (verb), engarzar < Hisp. Ar. < Arabic ?árza< ?arzah[97], engrenar  endentar  comprimir < Lat. granum  dens  comprimere, 
to duck out  to skive off (verb), escaquearse < Hisp. Ar. < Arabic iššáh < š?h[98], escapar < Lat. < Proto-Italic excapp? <   kaput, 
to save(financial) (verb), ahorrar < Arabic. alhurr ????[99], poupar < Lat. palp? < palp?re, 
corner  edge, rincón < Hisp. Ar. < Arabic rukán < rukn[100], canto < Celtic kant[101], 
flowerbed  small garden  vegetable patch, arriate < Hisp. Ar. < Arabic arriyá? <riy?? [102], canteiro < Celtic kant[101], 
Majorcan, mallorquí < Lat. maiorica + Arabic gentilic suffix -iyy, Maiorquino < Lat maiorica + -inus, 
Iraqi, iraquí  irakí < Arabic demonym iraqiyy ?????[103], Iraquiano < Lat. + suffix Iraqi + -anus, 
