Name, macOS, Windows, Cygwin, BSD, Linux, Solaris, Java, OpenVMS, z/OS, AIX, HP-UX, iOS, Android, Maemo, Windows Phone
AbsoluteTelnet, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, ?
ConnectBot, No, No, No, No, No, No, No, No, No, No, No, No, Yes, No, No
CRAX Commander, Yes, No, No, No, No, No, No, No, No, No, No, No, No, No, No
Dropbear, Yes, No, Yes, Yes, Yes, Yes, ?, ?, ?, Yes, Yes, Yes[Note 1], No, Yes, ?
eSSH Client, Yes, Yes, ?, Yes, Yes, Yes, ?, ?, ?, No, No, No, No, No, ?
lsh, Yes, No, No, Partial[Note 2], Yes, Yes, ?, ?, ?, No, No, No, No, No, ?
OpenSSH (OpenBSD Secure Shell), Included, Included[Note 3], Included, Included, Included[Note 4], Yes, ?, Yes, Yes, Yes, Yes, Yes[Note 1], Yes, Yes, ?
PuTTY, Partial, Yes, ?, Yes, Yes, Yes, No, ?, ?, No, No, No, No, No, Beta
SecureCRT, Yes, Yes, No, No, Yes, No, No, No, No, No, No, Yes, No, No, ?
SmartFTP, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, ?
SSH Tectia Client/ConnectSecure, No, Yes, No, No, Yes, Yes, Yes[Note 5], No, Yes, Yes, Yes, No, No, No, ?
Tera Term, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, ?
TN3270 Plus, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, ?
TtyEmulator, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, ?
WinSCP, No, Yes, No, No, No, No, No, No, No, No, No, Yes[Note 1], No, No, ?
ZOC, Yes, Yes, No, No, No, No, No, No, No, No, No, No, No, No, ?
Name, OS X, Windows, Cygwin, BSD, Linux, Solaris, Java, OpenVMS, z/OS, AIX, HP-UX, iOS, Android, Maemo, Windows Phone
