Implementation, Namespace, Build tools, API manual, Crypto back-end, OpenSSL compatibility Layer[clarify]
Botan, Botan::TLS, Makefile, Sphinx, Included (pluggable), No
Bouncy Castle, org.bouncycastle, Java Development Environment, Programmers reference manual (PDF), Included (pluggable), No
cryptlib, crypt*, makefile  MSVC project workspaces, Programmers reference manual (PDF)  architecture design manual (PDF), Included (monolithic), No
GnuTLS, gnutls_*, Autoconf  automake  libtool, Manual and API reference (HTML  PDF), External  libnettle, Yes (limited)
JSSE, javax.net.ssl sun.security.ssl, Makefile, API Reference (HTML) + JSSE Reference Guide, Java Cryptography Architecture  Java Cryptography Extension, No
MatrixSSL, matrixSsl_* ps*, Makefile  MSVC project workspaces  Xcode projects for OS X and iOS, API Reference (PDF)  Integration Guide, Included (pluggable), Yes (Subset: SSL_read  SSL_write  etc.)
mbed TLS, mbedtls_ssl_* mbedtls_sha1_* mbedtls_md5_* mbedtls_x509* ..., Makefile  CMake  MSVC project workspaces  yotta, API Reference + High Level and Module Level Documentation (HTML), Included (monolithic), No
NSS, CERT_* SEC_* SECKEY_* NSS_* PK11_* SSL_* ..., Makefile, Manual (HTML), Included  PKCS#11 based[226], Yes (separate package called nss_compat_ossl[227])
OpenSSL, SSL_* SHA1_* MD5_* EVP_* ..., Makefile, Man pages, Included (monolithic), N/A
RSA BSAFE Micro-Edition Suite, R_*, Makefile, Developer's guide, Included, No
RSA BSAFE SSL-J, com.rsa.*, Java classloader, Javadoc  Developer's guide (HTML), Included, No
wolfSSL, CyaSSL_* SSL_*, Autoconf  automake  libtool  MSVC project workspaces  XCode projects  CodeWarrior projects  MPLAB X projects  Keil  IAR  Clang  GCC, Manual and API Reference (HTML  PDF), Included (monolithic), Yes (about 10% of API)
Implementation, Namespace, Build tools, API manual, Crypto back-end, OpenSSL compatibility layer
