Implementation, RSA[35], RSA-EXPORT (insecure)[35], DHE-RSA (forward secrecy)[35], DHE-DSS (forward secrecy)[35], ECDH-ECDSA[83], ECDHE-ECDSA (forward secrecy)[83], ECDH-RSA[83], ECDHE-RSA (forward secrecy)[83], GOST R 34.10-94  34.10-2001[84]
Botan, Disabled by default, No, Yes, Disabled by default, No, Yes, No, Yes, No
cryptlib, Yes, No, Yes, Yes, No, Yes, No, No, No
GnuTLS, Yes, No, Yes, Disabled by default[38], No, Yes, No, Yes, No
JSSE, Yes, Disabled by default, Yes, Yes, Yes, Yes, Yes, Yes, No[85]
LibreSSL, Yes, No[42], Yes, Yes, Yes, Yes, Yes, Yes, Yes[86]
MatrixSSL, Yes, No, Yes, No, Yes, Yes, Yes, Yes, No
mbed TLS, Yes, No, Yes, No, Yes, Yes, Yes, Yes, No
NSS, Yes, Disabled by default, Yes[87], Yes, Yes, Yes, Yes, Yes, No[88][89]
OpenSSL, Yes, No[52], Yes, Disabled by default[52], Yes, Yes, Yes, Yes, Yes[90]
RSA BSAFE, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, No
SChannel XP/2003, Yes, Yes, No, XP: Max 1024 bits 2003: 1024 bits only, No, No, No, No, No[91]
SChannel Vista/2008, Yes, Disabled by default, No, 1024 bits by default[92], No, Yes, No, except AES_GCM, No[91]
SChannel 8/2012, Yes, Disabled by default, AES_GCM only[93][94][95], 1024 bits by default[92], No, Yes, No, except AES_GCM, No[91]
SChannel 7/2008R2  8.1/2012R2, Yes, Disabled by default, Yes, 2048 bits by default[92], No, Yes, No, except AES_GCM, No[91]
SChannel 10, Yes, Disabled by default, Yes, 2048 bits by default[92], No, Yes, No, Yes, No[91]
Secure Transport OS X 10.6, Yes, Yes, except AES_GCM, Yes, Yes, except AES_GCM, Yes, except AES_GCM, No
Secure Transport OS X 10.8-10.10, Yes, No, except AES_GCM, No, Yes, except AES_GCM, Yes, except AES_GCM, No
Secure Transport OS X 10.11, Yes, No, Yes, No, No, Yes, No, Yes, No
wolfSSL, Yes, No, Yes, No, Yes, Yes, Yes, Yes, No
Erlang/OTP SSL application, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, No
Implementation, RSA[35], RSA-EXPORT (insecure)[35], DHE-RSA (forward secrecy)[35], DHE-DSS (forward secrecy)[35], ECDH-ECDSA[83], ECDHE-ECDSA (forward secrecy)[83], ECDH-RSA[83], ECDHE-RSA (forward secrecy)[83], GOST R 34.10-94  34.10-2001[84]
