Implementation, secp160k1 (15)[83], secp160r1 (16)[83], secp160r2 (17)[83], secp192k1 (18)[83], secp192r1 prime192v1 NIST P-192 (19)[83], secp224k1 (20)[83], secp224r1 NIST P-244 (21)[83], secp256k1 (22)[83], secp256r1 prime256v1 NIST P-256 (23)[83], secp384r1 NIST P-384 (24)[83], secp521r1 NIST P-521 (25)[83], arbitrary prime curves (0xFF01)[83][151], arbitrary char2 curves (0xFF02)[83][151]
Botan, No, No, No, No, No, No, No, No, Yes, Yes, Yes, No, No
BoringSSL, No, No, No, No, No, No, Yes, No, Yes, Yes, Yes (disabled by default), No, No
GnuTLS, No, No, No, No, Yes, No, Yes, No, Yes, Yes, Yes, No, No
JSSE, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No
LibreSSL, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No
MatrixSSL, No, No, No, No, Yes, No, Yes, No, Yes, Yes, Yes, No, No
mbed TLS, No, No, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No
NSS, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No
OpenSSL, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No
RSA BSAFE, No, No, No, No, Yes, No, Yes, No, Yes, Yes, Yes, No, No
SChannel Vista/2008  7/2008R2  8/2012  8.1/2012R2  10, No, No, No, No, No, No, No, No, Yes, Yes, Yes, No, No
Secure Transport, No, No, No, No, Yes, No, No, No, Yes, No, Yes, No, No
wolfSSL, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No
Erlang/OTP SSL application, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, no, no
Implementation, secp160k1 (15)[83], secp160r1 (16)[83], secp160r2 (17)[83], secp192k1 (18)[83], secp192r1 prime192v1 NIST P-192 (19)[83], secp224k1 (20)[83], secp224r1 NIST P-244 (21)[83], secp256k1 (22)[83], secp256r1 prime256v1 NIST P-256 (23)[83], secp384r1 NIST P-384 (24)[83], secp521r1 NIST P-521 (25)[83], arbitrary prime curves (0xFF01)[83][151], arbitrary char2 curves (0xFF02)[83][151]
