, Collapsible sections, Find and replace using RegEx, Intelligent error handling, Autocompletion of LaTeX commands, Parenthesis matching, Starts up to previous state[Note 12], Unicode support, RTL Support[Note 13], 
AUCTeX, Yes, Yes, Yes, Yes, Yes, Yes[Note 14], Yes, Yes, AUCTeX
Authorea, No, Yes, No, No, Yes, Yes, Yes, ?, Authorea
Auto-Latex Equations for Google Docs, No, Yes, No, No, No, Yes, Yes, ?, Auto-Latex Equations for Google Docs
CoCalc, Yes, Yes, No, Yes, Yes, Yes, Yes, ?, CoCalc
GNOME LaTeX, Planned, Yes, Yes, Yes, Yes, (just same files), Yes, Yes, GNOME LaTeX
Gummi, No, No, No, No, Yes, No, Yes, ?, Gummi
Kile, Yes[Note 15], Yes, Yes, Yes, Yes, Yes, Yes, Yes, Kile
LEd, Yes, Yes, ?, Yes, Yes, No (just same files), No, ?, LEd
LyX, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, LyX
MeWa, No, Yes, No, No, No, No, Yes, ?, MeWa
Notepad++, Yes, Yes, No, Partial[Note 16], Yes, Yes, Yes, Yes, Notepad++
Overleaf, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, Overleaf
Scientific WorkPlace, No, ?, ?, N/A, Yes, No, Yes, ?, Scientific WorkPlace
ShareLaTeX, Yes, Yes, Yes, Yes, Yes, Yes, Yes, ?, ShareLaTeX
TexLab, No, No, Yes, Yes, Yes, Yes, Yes, No, TexLab
TeXmacs, No, Yes, N/A, N/A, N/A, No, Yes, ?, TeXmacs
Texmaker, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Texmaker
TeXnicCenter, since v2.0, since v2.0, Yes, Yes, Yes, Yes, since v2.0, ?, TeXnicCenter
TeXShop, No, Yes, Yes, Yes, Yes, Yes, Yes, ?, TeXShop
TeXstudio, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, TeXstudio
TeXworks, No, Yes[Note 17], No, Yes[Note 18], Yes, No, Yes, Yes, TeXworks
Verbosus, No, No, Yes, Yes, Yes, No, Yes, ?, Verbosus
WinEdt, Yes, Yes (modified), Yes, Yes, Yes, Yes, Yes, Yes, WinEdt
WinShell, Yes, Yes, Yes, Yes, Yes, No (just same files), Yes, ?, WinShell
, Collapsible sections, Find and replace using RegEx, Intelligent error handling, Autocompletion of LaTeX commands, Parenthesis matching, Starts up to previous state[Note 19], Unicode support, RTL Support[Note 20], 
