Program, Operating systems, License, Open source, Protocols, Codecs, Encryption, Other abilities, Latest release
Acrobits Softphone, Android v2.2+  iOS v7.0+, Proprietary, No, SIP, G.711  G.722  iLBC  GSM  G.729, TLS  SRTP  ZRTP, VOIP over Wi-Fi or 3G iOS only: push notifications  video  number rewriting  address book matching  sms for betamax providers and pennytel, Acrobits Softphone: 3.20 (Android)  5.2 (iOS)
CounterPath Corporation Bria, Android v4.4+  iOS v10+, Proprietary, No, SIP, G.722 wideband  G.711a  G.711u  iLBC  G.729a  SILK  GSM  VP8  H.264  Opus, TLS  SRTP  ZRTP, Voice and video calling  SIP and XMPP messaging support  group chat  file  image and document sharing  contact integration  incoming call/IM push notifications., 5.3.4 July 23  2018; 17 months ago (2018-07-23)
CSipSimple, Android, GPL, Yes, SIP, Opus  AMR-WB  G.722  iSAC  iLBC  Speex  Silk  Codec2  G.726  G711 (PCMA & PCMU)  AMR  GSM, SRTP  SIP over TLS 1.0 and ZRTP, ?, 1.02.02
Google Duo, iOS  Android, Proprietary  freeware, No, WebRTC, ?, ?, One-to-one voice and video calling., Android 69.0.288601835.DR69_RC15 / January 9  2020; 6 days ago (2020-01-09)[52] iOS 67.0 / November 8  2019; 2 months ago (2019-11-08)[53], Android, 69.0.288601835.DR69_RC15 / January 9  2020; 6 days ago (2020-01-09)[52], iOS, 67.0 / November 8  2019; 2 months ago (2019-11-08)[53]
Android, 69.0.288601835.DR69_RC15 / January 9  2020; 6 days ago (2020-01-09)[52]
iOS, 67.0 / November 8  2019; 2 months ago (2019-11-08)[53]
iCall Mobile, iOS v4.3+, Proprietary  freeware, No, SIP AIM ICQ XMPP  Facebook  Yahoo! Messenger  Windows Live, Speex  CELT  WebM, TLS  ZRTP, VoIP over Wi-Fi or 3G  SMS  voicemail, 2.0.1; April 2012; 7 years ago (2012-04)
Jajah Mobile Web, Symbian  Windows Mobile (version unknown), Proprietary, No, ?, ?, ?, web based service  Call back no download[54], ?
JusTex by Juphoon, Android  iOS v5.1+, Proprietary, No, SIP, PCMA  PCMU  G.722  iLBC  iSAC  Opus  H.264  VP8  H.263, TLS  TCP  UDP  SRTP, JusTex Softphone over Wi-Fi or 3G  HD voice and video call  Multiparty call  conference., 3.0.1 (iOS); July 13  2014; 5 years ago (2014-07-13); 3.0 (Android); July 9  2014; 5 years ago (2014-07-09)
Line, Android  iOS, Proprietary, No, ?, ?, ?, ?, 
Line2, Android  iOS, Proprietary  freeware, No, Proprietary with SIP core, ?, ?, Tri-mode calling (cellular  3G/4G data  Wi-Fi)  SMS over IP  visual voicemail  20-person conference calls  auto-attendant  call-forwarding, 1.0.4 Android  3.2.1 iOS
Media5-fone, iOS  Android, Proprietary, No, SIP, PCMA  PCMU  G.722*  iLBC  iSAC*  G.729*, TLS*  SRTP*, Wi-Fi and 3G/4G data  second call*  conference calls*  HD Voice  Bluetooth* (* Additional fees), ?
Signal by Signal Messenger, iOS  Android, GPLv3, Yes, WebRTC[55], Opus[55], TLS  Signal Protocol[55], End-to-end encryption by default for everything. CallKit and location privacy [56] one-to-one and group messaging  video calling [56] image/video sharing  timed messages  identity verification  screenshot blocking. Android only: SMS/MMS messaging  doodling [57] GIF sharing.[58], Android 4.52.4 / December 19  2019; 27 days ago (2019-12-19)[59] iOS 3.2.0 / January 13  2020; 2 days ago (2020-01-13)[60] Desktop 1.29.4 / January 15  2020; 0 days ago (2020-01-15)[61], Android, 4.52.4 / December 19  2019; 27 days ago (2019-12-19)[59], iOS, 3.2.0 / January 13  2020; 2 days ago (2020-01-13)[60], Desktop, 1.29.4 / January 15  2020; 0 days ago (2020-01-15)[61]
Android, 4.52.4 / December 19  2019; 27 days ago (2019-12-19)[59]
iOS, 3.2.0 / January 13  2020; 2 days ago (2020-01-13)[60]
Desktop, 1.29.4 / January 15  2020; 0 days ago (2020-01-15)[61]
Sipdroid, Android, GPL, Yes, SIP, ?, ?, Uses Wi-Fi  3G or EDGE, 2.7
Tango by TangoME Inc., iOS  Android  Microsoft Windows  macOS  Windows Phone, Proprietary  freeware, ?, ?, ?, ?, VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  instant messaging  videoconferencing, ?
Truphone, Nokia-Symbian  iOS  Android  BlackBerry, Proprietary  freeware, No, SIP, ?, ?, VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  connection management  provisioning, Symbian 4.0  iOS 1.11.1
