Shell, Usual environment, Usually invoked, Introduced, Platform-independent, Default login shell in, Default script shell in, License, Source code availability, User interface, Mouse support, Unicode support, ISO 8601 support, Console redirection, Stream redirection, Configurability, Startup/shutdown scripts, Batch scripts, Logging, available as statically linked  independent single file executable
Thompson shell, UNIX, sh, 1971, N/A, UNIX, UNIX, N/A, Yes, Text-based CLI, No, No, N/A, Yes, N/A, N/A, N/A, N/A, N/A, N/A
Bourne shell 1977 version, 7th Ed. UNIX, sh, 1977, Yes[1], 7th Ed. UNIX, 7th Ed. UNIX , Proprietary[2], Yes, Text-based CLI, No, No, N/A, Yes, Yes (arbitrary fds), Yes (via variables and options), Yes (.profile), Yes (Unix feature), No, Yes
Bourne shell current version, Various UNIX, sh, 1977, Yes[3], SunOS-5.x  FreeBSD (non-root user)[4], SunOS-5.x, CDDL[5][better source needed], Yes, Text-based CLI, No, Yes[nb 1][better source needed], N/A, Yes, Yes (arbitrary fds), Yes (via variables and options), Yes (.profile), Yes (Unix feature), Yes[nb 2], Yes
POSIX shell[6], POSIX, sh, 1992[7], N/A, N/A, POSIX, N/A, N/A, Text-based CLI, No, Yes  if used by configured locale, N/A, Yes, Yes (arbitrary fds), Yes (via variables and options), Unspecified (.profile given as an example), Yes (Unix feature), Yes, N/A
bash (v4), POSIX, bash  sh, 1989[8], Yes, GNU  Linux (default for root)  macOS 10.3–10.14, GNU  Linux  Haiku  macOS 10.3–10.14, GPL, Yes, Text-based CLI, No, Yes[9][better source needed], Yes (printf builtin), Yes, Yes (arbitrary fds), Yes (via variables and options), Yes (/etc/profile  .bash_profile  .bash_login  .profile  .bashrc), Yes (Unix feature), Yes, Yes
csh, POSIX, csh, 1978, Yes, SunOS, ?, BSD, Yes, Text-based CLI, No, No, ?, Yes, Yes (stdin  stdout  stdout+stderr), Yes (via variables and options), Yes (~/.cshrc  ~/.login  ~/.logout), Yes (Unix feature), Yes, Yes
tcsh, POSIX, tcsh  csh, 1983[10], Yes, FreeBSD (default for root)  formerly Mac OS X, ?, BSD, Yes, Text-based CLI, No, Yes, ?, Yes, Yes (stdin  stdout  stdout+stderr), Yes (via variables and options), Yes (/etc/csh.cshrc  /etc/csh.login  ~/.tcshrc  ~/.cshrc  ~/.history  ~/.login  ~/.cshdirs), Yes (Unix feature), Yes, Yes
Hamilton C shell, Win32  OS/2, csh, 1988[11], Yes (OS/2 version no longer maintained), Optional, Optional, Proprietary, No, Text-based CLI, No, No, Yes (-t timestamp operator), Yes, Yes (stdin  stdout  stdout+stderr), Yes (via variables and options), Yes (via login.csh  startup.csh and logout.csh), Yes (command line option), Yes, Yes
Scsh, POSIX, scsh, 1994, Yes, ?, ?, BSD-style, Yes, ?, ?, ?, ?, ?, Yes, ?, ?, ?, ?, Yes
ksh (ksh93t+), POSIX, ksh, 1983[12][13], Yes, AIX  HP-UX, OpenSolaris, Common Public License, Yes, Text-based CLI, No, Yes, Yes (printf builtin with %(%F)T[14]), Yes, Yes (arbitrary fds), Yes (via variables and options), Yes (system and user's profile and kshrc), Yes (Unix feature), Yes, Yes
pdksh, POSIX, ksh  sh, 1989?, Yes, OpenBSD[15], OpenBSD[15], Public Domain, Yes, Text-based CLI, No, No, N/A, Yes, Yes (arbitrary fds), Yes (via variables and options), Yes (/etc/profile  .profile), Yes (Unix feature), Yes, Yes
zsh, POSIX, zsh, 1990, Yes, Deepin  GoboLinux  Grml  macOS 10.15+, Grml  macOS 10.15+, MIT-style, Yes, Text-based CLI, via additional code[16], Yes, Yes (various internal features involving the date  by using the %F strftime format[17] and the -i option for the fc builtin[18]), Yes, Yes (arbitrary fds), Yes (via variables  options  functions  styles  etc.), Yes (system and user's zshenv  zprofile  zshrc  zlogin  zlogout), Yes (Unix feature), Yes, Yes
ash, POSIX, sh, 1989, Yes, Minix  BusyBox based systems, NetBSD  Minix  BusyBox based systems, BSD-style, Yes, Text-based CLI, No, Partial (for BusyBox  supported in command-line editing  but not in string handling[19]), N/A, Yes, Yes (arbitrary fds), Yes (via variables and options), Yes (/etc/profile  .profile), Yes (Unix feature), Yes, Yes
