Shell, Secure (password) prompt, Encrypted variables/ parameters, File/directory passwords, Execute permission, Untrusted script blocking, Restricted shell subset, Safe data subset
Bourne shell, via stty[nb 20], No, ?, N/A[nb 21], No, Yes, No
POSIX shell, via stty[nb 20], No, ?, N/A[nb 21], No, No, No
bash (v4.0), read -s, No, ?, N/A[nb 21], No, Yes, No
csh, via stty[nb 20], No, ?, N/A[nb 21], No, Yes, No
tcsh, via stty[nb 20], No, ?, N/A[nb 21], No, Yes, No
Hamilton C shell, No, No, No, No, No, No, No
Scsh, via stty[nb 20], No, ?, N/A[nb 21], No, No, No
ksh (ksh93t+), via stty[nb 20], No, ?, N/A[nb 21], No, Yes, No
pdksh, via stty[nb 20], No, ?, N/A[nb 21], No, Yes, No
zsh, read -s, No, ?, N/A[nb 21], No, Yes, No
ash, via stty[nb 20], No, ?, N/A[nb 21], No, Yes, No
CCP, No, No, No, No, No, No, No
COMMAND.COM, Partial (only under DR-DOS  prompts for password if file/directory is protected), No, Partial (only under DR-DOS via \dirname;dirpwd\filename;filepwd syntax)[nb 22], Partial (only under DR-DOS  if files are password-protected for read and/or execute permission)[nb 23], No, No, No
OS/2 CMD.EXE, No, No, No, No, No, No, No
Windows CMD.EXE, No, No, No, No, No, No, No
4DOS, Yes (via INPUT /P or INKEY /P)[nb 24], No, Partial (only under DR-DOS via \dirname;;dirpwd\filename;;filepwd syntax)[nb 22], Partial (only under DR-DOS  if files are password-protected for read and/or execute permission)[nb 23], No, No, No
4OS2, ?, No, No, No, No, No, No
TCC (formerly 4NT), Yes (via INPUT /P  INKEY /P or QUERYBOX /P)[nb 24], No, No, No, No, No, No
PowerShell, Yes[nb 25], Yes, No, No[nb 26], Yes[53], Yes[nb 27], Yes[54]
rc, via stty[nb 20], No, ?, N/A[nb 21], No, Yes[55], No
BeanShell, ?, ?, ?, ?, ?, ?, ?
VMS DCL, Yes, No, No, Yes, No, Yes, No
fish, read -s, No, ?, N/A[nb 21], No, Yes (via fish -l), ?
