Format, File extension, Owner or creator, License, Variable bit rate audio, Variable frame rate, Chapters, Metadata / tags, Interactive menus, Streaming, Attachments[i], 3D[1], Hardware players
3GPP (3GP), .3gp, 3GPP, Patent encumbered, Yes, Yes, No, Yes, No, Yes[2], No, No, Yes
3GPP2 (3G2), .3g2, 3GPP2, Patent encumbered, Yes, Yes, No, Yes, No, Yes, No, No, Yes
Advanced Systems Format (ASF), .asf  .wmv, Microsoft, Proprietary  patent encumbered, Yes, Yes, Yes, Yes, No, Yes, ?, Yes, Yes
Audio Video Interleave (AVI), .avi, Microsoft, Proprietary[3], Yes[ii], Yes[iii], Needs alterations, Yes through RIFF chunks, No, No, No, No, Yes
DivX Media Format (DMF), .divx, DivX  Inc., Proprietary, Yes, Yes, Yes, ?, Yes, Yes, ?, No, Yes
Enhanced VOB (EVO), .evo, DVD Forum, Patent encumbered, Yes, Yes, Yes, ?, Yes, ?, ?, No, ?
Flash Video F4V, .f4v, Adobe Inc., Patent encumbered, ?, Yes, ?, Yes, No, Yes, ?, No, ?
Flash Video FLV, .flv, Adobe Inc., Patent encumbered, ?, Yes, No, Yes, No, Yes, ?, No, ?
Matroska Multimedia Container, .mkv  .mk3d, CoreCodec  Inc.[iv], Freely licensed[v], Yes[vi], Yes[vi], Yes[7], Yes[8], Pending[9], Yes[vii], Yes[11], Yes[12][11], Yes[viii]
MPEG-4 Part 14 (MP4), .mp4, MPEG, Patent encumbered, Yes, Yes, In specially formatted text track (QuickTime); 2) In userdata atom (started by Nero Digital) can't interact with the sceneDescription  or via segmentDescriptor, Yes, Yes, Yes, Yes, Only at video format level, Yes
MPEG Video File, .mpg  .mpeg, MPEG, Patent encumbered, Yes, Yes, No, No, No, Yes, ?, No, Yes
MPEG program stream (PS), .m2p  .ps, MPEG, Patent encumbered, Yes, ?, Only in private streams — used in VOB files on DVDs, No, Only in private streams — used in VOB files on DVDs, ?, ?, No, Yes
MPEG transport stream (TS), .ts, MPEG, Patent encumbered, Yes, Yes, No, No, No, Yes, ?, No, Yes
BDAV MPEG-2 transport stream (M2TS), .m2ts, BDA, Proprietary, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Needs multiple files[ix], Yes
Material Exchange Format (MXF), .mxf, SMPTE, Open standard  patent-free[17], Yes, Yes, ?, Yes, No, ?, ?, Yes[18], No
Ogg, .ogg, Xiph.Org Foundation, BSD-style license  patent-free, Yes, Yes, Yes, CMML  Ogg Skeleton  Vorbis comment[19], No, Yes, ?, No, Yes
QuickTime File Format (QTFF), .mov  .qt, Apple Inc., Proprietary[20], Yes, Yes, Yes, Yes, Yes, Yes, Yes, Not standard, Yes
RealMedia Variable Bitrate (RMVB), .rmvb, RealNetworks, Proprietary, ?, Yes, ?, ?, No, Yes, ?, No, ?
Video Object (VOB), .vob, DVD Forum, Proprietary, Yes, Yes, Needs multiple files[x], No, Needs multiple files[x], No, No, No, Yes
WebM, .webm, Google, CC BY 3.0 for specs [21] BSD-like[22] royalty-free[23] for tools, Yes, Yes, Yes[24], Yes[24], No[24], With MPEG-DASH[25], No[24], Some stereo modes[24] of VP8[26], Yes
Format, File extension, Owner or creator, License, Variable bit rate audio, Variable frame rate, Chapters, Metadata / tags, Interactive menus, Streaming, Attachments[i], 3D[1], Hardware players
