Name, AccuRev, BitKeeper, CA Harvest, ClearCase, CVS, Darcs, Git, GNU Bazaar, Integrity, Mercurial, Perforce, Plastic, PVCS, StarTeam, Subversion, Surround, Synergy, Team Concert, TFVC, Vault, Visual SourceSafe
Apache Gump, No, No, No, No, Yes, No, No, No, No, No, No, No, No, No, Yes, No, No, No, No, No, No
AppVeyor, No, No, No, No, No, No, Yes, No, No, Yes, No, No, No, No, Yes[19], No, No, No, No, No, No
Azure DevOps Server, No, No, No, No, No, No, Yes, No, No, No, No, No, No, No, Yes, No, No, No, Yes, No, No
Bamboo, Yes[20], No, No, Yes, Yes, No, Yes, No, No, Yes, Yes, No, No, No, Yes, No, No, No, Yes[21], No, No
Buddy, No, No, No, No, No, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, No, No
BuildBot, No, No, No, No, Yes, Yes, Yes, Yes, No, Yes, Yes, No, No, No, Yes, No, No, No, No, No, No
BuildMaster, Yes, No, No, Yes, Yes, No, Yes, No, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, No, No, Yes, Yes, Yes
CruiseControl, No, No, No, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, No, No, Yes, Yes, Yes, No, No, Yes, No, Yes
CruiseControl.NET, Yes, Yes, No, Yes, Yes, No, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes
Distelli, No, No, No, No, No, No, Yes, No, No, Yes, No, No, No, No, No, No, No, No, No, No, No
Jenkins, Yes, Yes, Yes, Yes, Yes, Yes[22], Yes, Yes, Yes[23], Yes, Yes, Yes[24], Yes, Yes, Yes, Yes[25], Yes[26], Yes[27], Yes, Yes[28], Yes
OpenMake Software Meister, Yes, No, Yes, Yes, Yes, No, Yes, No, Yes, No, Yes, No, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, Yes
Semaphore (software), No, No, No, No, No, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, No, No
TeamCity, Yes, No, No, Yes, Yes, No, Yes, Yes[29], No, Yes, Yes, No, No, Yes, Yes, No, No, No, Yes, Yes, Yes
Vexor, No, No, No, No, No, No, Yes, No, No, No, No, No, No, No, No, No, No, No, No, No, No
