Product, Creator, Latest stable release date, Latest stable release, License, Runs on Windows, Runs on Mac OS X, Runs on Linux, Oracle, MySQL, PostgreSQL, MS SQL Server, ODBC, JDBC, SQLite, Other, Programming language
Adminer, Jakub Vrána, 2019-07-18[±], 4.7.2[1], Apache License or GPL, Yes, Yes, Yes, Yes, Yes, Yes, Yes, , , Yes, , PHP
DaDaBIK, Eugenio Tacchini, 2019-07-23[±], 9.4 Monterosso[2], Proprietary, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, Yes, , PHP
Database Deployment Manager, The Unauthorized Frog project, 2012-05-29, v0.1i, LGPL, Yes, No, Yes, , Yes, , , , , , , Qt/C++
DatabaseSpy, Altova, 2019-04-02[±], 2019r3[3], Proprietary, Yes, No, No, Yes, Yes, Yes, Yes, Yes, Yes, , IBM DB2  Sybase  MS Access, C++
Database Workbench, Upscene Productions, 2017-06-29, 5.3.2, Proprietary, Yes, requires Wine, requires Wine, Yes, Yes, , Yes, Yes, , , InterBase  Firebird  SQL Anywhere  NexusDB and MariaDB, Delphi
DataGrip, JetBrains, 2017-09-06, 2017.2.2, Proprietary, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Sybase  DB2  H2  Hypersonic SQL  Amazon Redshift  Apache Derby, Java
DBeaver, Serge Rider, 2019-03-10, 6.0, Apache License, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, MySQL  PostgreSQL  Oracle  EXASOL  IBM DB2  SQL Server  Apache Derby  Firebird all with JDBC driver, Java
DBEdit, Jef Van Den Ouweland, 2012-05-10, 2.4.6, GPL, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, IBM DB2  HSQLDB  Apache Derby  H2, Java
Epictetus, Antilogic Software, ?, ?, Proprietary, Yes, Yes, Yes, Yes, , Yes, Yes, , , , Sybase  InterBase/Firebird  H2  HSQLDB, Java
HeidiSQL, Ansgar Becker, 2019-06-15[±], 10.2[5], GPL, Yes, requires Wine, requires Wine, , Yes, Yes, Yes, , , , , Embarcadero Delphi
Maatkit, Baron Schwartz, 2010-06-01, 5247, GPL, Yes, Yes, Yes, , Yes, , , , , , , Perl
Microsoft SQL Server Management Studio, Microsoft, 2019-07-28[6], 18.2, Proprietary, Yes, No, No, , , , Yes, , , , including SSAS management  and MDX  DMX  and XMLA languages, .Net
ModelRight, ModelRight, 2016-12-??, 4.1[7][8], Proprietary, Yes, No, No, Yes, Yes, , Yes, Yes, , , SQL Server  Oracle  MySQL  PostgreSQL  DB2  DB2/zOS  MS Access, C++
MySQL Workbench, Oracle Corporation, 2019-10-14[±], 8.0.18[9], Community Ed: GPL Standard Ed: Commercial Proprietary, Yes, Yes, Yes, , Yes, , , , , , , C++/C# Objective-C Python (programming language)
Navicat, PremiumSoft CyberTech Ltd., 2018-07-26, 12.1, Proprietary, Yes, Yes, requires Wine, Yes, Yes, Yes, Yes, Yes, , Yes, , Borland Delphi Objective-C
Navicat Data Modeler, PremiumSoft CyberTech Ltd., 2015-12-10, 2.1, Proprietary, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, , Yes, , Borland Delphi Objective-C
Oracle Enterprise Manager, Oracle Corp., 2015-06-16, 12.1.0.5, Proprietary, Yes, No, Yes, Yes, Yes, , Yes, , , , DB2  Sybase  TimesTen, Java
Oracle SQL Developer, Oracle Corp., 2018-04-05, 18.1.0.095.1630, Proprietary, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, , Microsoft Access  Sybase  DB2  Teradata, Java
Orbada, Andrzej Kaluza, 2016-12-06[±], 1.2.5.395[10], GPL, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Firebird  HSQL  InterBase  Derby all with JDBC driver, Java
pgAdmin III, pgAdmin Development Team, 2012-09-11, 1.22.2, PostgreSQL License, Yes, Yes, Yes, , , Yes, , , , , , C++
phpLiteAdmin, Dane Iracleous  Christopher Kramer and others, 2019-09-05, 1.9.8.2[11], GPL, Yes, Yes, Yes, No, No, No, No, No, No, Yes, , PHP
phpMyAdmin, phpMyAdmin Development Team, 2019-11-22[±], 4.9.2[12], GPL, Yes, Yes, Yes, , Yes, , , , , , Drizzle  MariaDB, php
SQL Database Studio, Jan Prochazka, 2016-05-27, 3.4.1, Proprietary, Yes, No, No, No, No, No, Yes, , , , , .NET  WPF  C#
SQLyog, Webyog Softworks Pvt. Ltd., 2019-07-19[±], 13.1.5[13], GPLv2, Yes, requires Wine, requires Wine, , Yes, , , , , , , C++
SQuirreL SQL, Colin Bell  Gerd Wagner  Rob Manning and others, 2019-09-09[±], 4.0.0[14], GPLv2 & LGPLv2, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Access Axion Java RDBMS  Apache Derby  Daffodil DB  FileMaker (JDBC)  Fujitsu Siemens SESAM/SQL  Firebird  FrontBase  HSQLDB  Hypersonic SQL  H2 (DBMS)  IBM DB2  Informix  Ingres  OpenIngres  InstantDB  InterBase  Mckoi SQL Database  Microsoft SQL Server  Mimer SQL  Netezza  Pointbase  SAPDB  Sybase  Sunopsis XML Driver  Teradata Warehouse  ThinkSQL RDBMS  Vertica Analytic Database  and others with JDBC drivers., Java
Toad, Quest Software, Various, Various, Proprietary, Yes, No, No, Yes, Yes, , Yes, Yes, , , DB2  Sybase, Embarcadero Delphi  C#.NET
Toad Data Modeler, Quest Software, 2009-03-05, 3.3.8, Proprietary, Yes, No, No, Yes, Yes, Yes, Yes, , , , DB2  MS Access  Sybase, Embarcadero Delphi
TOra, Community, 2017-07-04, 3.2, GPL, Yes, Yes, Yes, Yes, Yes, Yes, , , , , Teradata, C++/Qt
