Program, Developer, License, Supported file systems, Supported platforms, GUI, CLI, Script, Scheduler, Boot time, Auto defrag when idle, Stable release
Auslogics Disk Defrag, Auslogics, Freeware, FAT16  FAT32  NTFS, Windows XP and later, Yes, Yes, , Yes, Yes, Yes, 7.1.5.0 (Free)  4.8.1.0 (Pro) (July 17  2017; 2 years ago (2017-07-17) (Free)  December 12  2016; 2 years ago (2016-12-12) (Pro)) [±]
AVG PC TuneUp, AVG Technologies, Trialware, , , , , , , , , 2015 (v15.0.1001.238) (November 30  2014)
Contig, Microsoft, Freeware, NTFS, Windows XP and later; Windows Server 2003 and later, No[1], Yes, No, Yes  with Windows Task Scheduler, No, Yes  with Windows Task Scheduler[a], 1.8 (July 4  2016)[1]
Defraggler, Piriform, Freeware, FAT32  NTFS  exFAT  ReFS[2], Windows XP and later, Yes, Yes, No, Yes  with Windows Task Scheduler[b], Yes, Yes  with Windows Task Scheduler[a], 2.22.995 [4] (May 22  2018 (2018-05-22)) [±]
Disk Defragmenter, Microsoft, Bundled with Microsoft Windows, FAT16  FAT32  NTFS  ReFS, Windows NT 4 and later; Windows 95 and later, Yes, Yes, Yes, Yes; via Security and Maintenance, No, Yes; via Security and Maintenance, Same as Windows
Diskeeper, Condusiv Technologies, Trialware, FAT16  FAT32  NTFS, Windows XP and later, Yes[5], Yes[6], Yes[7], Yes[c], Yes[8], Yes, 2018 (18.0.1226.0) (March 28  2018 (2018-03-28)) [±]
JkDefrag, Jeroen Kessels, GNU GPL, FAT & NTFS, Windows 2000  Windows XP  Windows Vista, Yes, Yes, , , , , 3.36.0.2 / August 31  2008
O&O Defrag, O&O Software, Trialware, FAT16  FAT32  NTFS, Windows 2000  XP  Vista  Server 2008  7  and 8, Yes, Yes, , Yes, Yes, Yes, 22.1.2521 (January 15  2019) [±]
PageDefrag, Microsoft, Freeware, , , , , , , , , 
PerfectDisk 14, Raxco, Trialware, FAT16  FAT32  exFAT  NTFS  ReFS* and CSVFS[1], Windows XP SP3 or higher (x86  x64) Windows 10  Windows Server 2003 SP1 Windows Server 2019[2], Yes, Yes(Enterprise Console Edition Only), , Yes, Yes, Yes, PerfectDisk 14 Build 894(May 2  2019)[9]
UltimateDefrag, DiskTrix, Trialware[10], FAT32  NTFS, Windows XP and later, Yes, Yes, , Yes, Yes, , 6.0.20.0 (29 July 2019)
UltraDefrag, Dmitri Arkhangelski  Justin Dearing  Sayem Chaklader  Stefan Pendl, Commercial software (8.0) / GNU GPL (7.1.2), FAT12  FAT16  FAT32  NTFS  exFAT[11], Windows NT 4.0 and later, Yes, Yes, Yes[d][12], Yes  with Windows Task Scheduler, Yes, Yes  with Windows Task Scheduler[a], 9.0.0 (September 21  2019; 2 months ago (2019-09-21)) [±]  Open source version discontinued[13]
Vopt, GoldenBow (or DataTuna)[14], Discontinued (formerly freeware), FAT32  NTFS, Windows 2000 and later, Yes, , , Yes, , , 9.21.0001 (November 14  2010 (2010-11-14)) [±]
Program, Developer, License, Supported file systems, Supported platforms, GUI, CLI, Script, Scheduler, Boot time, Auto defrag when idle, Stable release
