Name, Creates?, Modifies?, Mounts?, Writes/Burns?, Extracts?, Input format, Output format, OS, License
7-Zip, Yes, No, No, No, Yes, CramFS  DMG  FAT  HFS  MBR  NTFS  ISO  SquashFS  UDF  VHD  WIM[1], WIM, Windows  Linux  Classic Mac OS, Free software (GPL)
AcetoneISO, Yes, No, Yes, Yes, Yes, CD  DVD  ISO  BIN  MDF+MDS  IMG  NRG  CUE  TOC  DMG, CD  DVD  ISO  BIN, Linux, Free software (GPL)
Acronis True Image, Yes, No, Yes, Yes, Yes, TIB  VHD, TIB  VHD, Windows, Shareware
Alcohol 120%, Yes, No, Yes, Yes, No, ISO  B5T  B6T  BWT  CCD  CDI  CUE  MDF+MDS  NRG  ISZ, MDF+MDS  ISO, Windows, Trialware
Alcohol 52% FE, Yes, No, Yes, No, No, ISO, N/A, Windows, Adware
AnyDVD HD, Yes, No, No, No, No, N/A, ISO, Windows, Shareware
Archive Manager, No, No, No, No, Yes, ISO, N/A, Unix-like, Free software (GPL)
Ashampoo Burning Studio, Yes, No, No, Yes, No, ISO  BIN+CUE, ISO  BIN+CUE, Windows, Shareware[a]
BlindWrite, Yes, No, No, Yes, No, B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS, B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS, Windows, Shareware
Brasero, No, No, No, Yes, No, ISO  CUE, CD  DVD, Linux, Free software (GPL)
Burnatonce, No, No, No, Yes, No, ISO  CUE  TOC, N/A, Windows, Freeware
CDBurnerXP, Yes, No, No, Yes, No, ISO  MDF+MDS  NRG  BIN+CUE, ISO  MDF+MDS, Windows, Freeware
CDemu, Yes, No, Yes, Yes, Yes, CSO  ECM  GBI  GZ  XZ  ISZ  DMG  ISO  UDF  NRG  CDI  CCD  SUB  IMG  BIN+CUE  TOC  B5T+B5I  B6T+B6I  MDF+MDS  MDX  CIF  C2D  DAA, ISO  TOC, Linux, Free software (GPL v2)
genisoimage, Yes, No, No, No, No, N/A, ?, Linux  Unix, Free software (GPL)
isoinfo, No, No, No, No, Yes, ?, N/A, Unix  Linux  Amiga Windows  macOS, Free software (GPL)
mkisofs, Yes, No, No, No, No, N/A, ?, Unix  Linux  Amiga Windows  macOS, Free software (GPL)
CDRoller, Yes, No, No, Yes, Yes, ISO, ISO, Windows, Shareware
