Name, Creator, First public version (date), Latest stable version (date  number), Cost, Software license
Altap Salamander, Altap, August 15  1997 (1997-08-15), July 1  2019; 6 months ago (2019-07-01) (4.0), Free, Proprietary
Commander One, Eltima Software, August 4  2015 (2015-08-04), 2019; 1 year ago (2019) (2.3), US$29.95[1], Proprietary
CRAX Commander, Soft4U2, September 1  2013 (2013-09-01), June 5  2018; 19 months ago (2018-06-05) (1.11.1), US$19.99[1], Proprietary
Directory Opus, Jonathan Potter  GPSoftware, Amiga: v1 (1990-01-03) Windows: v6 (2001-06-18), December 19  2018; 12 months ago (2018-12-19) (12.11), A$49 lite / A$89 pro, Proprietary
Dired, integral part of Emacs  part of the GNU project, 1974?, July 30  2009; 10 years ago (2009-07-30) (7.17), Free, GPL
Dolphin, KDE, June 7  2006 (2006-06-07) (0.5), 19.12 (12 December 2019; 33 days ago (2019-12-12)[2]) [±], Free, GPL
DOS Navigator, Ritlabs, 1991 (0.90), 1999 (1.51), Free, BSD original
DOS Shell, Microsoft / IBM, 1988, 1998, Part of MS-DOS/PC DOS (OS), Proprietary
Double Commander, Alexander Koblov (alexx2000) and others, 2007, July 7  2019; 6 months ago (2019-07-07) (0.9.5), Free, GPL
emelFM2, tooar, September 6  2003 (2003-09-06), February 18  2014; 5 years ago (2014-02-18) (0.9.1), Free, GPL
Explorer++, David Ercig, January 8  2008 (2008-01-08), February 3  2013; 6 years ago (2013-02-03) (1.3.5), Free, GPL
Far Manager, Eugene Roshal (original); Far Group, 1996, 3.0 build 5000 (7 August 2017; 2 years ago (2017-08-07)) [±], Free, BSD revised
File Commander, Brian Havard, 1993, March 3  2011; 8 years ago (2011-03-03) (2.40), A$35.00, Proprietary
File Explorer[3], Microsoft, August 24  1995 (1995-08-24), July 29  2015; 4 years ago (2015-07-29), Part of Windows (OS), Proprietary
File Manager, Microsoft (Ian Ellison-Taylor), 1990, January 7  2019; 12 months ago (2019-01-07) (10.0.1901.1)[4], Part of Windows (OS), MIT[4]
Files (Apple), Apple Inc., September 19  2017; 2 years ago (2017-09-19), , Part of iOS (OS), Proprietary
Files by Google, Google LLC, 5 December 2017; 2 years ago (2017-12-05), , Free, Proprietary
GeoManager, Berkeley Softworks[5]  Breadbox Ensemble[6], 1990, 2009, Part of PC/GEOS (OS), Proprietary
Finder, Apple Inc., January 1984 (1984-01), August 13  2015; 4 years ago (2015-08-13) (10.10.5), Part of macOS (OS), Proprietary
fman, Michael Herrmann, July 18  2016 (2016-07-18), April 22  2019; 8 months ago (2019-04-22) (1.5.8), US$18[1], Proprietary
ForkLift, BinaryNights, June 1  2007 (2007-06-01), April 10  2018; 21 months ago (2018-04-10) (3.2.2), US$29.95[1], Proprietary
gentoo, Emil Brink, ?, March 18  2012; 7 years ago (2012-03-18) (0.19.13), Free, GPL
GNOME Commander, GNOME Commander, September 2001 (2001-09), May 28  2017; 2 years ago (2017-05-28) (1.6.4), Free, GPL
GNOME Files[7], Eazel, April 11  2001 (2001-04-11), 3.34.3[8] (9 January 2020; 5 days ago (2020-01-09)) [±], Free, GPL
Konqueror, KDE, October 2000 (2000-10), 4.14.38 (November 7  2017; 2 years ago (2017-11-07)) [±][9], Free, GPL
Krusader, Krusader Krew, July 11  2000 (2000-07-11), 2.7.2 "Peace of Mind" (August 25  2019; 4 months ago (2019-08-25)[10]) [±], Free, GPL
Midnight Commander[11], GNU Midnight Commander, < May 1994[12], December 12  2018; 13 months ago (2018-12-12) (4.8.22), Free, GPL
muCommander, Maxence Bernard, February 17  2002 (2002-02-17), December 8  2018; 13 months ago (2018-12-08) (0.9.3), Free, GPL
Nemo, Linux Mint, July 2012 (2012-07) (1.0.0), December 11  2018 (4.0.5)[13], Free[14], GPL
Nomad.NET, Eugene Sichkar, August 14  2008 (2008-08-14) (2.2.0.537 beta), June 13  2016; 3 years ago (2016-06-13) (3.2.0.2890), Free, Proprietary
Norton Commander, Peter Norton Computing  later Symantec corporation, 1986, February 1  1999 (1999-02-01) (2.01 Windows DOS: 1998-07-01 (5.51)), ?, Proprietary
Path Finder[15], Cocoatech, April 2001 (2001-04), September 2  2014; 5 years ago (2014-09-02) (7), US$39.95, Proprietary
PathMinder, Albert Nurick and Brittain Fraley, 1984, 1988 (4.11), US$39.95, Proprietary
PCManFM, Hong Jen Yee, January 9  2006 (2006-01-09), February 21  2016; 3 years ago (2016-02-21) (1.2.4), Free, GPL
PC Shell, Central Point Software, 1986, , paid[16], Proprietary
ROX-Filer, Thomas Leonard et al., Before March 10  2000 (2000-03-10), October 9  2011; 8 years ago (2011-10-09) (2.11), Free, GPL
SpaceFM, IgnorantGuru, January 13  2012 (2012-01-13) (0.5.0), January 20  2016; 3 years ago (2016-01-20) (1.0.5), Free, GPL
STDU Explorer, STDUtility, March 23  2009 (2009-03-23), May 24  2012; 7 years ago (2012-05-24) (1.0.465), Free, Proprietary
Tabbles, Yellow blue soft UAB, August 1  2009 (2009-08-01), August 12  2016; 3 years ago (2016-08-12) (3.1.29), US$29.95[1], Proprietary
Thunar, Xfce, January 22  2006 (2006-01-22), June 6  2018; 19 months ago (2018-06-06) (1.8.0)[17], Free, GPL
Total Commander[18], Christian Ghisler, September 25  1993; 26 years ago (1993-09-25) (1.00d), March 29  2019; 9 months ago (2019-03-29) (9.22a), CHF40  €37  US$42[1], Proprietary
ViewMAX, Digital Research / Novell, 1990 (1.0), 1993 (3.0), Part of DR-DOS (OS), GPL[19]
Volkov Commander, Vsevolod Volkov, circa 1992, 4.05 (February 21  2001; 18 years ago (2001-02-21)) [±], shareware / freeware, Proprietary
WinSCP, WinSCP, September 30  2000 (2000-09-30), 5.15.9[20] (December 5  2019; 40 days ago (2019-12-05)) [±], Free, GPL
Xandros File Manager, Xandros Corporation, ?, July 26  2007; 12 years ago (2007-07-26) (4.2), Part of Xandros Desktop, Proprietary
Xfe, Roland Baudin, 2002, September 16  2018; 15 months ago (2018-09-16) (1.43.1), Free, GPL
Xfile, Rixstep, March 2  2003 (2003-03-02), February 19  2007; 12 years ago (2007-02-19) (1.8.0), US$79.00[21], Proprietary
Xfm, Simon Marlow  Albert Gräf  Till Straumann  Robert Vogelgesang  Juan D. Martin, 1992, September 2001; 18 years ago (2001-09) (1.4.3), Free, GPL
