File manager, DOS, OS/2 & eCS, Windows, Mac OS X, Linux, BSD, Unix, AmigaOS, OpenVMS
Directory Opus, No, No, Yes, No, No, No, No, Yes[22], No
Dired, Yes[23], Yes[24], Yes[25], Yes[26], Yes, Yes, Yes, Yes[27], Yes[28]
Dolphin, No, No, Needs KDE[29], Yes[30], Yes, Yes, Yes, No, No
Double Commander, No, No, Yes, Yes, Yes, Yes, Yes, No, No
DOS Navigator, Yes, Yes, Yes, No, No, No, No, No, No
emelFM2, No, No, No, No, Yes, Yes, Yes, No, No
File Commander, No, Yes, Yes, No, Yes, Yes, Yes, No, No
fman, No, No, Yes, Yes, Yes, No, No, No, No
GNOME Commander, No, No, No, Yes, Yes, Yes, Yes, No, No
Konqueror, No, No, Needs KDE[29], Yes[30], Yes, Yes, Yes, No, No
Krusader, No, No, No, Needs X, Yes, Yes, Yes, No, No
Midnight Commander, Yes, No, Yes[31], Yes[32], Yes, Yes, Yes, Yes, No
muCommander, No, No, Yes, Yes, Yes, Yes, Yes, ?, Yes
nnn, No, No, No, Yes, Yes, Yes, Yes, No, No
GNOME Files (Nautilus), No, No, No, No, Yes, Yes, Yes, No, No
Nemo, No, No, No, No, Yes, Yes, Yes, No, No
PathMinder, Yes, No, Yes, No, No, No, No, No, No
PCManFM, No, Needs POSIX-compliant platform, Needs POSIX-compliant platform, Needs POSIX-compliant platform, Yes, Yes, Yes, No, Yes
Ranger, No, No, No, Yes, Yes, Yes, Yes, No, No
ROX-Filer, No, No, , , Yes, Yes, Yes, No, No
Thunar, No, No, No, No, Yes, Yes, Yes, No, No
Total Commander, No, No, Yes, No, Yes, No, No, No, No
Volkov Commander, Yes, Yes, Yes, No, No, No, No, No, No
Xandros File Manager, No, No, No, No, Yes, ?, ?, No, No
Xfe, No, Needs X, Needs X, Needs X, Yes, Yes, Yes, Needs X[33], Yes
Xfm, No, Needs X, Needs X, Needs X, Yes, Yes, Yes, No, Yes
ZTreeWin, No, Yes, Yes, No, No, No, No, No, No
File manager, DOS, OS/2 & eCS, Windows, Mac OS X, Linux, BSD, Unix, AmigaOS, OpenVMS
