Name, Network[1], Anonymous P2P, Link system compatibility, Price, Platform, License, Programming language, Free Spyware-Adware, Latest release version, Extra information
aMule, eDonkey  Kad, No, eD2k  magnet, Free, GNU  macOS  Windows, GPL, C++, Yes, 2016  2.3.2 (September 16  2016; 3 years ago (2016-09-16)[2]) [±], 
Ares Galaxy, Ares  BitTorrent, No, arlnk, Free, Windows, GPL, Object Pascal (Delphi), Yes, 2017  2.4.6 (August 22  2017; 2 years ago (2017-08-22)) [±][3], 
BitComet, BitTorrent  eDonkey  Kad;[4] HTTP/FTP download, No, ed2k [4] magnet, Free, Windows, Proprietary, C++, Yes, 2015  1.61 (November 4  2019; 44 days ago (2019-11-04)) [±][5], Exploits SuperSeeding and thus is often banned by trackers and peers. Compatible with e2DK links through an eMule plugin which gives access to eDonkey and Kad networks and cross-network sharing abilities with BitTorrent network.
Cabos, Gnutella, No, magnet, Free, macOS  Windows, GPL, Java  REALbasic, Yes, 2010  0.8.2 (February 9  2010; 9 years ago (2010-02-09)) [±], 
DC++, Direct Connect, No, magnet, Free, Windows, GPL, C++, Yes, 2017  0.866 May 20  2017; 2 years ago (2017-05-20), Many modifications exist  for example: LinuxDC++  EiskaltDC++  FlylinkDC++  etc.
eMule, eDonkey  Kad, No, ed2k, Free, Windows, GPL, C++, Yes, 2010  0.50a (April 7  2010; 9 years ago (2010-04-07)[6]) [±], Supports protocol obfuscation
Filetopia, Filetopia, No (except when using a bouncer), No, Free, Windows, Proprietary, Java, No, 2018, 
Flashget, BitTorrent  eDonkey; HTTP/FTP download, No, ?, ?, Windows, Proprietary, ?, ?, 2012, 
Free Download Manager, BitTorrent; HTTP/FTP download, No, metalink, Free, Windows, GPL, C++, Yes, 2015  5.1.38 (build 7312) (January 31  2019; 10 months ago (2019-01-31)) [±][7], 
Freenet’s FProxy, Freenet, Yes, No, Free, GNU  macOS  Windows, GPL, Java, Yes, 2018  0.7.5 (Build 1484) (March 23  2019; 8 months ago (2019-03-23)) [±][8], 
Frost, Freenet, Yes, No, Free, GNU  macOS  Windows, GPL, Java, Yes, 2011, 
FrostWire, BitTorrent, No, magnet, Free, GNU  macOS  Windows, GPL, Java, Yes, 2015  6.8.2 (build 288) (August 31  2019; 3 months ago (2019-08-31)) [±], Fork of LimeWire  with no copyrighted-material blocker planned.
GetRight, BitTorrent; HTTP/FTP download, No, ?, ?, Windows, ?, ?, ?, 2011, 
giFT, OpenFT and  with plugins  Ares  Gnutella  FastTrack, No, No, Free, GNU  macOS  Windows, GPL, C, Yes, 2004  0.11.8.1 (2004-11-27) [±], 
GnucDNA / Gnucleus, Gnutella  Gnutella2, No, No, Free, Windows, GPL, C++, Yes, 2005  2.2.0.0 (June 17  2005; 14 years ago (2005-06-17)) [±], 
GNUnet / gnunet-fs, GNUnet, Yes, ECRS, Free, GNU  FreeBSD  macOS  Windows, GNU AGPLv3 or later[9] (Free software), C, Yes, 2019  0.11.6 (July 24  2019; 4 months ago (2019-07-24)[10]) [±], Latest preview release: 0.11.0pre66 / June 6  2018; 18 months ago (2018-06-06)[11]
gtk-gnutella, Gnutella, No, magnet, Free, GNU  Windows, GPL, C, Yes, 2018  1.1.15 (July 14  2019; 5 months ago (2019-07-14)) [±], 
