File system, Sparse files, Transparent compression, Block suballocation, Tail packing, Extents, Variable file block size[ci], Allocate-on-flush, Copy on write, Trim support
DECtape, No, No, No, No, No, No, No, No, No
BeeGFS, Yes, Yes, No, No, Yes, Yes, Yes, Yes, ?
Level-D, No, No, No, No, Yes, No, No, No, ?
APFS, Yes, No, ?, ?, Yes, ?, Yes, Yes, Yes[67][68]
Version 6 Unix file system (V6FS), Yes, No, No, No, No, No, No, ?, No
Version 7 Unix file system (V7FS), Yes, No, No, No, No, No, No, ?, No
exFAT, No, No, No, No, No, No, No, No, Yes
FAT12, Partial (only inside of compressed volumes)[69], Partial[cj], Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[70]), No, Partial (only inside of compressed volumes)[71], No, No, No, Yes (Linux)
FAT16 / FAT16B / FAT16X, Partial (only inside of compressed volumes)[69], Partial[cj], Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[70]), No, Partial (only inside of compressed volumes)[71], No, No, No, Yes (Linux)
FAT32 / FAT32X, No, No, No, No, No, No, No, No, Yes (Linux)
GFS, Yes, No, No, Partial[ck], No, No, No, ?, Yes
HPFS, No, No, No, No, Yes, No, No, ?, No
NTFS, Yes, Yes, Partial, No, Yes, No, No, ?, Yes (NT 6.1 + newer)
HFS Plus, No, No, No, No, Yes, No, No, ?, Yes (macOS)
FFS, Yes, No, 8:1[cl], No, No, No, No, ?, No
UFS1, Yes, No, 8:1[cl], No, No, No, No, ?, No
UFS2, Yes, No, 8:1[cl], No, No, Yes, No, ?, Yes[72][73]
LFS, Yes, No, 8:1[cl], No, No, No, No, Yes, ?
ext, Yes, No, No, No, No, No, No, No, No
Xiafs, Yes, No, No, No, No, No, No, ?, ?
ext2, Yes, No[cm], No[cn], No, No, No, No, No, Yes
ext3, Yes, No, No[cn], No, No, No, No, No, Yes
ext4, Yes, No, No[cn], No, Yes, No, Yes, No, Yes
NOVA, Yes, No, No, No, Yes, No, No, Yes, ?
F2FS, Yes, No, No, No, Partial[co], No, Yes, Yes, Yes[74]
Lustre, Yes, No, No, No, Yes, No, Yes, ?, ?
NILFS, Yes, No, No, No, No, No, Yes, Yes, ?
ReiserFS, Yes, No, Yes[cp], Yes, No, No, No, ?, ?
Reiser4, Yes, Yes[bx], Yes[cp], Yes, Yes[cq], No, Yes, ?, ?
OCFS, ?, No, No, No, Yes, No, No, ?, ?
OCFS2, Yes, No, No, No, Yes, No, No, ?, ?
XFS, Yes, No, No, No, Yes, No, Yes, Yes  on request[75], Yes (Linux)
JFS, Yes, only in JFS1 on AIX[76], Yes, No, Yes, No, No, ?, Yes (Linux)
QFS, ?, No, Yes, No, No, No, No, ?, ?
BFS, ?, No, No, No, Yes, No, No, ?, Yes (Haiku)
NSS, ?, Yes, No, No, Yes, No, No, ?, ?
NWFS, ?, Yes, Yes[cr], No, No, No, No, ?, ?
ODS-5, ?, No, No, No, Yes, No, No, ?, ?
VxFS, Yes, No, ?, No, Yes, No, No, ?, ?
UDF, No, No, No, No, Yes, No, ?[cs], ?, No
Fossil, ?, Yes, No, No, No, No, No, ?, ?
ZFS, Yes, Yes, Yes, No, No, Yes, Yes, Yes, Yes (FreeBSD  illumos)
Btrfs, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
VMFS2, Yes, No, Yes, No, No, No, No, ?, ?
VMFS3, Yes, No, Yes, No, No, No, No, ?, ?
ReFS, Yes, No, ?, ?, ?, No, ?, Yes, ?
ISO 9660, No, No[ct], No, No, Yes[cu], No, No, No, No
Rock Ridge, No, No[ct], No, No, Yes[cu], No, No, No, No
Joliet ("CDFS"), No, No[ct], No, No, Yes[cu], No, No, No, No
SquashFS, Yes, Yes, No, No, No, No, No, No, No
File system, Sparse files, Transparent compression, Block suballocation, Tail packing, Extents, Variable file block size[ci], Allocate-on-flush, Copy on write, Trim support
