File system, DOS, Windows 9x, Windows NT, Linux, "classic" Mac OS, macOS, FreeBSD, OS/2, BeOS, Minix, Solaris, z/OS
APFS, No, No, No, Partial (read-only with apfs-fuse[77] or linux-apfs[78]), No, Yes (Since macOS Sierra), No, No, No, No, No, No
BeeGFS, No, No, No, Yes, No, ?, No, No, ?, ?, ?, No
DECtape, No, No, No, No, No, No, No, No, No, No, No, No
Level-D, No, No, No, ?, No, ?, No, No, No, No, ?, ?
RT-11, No, No, No, No, No, No, No, No, No, No, No, No
Version 6 Unix file system (V6FS), No, No, No, ?, No, No, No, No, No, No, No, No
Version 7 Unix file system (V7FS), No, No, No, Yes, No, ?, No, No, ?, ?, ?, ?
exFAT, No, No, Yes (installable drivers for Windows XP  2003. Included with Windows Vista SP1 and newer.), Yes (available as a kernel module or FUSE driver), No, Yes, Yes (available as a FUSE driver), No, No, No, Yes (available as a FUSE driver), No
FAT12, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Partial (via dosdir  dosread  doswrite), Yes, ?
FAT16 / FAT16B / FAT16X, Yes (FAT16 from DOS 3.0  FAT16B from DOS 3.31  FAT16X from DOS 7.0), Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Partial (via dosdir  dosread  doswrite  not FAT16X), Yes, ?
FAT32 / FAT32X, Yes (from DOS 7.10), Yes (from Windows 95 OSR2), Yes (from Windows 2000), Yes, Yes?, Yes, Yes, Yes, Yes, No, Yes, ?
GFS, No, No, No, Yes, No, ?, No, ?, ?, ?, ?, ?
HPFS, Partial (with third-party drivers), No, Partial (with NT 3.1 to 4.0 only), Yes, ?, ?, Yes, Yes (from OS/2 1.2), ?, No, ?, ?
NTFS, Partial (with third-party drivers), Yes (with 3rd-party drivers like Paragon NTFS for Win98  DiskInternals NTFS Reader), Yes, Yes with ntfs-3g, No, Yes natively read only  write support with Paragon NTFS or ntfs-3g, Yes with ntfs-3g, ?, Yes with ntfs-3g, No, Yes with ntfs-3g, ?
Apple HFS, No, No, Yes with Paragon HFS+ [79], Yes, Yes, No write support since Mac OS X 10.6 and no support at all since macOS 10.15, No, ?, Yes, No, ?, No
