Software, Latest version, Latest release, Free to use, Free software, Software license, Windows, macOS, Linux, Android, iOS
Agelong Tree, 4.7, 2015-12-04, No (40 Person Free Trial), No, Proprietary, Yes, No, Using Wine, No, No
Ahnenblatt, 3.02, 2019-06-07, No (Free demo  50 person limit  watermarked reports; latest free version: 2.99j), No, Proprietary, Yes, No, Using Wine, No, No
Ancestral Quest, 15.0.19, 2019-02-25, Yes (Basics version), No, Proprietary, Yes, Yes, Using Wine, No, No
Ancestromania, 2017.2.1.2., , Yes, Yes, GNU GPL, Yes, No, Yes, No, No
Brother's Keeper, 7.4.5, 2019-09-11, Yes (Unreg. ver.), No, Shareware, Yes, No, Using Wine, No, No
Family Historian, 6.2.7, 2018-05-01, No (30-Day Free Trial), No, Proprietary, Yes, No, Using Wine, No, No
Family Tree Builder, 8.0, 2016-08-12, Yes (Free ver.), No, Proprietary, Yes, Yes, Using Wine, Yes, Yes
Family Tree Maker, 2019 (24.0.1), 2019-11, No, No, Proprietary, Yes, Yes, No, No, No
Family Tree, 1.2.1, 2013-10-05, No, No, Proprietary, No, Yes, No, ?, ?
GEDitCOM II, 2.3, 2016-11-17, No (15-Day Free Trial  Read-Only afterwards), No, Proprietary, No, Yes, No, ?, Yes
Genbox Family History, 3.7.1, 2007-11-17, No (30 Day Free Trial), No, Proprietary, Yes, No, Using Wine, No, No
GenealogyJ, 3.0, 2010-02-18, Yes, Yes, GNU GPL, Java[a], Java[a], Java[a], No, No
GenEarth, 1.4.1, 2017-05-02, No (1-Week Free Trial  no limitation), No, Proprietary, Yes (Windows 10), No, No, No, No
Genney, 2.1.18, 2019-01-24, No Demo-mode: Up to 100 persons with some functions disabled. More than 100 persons: Only view mode, No, Proprietary, Yes, Yes, Yes, No, No
GenoPro, 2016  3.0.0.7, 2016-01-27, No (25 Person Free Trial), No, Proprietary, Yes, No, Using Wine, No, No
Gramps, 5.1.1, 2019-09-15, Yes, Yes, GNU GPL, Yes, Yes, Yes, No, No
Heredis, 19.2, 2018-12-05, No (50 Person Free Trial), No, Proprietary, Yes, Yes, No, Yes, Yes
Kith and Kin Pro, 3.2.5, 2016-08-01, No (30-Day Free Trial), No, Shareware, Yes, No, No, No, No
Legacy Family Tree, 9.0.0.169, 2017-05-02, Yes (Standard Edition), No, Proprietary, Yes, No, Using Wine, ?, ?
LifeLines, 3.1.1, 2016-03-17, Yes, Yes, MIT License, Yes, Yes, Yes, No, No
MacFamilyTree, 8.3.5, 2018-04-24, No (Free Trial  but you cannot save or export your entries), No, Proprietary, No, Yes, No, No, Yes
My Family Tree, 7.1.1.0, 2017-05-31, Yes, No, Proprietary, Yes, No, No, No, No
Personal Ancestral File, 5.2.18.0, 2002-07-23 (discontinued 2014), Yes, No, Proprietary, Yes, No, Using Wine, ?, ?
Reunion, 12.0 (build 181218), 2018-12-18, No (Free demo  50 person limit  no import/export  watermarked reports), No, Proprietary, No, Yes, No, No, Yes
RootsMagic, 7.5.6.0, 2018-04-27, Yes (Essentials), No, Proprietary, Yes, Yes, Using Wine, Yes, Yes
The Master Genealogist, 9.05.0000, 2014-12-03 (Discontinued:2014-12-31), No (30 Day Free Trial), No, Proprietary, Yes, No, Using Wine, No, No
