, GUI, Console, Software license, Latest stable version, Latest release date, Windows, Macintosh, Linux
beye, No, Yes, GPL, 6.1.0, December 12  2009, Yes, Yes, Yes
bvi, No, Yes, GPL, 1.4.0, October 7  2014, DOS  Win95 and up, Yes, Yes
Cheat Engine, Yes, No, APL, 6.8.1, June 23  2018, Yes, Yes  ver. 6.2, No
GNU Emacs, Yes, Yes, GPL, 26.2[1], April 12  2019, Yes, Yes, Yes
FlexHex, Yes, No, Proprietary (free for non-commercial use), 2.7, October 12  2018, Windows XP and up, No, No
Frhed (Free Hex Editor), Yes, No, GPL, 1.7.1, July 30  2009, Win98 and up, No, No
Hiew, No, Yes, Proprietary, 8.68, August 1  2019, Yes, No, No
HxD, Yes, No, Proprietary (Freeware), 2.2.1.0, February 17  2019, Win95  WinNT4 and up, No, No
VEDIT, Yes, Yes, Proprietary, 6.24.2, Jan 1  2015, Yes, No, No
UltraEdit, Yes, No, Proprietary, 26.10 (Windows) 18.0 (Linux / Mac OS X), May 7  2019 January 2  2018, Yes, Yes, Yes
WinHex, Yes, No, Proprietary, 19.7, August 19  2018, Win95 and up, No, No
vim, Yes, Yes, GPL compatible, 8.1.0000, May 17  2018, Yes, Yes, Yes
