System, Documentation integration/generation  reporting, Test planning integration, Customizable workflow, Unicode support, Custom fields, SLA[4], Plugin API[5], Multiple projects, Full-text search, Indexed full-text search, Indexed file search, Edit conflict warning
Apache Bloodhound, Yes  integrated wiki, Yes, Yes, Yes, Yes, No, Yes, Yes (as of 0.6), Yes, Yes[6] uses Whoosh, No, No
Assembla Tickets, Yes  Wiki syntax  email notification  linking to Subversion commits  document manager  charts  reports  notifications, Yes, Yes, Yes, Yes, No, Yes, Yes, No, Unknown, No, No
Axosoft, Yes  Team Wiki  Burndown  GitHub and TortoiseSVN integration  dashboards  custom reports for OnPremises  e-mail notifications and alerts  customer portal  RSS, No, Yes, Yes, Yes, Yes, Yes, Yes, , , , No
Bugzilla, Yes  reporting: integrated reports and charts  scheduled reports by mail, Yes[7], Yes, Yes, Yes, No, Yes, Yes, Yes[8], Yes When using MySQL MyISAM[9] or Oracle Database[10] but not PostgreSQL[11], , Yes[12]
Debbugs, No, No, No, Yes, No, No, No, Unknown, , , No, No
Faveo Helpdesk, Yes  Integrated Social Media  In-built Knowledge Base and Reporting, No, Yes, Yes, Yes, Yes, Yes, N/A, Yes, No, No, No
FogBugz, Yes  Integrated wiki, No, Yes, Yes, Yes, No, Yes[13], Yes, Yes[14], Yes[15], No[16], Yes
Fossil, Yes  Integrated Wiki in addition to integrated versioned project documentation via web ui., No, No, No, Yes, No, No, Yes[17], No[18], No, , No
FusionForge, Yes  integrated Mediawiki  discussion forums  news blogs  email integration  export to CSV  reporting graphs, No, Yes, Yes, Yes, No, Yes, Yes, Yes, , , No
GLPI, Yes  Contains a proprietary knowledge base of sorts, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No
GNATS, No, No, No, No, No, No, No, Unknown, , , , No
HP Quality Center, Yes, Yes, Yes, No, Yes, No, Yes, Yes, No, No, No, No
IBM Rational ClearQuest, Yes  reporting: integrated charts and interface to Crystal Reports, Yes, Yes, Yes, Yes, No, Yes, Yes, Optional[19], Optional uses Solr and Lucene, , No
IBM Rational Team Concert, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, , , , No
Jira, Yes  Dashboard with reporting widgets (Open Social) Excel  Word  customizable charts  Confluence (Enterprise wiki), Yes[20], Yes, Yes, Yes, Yes, Yes[21], Yes, Yes[22], Yes Uses Lucene[22], Optional[23], No[24]
Launchpad, Yes, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, No
MantisBT, Yes  Integration of MediaWiki  DokuWiki  XWiki, No, Yes, Yes, Yes, No, Yes, Yes, Yes[25], Yes, No[26], Yes
Microsoft Dynamics CRM, Yes  reporting: integrated charts and reports  export to Excel  Mail Merge, No, Yes, Yes, Yes, No, Yes, Unknown, , , , No
org-mode, Yes  org-mode has built-in export to HTML  Latex  .md and literate programming capabilities for multiple languages in a single document, No, Yes, Yes, Yes, No, No, Yes, Yes, , , No
OTRS, Yes  Advanced reporting  configurable dashboards, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No
Phabricator, Yes  integrated wiki and limited burn down charts, Yes, No, Yes, Yes, No, Yes, Yes, Yes, Yes, Yes, No
Pivotal Tracker, Yes  real time collaborative story backlog  integrated reports  email notification, Yes, No, Yes, No, No, Yes, Yes, , , , No
Redmine, Yes  integrated wiki  discussion forums  news blogs  email integration  calendars  Gantt Charts  RSS  export to PDF  export to Excel/CSV, Yes[27], Yes, Yes, Yes, Optional[28], Yes, Yes, Yes[29], Optional  when using PostgreSQL[30], Optional[31], Yes[32]
Request Tracker, Yes  MediaWiki[33], No, Yes, Yes, Yes, Yes[34], Yes[35], Yes, Yes[36], Yes[36], , No
Roundup, Yes  wiki can be integrated or linked, No, Yes, Yes, Yes, No, Yes[37], Yes, Yes[38], Yes with issues[39], Yes, No
StarTeam, No, Yes[40], Yes, No, Yes, No, No, Unknown, , , , No
Supportworks, Yes - Integrated reporting wizard  customizable PHP reporting tool  dashboard  optional interface with Crystal Reports  export to Microsoft Excel/CSV  knowledge base  optional asset management tool, No, Yes, No, Yes, Yes, Yes[41], Unknown, , , , No
SysAid, Yes - LDAP/Email/Calendar integration  integrated Asset Management  integrated reporting  SSO  custom fields  export to CSV/PDF  KB, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Unknown, No, No
