System, Web, Mobile web, Email, CLI, GUI, REST, SOAP, Mylyn[52], Visual Studio, Others
Apache Bloodhound, Yes, No, Optional[53][54], No, No, No, No, Yes, No, Yes XMLRPC
Assembla Tickets, Yes, No, Yes, Yes, No, Yes, No, Yes, No, No
Axosoft, Yes, No, Yes, No, Yes, Yes, Yes, No, No, Yes - iPhone
Bugzilla, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, No[55], Yes XMLRPC[56]
Debbugs, No, No, Yes, Yes, No, No, No, No, No, No
Faveo Helpdesk, Yes, No, Yes, No, No, Yes, No, No, No, Yes - Android App iOS App
FogBugz, Yes, No, Yes, Yes, No, Yes, No, Yes, No, Yes XML
Fossil, Yes, No, No, Yes, No, No, No, No, No, No
FusionForge, Yes, No, No, No, No, No, Yes, No, No, No
GLPI, Yes, No, Yes, No, No, Yes, No, No, No, No
GNATS, Yes, No, Yes, Yes, Yes, No, No, No, No, No
HP Quality Center, Yes, No, No, No, Yes[57], Yes, No, Yes[58], No[55], Yes - IntelliJ IDEA
IBM Rational ClearQuest, Yes, No, Yes, Yes, Yes, Yes, No, Yes, No, No
IBM Rational Team Concert, Yes, No, No, No, Yes, Yes, No, Yes, No, No
Jira, Yes, Yes[59], Yes, Yes[60], Yes, Yes, Yes, Yes, No[55], Yes - Android App  iPhone App
Launchpad, Yes, No, Yes, No, No, Yes, No, No, No, Yes - Python[61]
MantisBT, Yes, No, Yes, No, No, No, Yes, Yes, No, Yes - Android App
Microsoft Dynamics CRM, Yes, No, Yes, No, No, No, Yes, No, No, No
org-mode, No, No, No, Yes, No, No, No, No, No, No
OTRS, Yes, No, Yes, No, No, Yes, Yes, No, No, No
Phabricator, Yes, No, Yes, Yes, Yes, Yes, No, No, No, No
Pivotal Tracker, Yes, No, Yes, Yes, Yes, Yes, No, No, No, Yes - XML  iOS App
Redmine, Yes, Yes[62], Yes, Partial [notes 2], No, Yes, No, Yes, No, Yes - Android App  iOS App
Request Tracker, Yes, No, Yes, Yes, No, Yes[63], No, No, No, No
Roundup, Yes, No, Yes, Yes, No, No, No, No, No, Yes XMLRPC[64]
StarTeam, Yes, No, No, No, Yes, No, No, No, Yes, No
Supportworks, Yes, No, Yes, No, Yes, Yes[65], No, No, No, No
SysAid, Yes, No, Yes, No, Yes, Yes, Yes, No, No, No
Team Foundation Server, Yes, No, Yes, Yes, No, No, Yes, Yes, No, No
TestTrack, Yes, No, Yes, No, Yes, No, Yes, No, No, Yes - XML  Eclipse
Trac, Yes, No[66], Optional[53], No, No, No, No, Yes, No, Yes XMLRPC
TrackerSuite.Net, Yes, No, Yes, No, No, No, No, No, No, No
Tuleap, Yes, No, Yes, Yes, No, Yes, Yes, Yes, No, No
Twproject, Yes, No, Yes, No, No, No, No, No, No, No
Usersnap, Yes, No, Yes, No, Yes, No, No, No, No, No
Wrike, Yes, No, No, No, No, No, No, No, No, No
YouTrack, Yes, Yes[67], Yes, No, Yes, Yes, No, Yes[68], No, No
System, Web, Mobile Web, Email, CLI, GUI, REST, SOAP, Mylyn[52], Visual Studio, Others
