Client, Primary developers, Cost, Software license, User interface, Programming language, Computing platform, Website
AndroidChat[1], , Free software, GNU GPL, TUI  GUI, Java, Android, [1]
Mobile Colloquy, Kiji Roshi, US$1.99, BSD License, GUI, Objective-C, iOS, [2]
fIRC, Laurence Muller, Free software, GNU GPL, GUI, Java, Android, [3]
Igloo, Jordan Koch, US$5.99, ?, GUI, Swift, iOS, [4]
IRCCloud, IRCCloud Ltd., Freeware[2], Apache 2.0, GUI, Objective-C  Java, iOS  Android, [5]
jmIrc, Juho Vähä-Herttua, Free software, GNU GPL, GUI, Java, Java ME, [6]
k-IRC, Armond Avanes, Free software, GNU GPL, GUI, Java, Java ME, [7]
microirc, , Free software, GNU GPL, GUI, C ?, Windows Mobile 5 (and above), [8]
Virca, , Free software, GNU GPL, TUI, Java, Java ME, [9]
wIRC, , Free software, GNU GPL, GUI, C & JavaScript, WebOS, [10]
WLIrc, Sverre Kristian Valskrå, Free software, GNU LGPL, GUI, Java, Java ME, [11]
Yaaic, Sebastian Kaspari, Free software, GNU GPL, GUI, Java, Android, [12]
Simple IRC, The Linux Geek, Free software, GNU GPL, GUI, Java, Android, [13]
zsIRC, Gargaj, Free software, 3-clause BSD, GUI, C++, Windows Mobile, [14]
Client, Primary developers, Cost, Software license, User interface, Programming language, Computing platform, Website
