Software Name, Developer, First public release, Predecessor, Latest Stable version / (Date), Operating system, Price in USD, License, Microsoft Office (.doc  .xls) support, Microsoft Office Open XML support, OpenDocument support, Portable Document Format support
Ability Office, Ability Plus Software, 1995, —, 6.00, Windows, 49.99 - 59.99, Proprietary, Yes, Yes, Planned for a future version, Export
Apache OpenOffice, Apache Software Foundation, 2012 May, OpenOffice.org  StarOffice, 4.1.7 (September 21  2019; 2 months ago (2019-09-21)) [±], Windows  Mac OS  Linux  BSD  Unix  Solaris/Illumos, Free, Apache License 2.0, Yes, Import-only, Native format, Export and Import with free plugin
Breadbox Office, Breadbox Computer Company, 1990, —, 4.1.3.0, DOS  Windows, 99.95, Proprietary, No, No, No, No
Calligra Suite, KDE, 2011, KOffice, 3.1.0 (1 February 2018; 22 months ago (2018-02-01)[1]) [±], Windows  Mac OS  Linux  BSD  Solaris/Illumos, Free, GNU LGPL and GNU GPL, Import, Import, Native format, Export[2]
Feng Office Community Edition, Feng Office, 2007, —, 1.6.1, Fully online, Free, GNU AGPL, No, No, No, No
GobeProductive, Gobe Software, 1998, —, 3.04 / 2.01, Windows  BeOS, 49.95, Proprietary, Yes, No, No, No
G Suite (formerly Google Apps for Work), Google, 2006, Writely, 2014, Fully online, 60.00 per account per year (free trial 30 days); free for some versions (education  non-profit), Proprietary, Yes, Yes, Yes, Yes
Google Docs, Google, 2006, Writely, 2014, Fully online, Free, Proprietary, Yes, Yes[3], Yes, Yes
iWork, Apple Inc., 2005, AppleWorks[4], Pages 8.0 / Numbers 6.0 / Keynote 9.0.1 (November 12  2018; 13 months ago (2018-11-12)), Mac OS  iOS  online, Free, Proprietary, Yes, Import, No, Export
LibreOffice, The Document Foundation formerly Sun Microsystems and Go-oo, 2010 September, OpenOffice.org  Go-oo StarOffice, "Fresh" version: 6.3.4 (12 December 2019; 2 days ago (2019-12-12)[5]) "Still" version: 6.2.8 (17 October 2019; 58 days ago (2019-10-17)[6]) [±], Windows  Mac OS  Linux  BSD  Unix  Solaris/Illumos, Free, GNU LGPL, Yes, Yes, Native format, Yes
Lotus SmartSuite, IBM, 1992 [7], —, 9.8, Windows  OS/2, 313.00, Proprietary, Yes, No, No, No
MarinerPak, Mariner Software, 1996, —, 10.0, Classic Mac OS  Mac OS X, 79.95, Proprietary, Import, No, No, No
Microsoft Office, Microsoft, 1990 (Macintosh)  1992 (Windows), Microsoft Word Microsoft Excel Microsoft PowerPoint, 2016 (16.0) (Windows)  2016 (15.4.0) (Mac OS), Windows  Mac OS, 89.95 - 679.95, Proprietary, Yes, Yes[8], Windows and Office 365 versions only, Yes
Microsoft Works (Discontinued in 2009), Microsoft, 1986, —, Discontinued, Windows  Macintosh, Discontinued, Proprietary, Yes, Yes, No, No
MobiSystems OfficeSuite, MobiSystems, 2004, —, Android version: 10.1.16353[9] iOS version: 6.6[10] Windows version: 2.95.18960.0[11], Android  iOS  Windows[12], Free version with ads and limited support; €29.99/year for all platforms, Proprietary, Yes, Yes, Yes, Yes
NeoOffice, Planamesa Software, 2005-06-02, based on OpenOffice.org re-coded for Mac OS, 3.2, Mac OS, $10/yr  $29.99 Mac App Store (free old versions), GNU GPL, Yes, Yes, Yes, Import with free plugin
ShareOffice, ShareMethods, 2007 May, —, —, Fully online, 10 000.00+ / year, Proprietary, Yes, No, Yes, No
StarOffice a.k.a. Oracle Open Office, Sun Microsystems for 10 years  Oracle for 1 year, 1995, StarWriter, 9.0, Windows  Mac OS  Linux  BSD  Unix  Solaris/Illumos, 34.95, Proprietary, Yes, With free plugins, Native format, Import with free plugin
SoftMaker Office, SoftMaker, 1987 (for DOS)  1994 (for Windows)[13], —, 2016 (Windows: 19 May 2015; 4 years ago (2015-05-19) [14] Linux: 9 December 2015; 4 years ago (2015-12-09)[15])  Office HD for Android: 24 November 2014; 5 years ago (2014-11-24)  Office Mobile for Android: 31 August 2012; 7 years ago (2012-08-31) [16] 2010 (Windows Mobile  Windows CE)  2006 (Handheld PC), Windows  Linux  Android  Windows Mobile  Windows CE  Pocket PC), Version-dependent  e.g. SM Office 2012 99.95 (19.95 Acad.); free for FreeOffice; SM Office 2016 is free for educational institutions, Proprietary, Yes, Yes, Partial  only ODT export  no Import[17], Export
OnlyOffice, Ascensio Systems, 2010, —, —, Fully online, Free for non-commercial use  75-7 200 per year for commercial use, GNU AGPL, Yes, Yes, Yes, Yes
TeXmacs, Joris van der Hoeven, 1996?, —, 2012, Windows  Mac OS  Linux  BSD  Unix, Free, GNU GPL, No, No, No, No
ThinkFree Office, Haansoft, 1998, —, 3.5, Mac OS X v10.4  Windows  Linux  Fully online, 49.95  Online Versions free, Proprietary, Yes, Yes, No[18][19], Yes
Tiki Wiki CMS Groupware, Tiki Software Community Association, 2002, —, 12.2 LTS  9.8 LTS and 6.14 LTS, Fully online, Free, GNU LGPL, search, search, search, Export and search
WordPerfect Office, Corel, 1991, WordPerfect (1982), X9 (May 23  2018; 18 months ago (2018-05-23)) [±], Windows, 69.99 - 399.99, Proprietary, Yes, Yes, Yes, Some versions
WPS Office (Kingsoft Office), Kingsoft, 1988, —, PC 11.2.0 by April 2019, Windows  Linux  Android  iOS  Mac, $119.99 perpetual license; $29.99 annual subscription; free with ads, License, Yes, Yes, With free add-in[20][21], Export in all versions; Import with subscription only
Zoho Office Suite, Zoho Corp., 2005, —, , Fully online, Up to 96 per user per year  depending on feature set, Proprietary, Yes, Yes, Yes, Yes
Software Name, Developer, First public release, Predecessor, Latest Stable version / (Date), Operating system, Price in USD, License, Microsoft Office (.doc  .xls...) support, Microsoft Office Open XML support, OpenDocument Support, Portable Document Format support
