Provider, Win.1, Linux1, Mac1, Android1, iOS1, Encrypted storage, Zero knowledge2, Secure Key Management3[1], Limited MB plan4, Unlimited MB plan4, $/MB plan4, Unlimited BW 16, Provider, Cloud hosted Net Drive5, Sync7, Autodetect changes12, Public file hosting8, physical media restore9, Server location(s)10, Free online storage (non-trial)13, Maximum per-file size, External hard drive support14, Hybrid Option15, Green Hosting, OpenSaaS
Acronis, Yes, Enterprise only  with limited data, Yes, Yes, Yes, Yes, Optional[2], Yes, Optional (Enterprise), Yes (Only win/mac), No, Yes, Acronis, No, Yes, , , , United States  Europe, No, No limit, Yes, , , 
Backblaze, Yes, No, Yes, Yes, Yes, Yes[3], No[3] Company must be given passphrase (to private key) to restore any data., No, No, Yes, No, Yes, Backblaze, , , Yes, Yes, Yes, United States  Europe, No, No limit, Yes, No, , 
Barracuda Backup Service, Yes, Yes, Yes, , , Yes[4], No, ?, No fee per computer, No, Yes, , Barracuda Backup Service, Yes[citation needed], Yes, , No, Yes, United States  Canada  APAC  Europe, No, , , ?, , 
Baidu Cloud, Yes, No, Yes, Yes, Yes, Yes[5], No, ?, No, No, Yes, , Baidu, , Yes, Yes, Yes, , China, 2 TB, 4 GB (Non-member) 10 GB (Member) 20 GB (Super Member). [6], , ?, , 
Box, Yes, Partial (no offline sync  access through DAV server)[7][8], Yes, Yes, Yes, Yes[9], No[9], ?, Yes, No, , , Box, Yes[10], Yes[11], Yes, , , United States, 10 GB, 250 MB (Free) 5 GB (Paid), , , , 
Carbonite, Yes, No, Yes, Yes, Yes, Yes, Partial  optional for Windows only[12], ?, Yes (Business only), Yes (Home only), No[13], Yes [14], Carbonite, , Yes, Yes, Yes[15], , United States, No, 4 GB, Yes[16], Yes, , 
CloudBerry Backup, Yes, Yes, Yes, No, No, Yes[17], Yes[17][failed verification], Yes, , , , Yes, CloudBerry Backup, Yes, Yes, Yes, , Yes, Global, No, No limit, Yes, Yes, , 
CloudMe, Yes, Yes, Yes, Yes, Yes, No  but 3rd party apps available[citation needed], , ?, , No, , Yes, CloudMe, Yes[18], Yes, Yes, , , Sweden, 3 GB, 150 MB (Free Accounts) No limit (Premium Accounts), No Limit, No, , 
Comodo Backup, Yes, No, No, , , Yes[19], No, ?, Yes, No, Yes (5), , Comodo Backup, No, No, , No, , United States, No, , , , , 
CrashPlan, Yes, Yes, Yes, Yes, Yes, Yes[20], Yes  except for web restore[21], Yes, No, Yes, No, Yes[22], CrashPlan, No, No, Yes[23], No, Yes, United States  Australia[24], No, No Limit, Yes[25], No, , 
Dropbox, Yes, Does not work on filesystems other than ext4, Yes, Yes, Yes, Yes, No[26], ?, , , Yes, , Dropbox, No, Yes, Yes, Yes, , , 2 GB, No Limit[27], , , , No
Dropmysite, Yes, Yes, Yes, , , Yes, No, ?, Yes, No, No, Yes, Dropmysite, , Yes, Yes, Yes, , Global, 2 GB, No limit, , ?, , 
Egnyte, Yes, Yes, Yes, , , Optional[28], Optional[28], ?, , , , , Egnyte, Yes[29], Yes, Yes, Yes, , United States, No, No limit, , ?, , 
ElephantDrive, Yes, Yes[30], Yes, Yes[31], , Yes, Optional (off by default) [32], ?, Yes, No, , , ElephantDrive, Yes[33], Yes[34], Yes, Yes[35], , United States, 2 GB, , Yes, ?, No  Amazon AWS[36][37], 
Google Drive, Yes, No  no provider-sanctioned Linux support.[38][39][40], Yes, Yes, Yes, Yes, No, ?, , Yes (Enterprise Only) [41], Yes, Yes, Google Drive, No, Yes, Yes, Yes, , United States  Worldwide, 15 GB, 5 TB[42], , , Partial: 34%[43], No
IASO Backup, Yes, Yes, Yes, , Yes[44], Yes[44], Yes, ?, Yes, No, Yes, , IASO Backup, No, No, No, Yes, , United States  Worldwide, No, No limit, Yes, Yes, , 
