Name, Description/Focus, Registered users, Alexa ranking, Free, Premium, Supports same-sex connections, Supports non-monogamous connections, Messaging other users, STD-notification
Adam4Adam, Connects men with men "for friendship  romance  or a hot hookup"., , 4 938[1], Partial, Yes, Yes (exclusively), ?, Free, Yes[2]
Adult FriendFinder, Members can connect with other adult members based on profiles., 30 000 000  as of 2006[3], 1 761[4], Partial, Yes/No; Free users can respond to contact but cannot initiate contact. Paid users have added benefits., Yes, Yes, Non-free, 
AnastasiaDate, Connects Western men with women from Russia and former Soviet Republics – CIS, 4 000 000  as of 2013[5], 11 275[6], Non-free, Yes, Yes, ?, Non-free, 
Ashley Madison, Members are matched up with other married adult members based on profiles., 17 815 000  as of February 2013[7], 8 038[8], Partial, Yes/No; Free users can view profiles and respond to contact but cannot initiate contact. Paid users have added benefits., Yes, Yes, Non-free, 
Badoo, Badoo enable users to meet new people in their area for chat  dating or to make new friends. Available in 44 languages on the web and on 12 different mobile platforms., 403 600 000 as of Oct 2018[9], 817[10], Partial, Yes/No; Charge for higher prominence  higher limits  invisibility  etc., Yes, ?, Partial, 
BeautifulPeople.com, Dating website where membership is based on a vote  in which existing members rate how attractive they perceive prospective members to be., 800 000 as of 2015[11], 236 914[12], Partial, Yes; free profile but subscription required for most features including messaging., Yes, ?, Non-free, 
Bumble, Dating app where women send the first message (for heterosexual matches), 22 000 000 as of 2017[13], 19 208[14], Free, Yes, Yes, ?, Yes  after mutual match. (In heterosexual matches  messaging can only be initiated by woman.), 
Christian Connection, For Christian singles from the UK  Ireland  Australia  New Zealand  USA  Canada and Singapore, , 23 312[15], Partial; Free trial. Free basic profile members can still see photos  edit profiles  search  use discussion boards., Yes/No; Free basic profile members can still see photos  edit profiles  search  use discussion board. Paid members can freely message  start discussion thread  no daily limit of discussion board entries., Yes, , Yes/No Basic profile members can messaging other users with pre-set replies., 
ChristianMingle, Dating site that caters to Christian singles. Members may choose whether to specify the Christian denomination to which they belong., 12 000 000 as of 2019[16], 44 419[17], Non-free, , Yes, ?, Non-free, 
Coffee Meets Bagel, App providing daily curated matches based on Facebook connections, , 127 543[18], Free, Yes/No: "Beans" (in-app currency) unlock extra features  such as matching with users who aren't in your curated list. Premium membership enables activity reports  read receipts  extra beans.[19], Yes, , Free, 
Compatible Partners, eHarmony's service for same-sex relationships, , 434 220[20], Non-free, Yes, Yes (exclusively), ?, Non-free, 
Cupid.com, Dating website for people who are looking for romantic relationships. Cupid.com is owned by NSI Holdings Ltd., 8 000 000 as of 2016[citation needed], 96 226[21], Partial, Yes/No; Free: registration  profile  search  pictures uploading  send and receive winks  chat rooms  promo activities. VIP users can send and reply to mails  view full-size personal photos, Yes, No, Non-free, 
DateMySchool, Dedicated to verified college students and alumni (via education database). Strong emphasis on privacy and safety. Can block by departments and schools. Members only see intersection of what they are looking for and what other members are looking for., 179 000 as of 2013[22], 796 871[23], Partial, Yes/No; All users can view profiles. Free messaging and status posting for undergraduates (5 messages/day limit). Alumni cannot initiate or respond to contact or post status updates. All Paid users can message and post and they also have added benefits., Yes, ?, Partial, 
DNA Romance / SingldOut, Web App providing curated matches based on "chemistry attraction"  personality compatibility and you also see a photograph. SingldOut has changed its web address DNA-Romance.com., , 1 578 369[24], Partial, Yes; free profile., Yes;, ?, Free
eHarmony, Dating site based upon pre-screening using personality tests., , 10 448[25], Partial, Yes; free profile but subscription required for most features including messaging., Yes; via their Compatible Partners brand[26], ?, Non-free, 
Gaydar, Profile-based dating website for gay and bisexual men  women  and couples., , 923 130[27], Free: chat and search., Yes/No, Yes (exclusively), ?, Free, 
GayRomeo / PlanetRomeo, Worldwide social network  instant messaging and dating community for gay  bisexual and transgender men., 6 740 000 registered and 1 107 000 active (last 6 weeks)[28], 707 590[29], Free: communication  profile and picture views  search engine, Yes/No: video downloads  higher database limits  deactivation of advertising, Yes (exclusively), ?, Free
Gleeden, Social network  instant messaging and dating community for extra-marital relationships., , 54 962[30], Non-free: Costs credits to send and read messages unlimited number of times to one user, Yes/No: Premium gives higher database limits  deactivation of advertising, Yes, ?, Non-free, 
Grindr, Geosocial networking application based on Android and iOS., 3 600 000 daily active users as of 2018[31], 77 133[32], Free, Yes, Yes (exclusively), Yes, Free, Yes[33]
Her[34], Geosocial networking application based on Android and iOS with Facebook integration. Men are not allowed to create profiles on the platform., , 9 365 703[35], Free, Free, Yes (exclusively), ?, 
JDate, Dating site that serves people of a Jewish background as well as those interested in them., , 77 017[36], Non-free, , Yes, ?, Non-free, 
JSwipe, Online dating app targeted at millennial Jewish singles., 800 000 as of September 2016[37], 1 432 932[38], Free, Yes, Yes, Implicitly discouraged[37], Yes  after mutual match. Otherwise  premium-only feature., 
