Store, Tracks (million), Geographic restrictions, Purchase Platform, FLAC, ALAC, WAV, AIFF, AAC, MP3, WMA, Vorbis, DRM, Preview (s), Trial, Streaming available
7digital, 27[1], yes [2], Web  Android, 24-bit, No, No, No, 320 kbps, 320 kbps, No, No, no, 30-60, No, ?
Acoustic Sounds, ?, yes, Web, 24-bit, No, No, No, No, No, No, No, no, 30, No, ?
Amazon Music, 20[3], yes, Web  Android[4], No, No, No, No, No, 256 kbps, No, No, no, 30, No, Yes
Bandcamp, 18.1, no, Web, 24-bit, 24-bit, 24-bit, 24-bit, Yes, Yes, No, Yes, no, Full, No, ?
Beatport, 7.8, yes [5], Web, No, No, 16-bit, 16-bit, No, 320 kbps, No, No, no, 120, No, ?
Bleep.com, ?, no, Web, 16-bit, No, 24-bit, No, No, 320 kbps, No, No, no, Full, No, ?
CD Baby, 3[6], ?, Web, No, No, No, No, No, 320 kbps, No, No, no, 30, No, ?
Classical Archives, 0.62, yes, Web, No, No, No, No, No, 320 kbps, No, No, no, 60, Yes, ?
eMusic, 17[7], yes [8], Web[9], No, No, No, No, No, 320 kbps, No, No, no, 30 [9], Yes, ?
Google Play Music, 40[10], Yes [11], Web  Android  iOS, No, No, No, No, No, 320 kbps, No, No, no, 90 [12], No, Yes
HDtracks, ?, yes US[13], Web, 24-bit, 24-bit, 24-bit, 24-bit, No, No, No, No, no, 30, No, ?
iTunes Store, 43[14], yes [15], Windows  macOS iOS  tvOS, No, No, No, No, 256 kbps, No, No, No, no (previously FairPlay), 90 [16], No, Apple Music
Jamendo, 0.21, no, Web, No, No, No, No, No, Yes, No, Yes, no, Full, No, ?
Juno Download, ?, Yes [17], Web, 16-bit, 16-bit, 16-bit, 16-bit, No, 320 kbps, No, No, no, 60, No, ?
Magnatune, 0.01, no, Web, Yes, Yes, Yes, No, Yes, Yes, No, Yes, no, Full, Yes, ?
MAQAM, 0.01, no, Web, No, No, No, No, No, 320 kbps, No, No, no, 45, No, ?
mora, 4.4, Yes Japan, Web, 24-bit, No, No, No, 320 kbps, No, No, No, no, 30, No, ?
Nimbit, 1, no, Web, Yes, No, Yes, No, No, 320 kbps, No, No, no, Full + Custom, Yes, ?
NoiseTrade, ?, no, Web, No, No, No, No, No, 320 kbps, No, No, no, Full, Free, ?
ProStudioMasters, ?, yes, Web, 24-bit, No, No, 24-bit, No, No, No, No, no, 30, No, ?
Qobuz, 28[18], yes, Web  Android  iOS Kindle  Windows 8[19], 24-bit, 24-bit, 24-bit, 24-bit, 320 kbps, 320 kbps, 320 kbps, No, no, 30-60, Yes[18], ?
Supraphononline, 4.3, no, Web, 16+24-bit, No, No, No, No, 320 kbps, No, No, no, 30+30, No, ?
Tidal, 40[20], yes, Web, 16-bit, No, No, No, No, 320 kbps, No, No, no, 30, No, ?
Store, Tracks (million), Geographic restrictions, Purchase Platform, FLAC, ALAC, WAV, AIFF, AAC, MP3, WMA, Vorbis, DRM, Preview (s), Trial, Streaming available
