Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[f], Chamber pressure (bar), Oxidiser:fuel ratio
Aestus, Europe, Airbus Defence and Space, Ariane 5 G  G+  ES, Upper, N2O4?/?MMH, 324[65], 30 000, 111, 27.6, 11, 1.9
Aestus II, Europe, Airbus Defence and Space, Ariane 5, Upper, N2O4?/?MMH, 340[66], 55 400, 138, 41.0, 60, 1.9
F-1[g], USA, Rocketdyne, Saturn V, 1st, RP-1?/?LOX, 304 263 (SL), 7 770 000 6 770 000 (SL), 8 391, 82.27, 70, 2.27
F-1A[h][67], USA, Rocketdyne, , 1st, RP-1?/?LOX, 303 270 (SL), 8 989 000 8 007 000 (SL), 9 015, 90.6, 80, 2.27
Gamma 2, United Kingdom, Bristol Siddeley, Black Arrow, 2nd, RP-1?/?H2O2, 265[68], 68 200, 173, 40.22, , 8
Gamma 8, United Kingdom, Bristol Siddeley, Black Arrow, 1st, RP-1?/?H2O2, 265[69], 234 800, 342, 70.01, 47.40, 8
HM-7A, Europe, Snecma, Ariane 1, 3rd, LH2?/?LOX, 443[70] 308 (SL), 61 700, 149, 42.2, 30, 5
J-2, USA, Rocketdyne, Saturn V Saturn IB, 2nd  3rd, LH2?/?LOX, 421[71] 200 (SL), 1 033 100 486 200 (SL), 1 438, 73.18, 30, 5.5
J-2X, USA, Pratt & Whitney Rocketdyne, SLS(proposed), Upper, LH2?/?LOX, 448[72], 1 310 000, 2 470, 58.41, 95, 5.5–4.5
Kestrel, USA, SpaceX, Falcon 1, Upper, RP-1?/?LOX, 317, 31 000, 52, 65, 9.3, 
LE-5, Japan, Mitsubishi NASDA, H-I, Upper, LH2?/?LOX, 450[73], 103 000, 245, 42.87, 36.0, 5.5
LE-5A, Japan, Mitsubishi NASDA, H-II, Upper, LH2?/?LOX, 452[74], 121 500, 242, 51.19, 40.0, 5
LE-7, Japan, Mitsubishi NASDA, H-II, 1st, LH2?/?LOX, 446[75], 1 078 000 843 500 (SL), 1 714, 64.13, 127, 5.9
Merlin 1C, USA, SpaceX, Falcon 1 Falcon 9, 1st  2nd, RP-1?/?LOX, 304[76] 266 (SL)[77], 480 408[76] 422 581 (SL)[76], 630, 92[76], 67.7, 
Merlin 1D, USA, SpaceX, Falcon 9 v1.1, 1st, RP-1?/?LOX, 311[78] 282 (SL)[78], 723 000, 470, 158, 97, 2.34
Merlin Vacuum 1C, USA, SpaceX, Falcon 1 Falcon 9, 2nd, RP-1?/?LOX, 336[77], 413 644[77], , 92, , 
RD-0120 11?122, Soviet Union, KBKhA, Energia, 1st, LH2?/?LOX, 455[79], 1 962 000 1 526 000 (SL), 3 450, 57.80, 219, 
RD-56 (KVD-1) 11?56?, Russia, KBKhM, GSLV Mk I, Upper, LH2?/?LOX, 462[80], 69 626, 282, 25.17, 55.9, 
RD-117 11?511, Soviet Union, NPO Energomash, Soyuz-U, 1st, RP-1?/?LOX, 316[81] 253 (SL), 978 000 778 648 (SL), 1 100, 72.18, 54.2, 
RD-118 11?512, Soviet Union, NPO Energomash, Soyuz-U, 2nd, RP-1?/?LOX, 314[81] 257 (SL), 1 000 278 818 855 (SL), 1 100, 75.91, 59.7, 
RD-170[i]11?521[82], Soviet Union, NPO Energomash, Soyuz-U, 1st, RP-1?/?LOX, 337.2 309.5 (SL), 7 904 160 7 256 921 (SL), 9 300, 79.57, 250, 
RD-264 11?119, Soviet Union, NPO Energomash, Dnepr, 1st, N2O4?/?UDMH, 318[83] 293 (SL), 4 521 000, 3 600, 128.15, 206
RD-275 14?14, Russia, NPO Energomash, Proton-M, 1st, N2O4?/?UDMH, 316[84] 287 (SL), 1 831 882 1 671 053 (SL), 1 070, 171.2, 160.0, 
RD-854 8D612, Soviet Union, Pivdenne/Pivdenmash, R-36ORB, 3rd, N2O4?/?UDMH, , , , , 
