Name, Lexer algorithm, Output languages, Grammar  code, Development platform, License
Alex, DFA, Haskell, Mixed, All, Free  BSD
AnnoFlex, DFA, Java, Mixed, Java virtual machine, Free  BSD
AustenX, DFA, Java, Separate, All, Free  BSD
Booze-tools, DFA, state machine is runtime-generated or saved as JSON, Mixed, Python, Free  public domain
C# Flex, DFA, C#, Mixed, .NET CLR, Free  GNU GPL
C# Lex, DFA, C#, Mixed, .NET CLR, ?
CookCC, DFA, Java, Mixed, Java virtual machine, Free  Apache 2.0
DFAlex, DFA, no code generation required, Java, Java, Free  Apache 2.0
Dolphin, DFA, C++, Separate, All, Proprietary
Flex, DFA table driven, C  C++, Mixed, All, Free  BSD
gelex, DFA, Eiffel, Mixed, Eiffel, Free  MIT
golex, DFA, Go, Mixed, Go, Free  BSD-style
gplex, DFA, C#, Mixed, .NET CLR, Free  BSD-like
JFlex, DFA, Java, Mixed, Java virtual machine, Free  BSD
JLex, DFA, Java, Mixed, Java virtual machine, Free  BSD-like
lex, DFA, C, Mixed, POSIX, Partial  proprietary  CDDL
lexertl, DFA, C++, ?, All, Free  GNU LGPL
LRSTAR, DFA, C++, Separate, Windows, Free  BSD
Quex, DFA direct code, C  C++, Mixed, All, Free  GNU LGPL
Ragel, DFA, C  C++  assembly, Mixed, All, Free  GNU GPL  MIT[1][1]
RE/flex, DFA direct code  DFA table driven  and NFA regex libraries, C++, Mixed, All, Free  BSD
re2c, DFA direct code, C, Mixed, All, Free  public domain
