Name, Parsing algorithm, Input grammar notation, Output languages, Grammar  code, Lexer, Development platform, IDE, License
ANTLR4, ALL(*)[2], EBNF, C#  Java  Python  JavaScript  C++  Swift  Go  PHP, Mixed, generated, Java virtual machine, Yes, Free  BSD
ANTLR3, LL(*), EBNF, ActionScript  Ada95  C  C++  C#  Java  JavaScript  Objective-C  Perl  Python  Ruby, Mixed, generated, Java virtual machine, Yes, Free  BSD
APG, Recursive descent  backtracking, ABNF, C  C++  JavaScript  Java, Separate, none, All, No, Free  GNU GPL
AXE, Recursive descent, AXE/C++, C++17  C++11, Mixed, none, Any with C++17 or C++11 standard compiler, No, Free  Boost
Beaver, LALR(1), EBNF, Java, Mixed, external, Java virtual machine, No, Free  BSD
Belr, Recursive descent, ABNF, C++17  C++11, Separate, included, POSIX, No, Partial  GNU GPL  proprietary
Bison, LALR(1)  LR(1)  IELR(1)  GLR, Yacc, C  C++  Java, Mixed, external, All, No, Free  GNU GPL with exception
Bison++[note 1], LALR(1), ?, C++, Mixed, external, POSIX, No, Free  GNU GPL
Bisonc++, LALR(1), ?, C++, Mixed, external, POSIX, No, Free  GNU GPL
Booze-tools, LALR(1) or LR(1) canonical or minimal, BNF with macros in place of EBNF, State machine can be runtime-generated or saved as JSON, Mixed  separable, included, Python, No, Free  public domain
BtYacc, Backtracking Bottom-up, ?, C++, Mixed, external, All, No, Free  public domain
byacc, LALR(1), Yacc, C, Mixed, external, All, No, Free  public domain
BYACC/J, LALR(1), Yacc, C  Java, Mixed, external, All, No, Free  public domain
CL-Yacc, LALR(1), Lisp, Common Lisp, Mixed, external, All, No, Free  MIT
Coco/R, LL(1), EBNF, C  C++  C#  F#  Java  Ada  Object Pascal  Delphi  Modula-2  Oberon  Ruby  Swift  Unicon  Visual Basic .NET, Mixed, generated, Java virtual machine  .NET Framework  Windows  POSIX (depends on output language), No, Free  GNU GPL
CookCC, LALR(1), Java annotations, Java, Mixed, generated, Java virtual machine, No, Free  Apache 2.0
CppCC, LL(k), ?, C++, Mixed, generated, POSIX, No, Free  GNU GPL
CSP, LR(1), ?, C++, Separate, generated, POSIX, No, Free  Apache 2.0
CUP, LALR(1), ?, Java, Mixed, external, Java virtual machine, No, Free  BSD-like
Dragon, LR(1)  LALR(1), ?, C++  Java, Separate, generated, All, No, Free  GNU GPL
eli, LALR(1), ?, C, Mixed, generated, POSIX, No, Free  GNU GPL  GNU LGPL
Tunnel Grammar Studio, Recursive descent  backtracking, ABNF, C++, Separate, generated, Windows, Yes, Proprietary
Essence, LR(?), ?, Scheme 48, Mixed, external, All, No, Free  BSD
Eto.Parse, LL(k), BNF  EBNF or C#, N/A (state machine is runtime generated), Separate, internal, .NET Framework, No, Free  MIT
eyapp, LALR(1), ?, Perl, Mixed, external or generated, All, No, Free  Artistic
Frown, LALR(k), ?, Haskell 98, Mixed, external, All, No, Free  GNU GPL
geyacc, LALR(1), ?, Eiffel, Mixed, external, All, No, Free  MIT
GOLD, LALR(1), BNF, x86 assembly language  ANSI C  C#  D  Java  Pascal  Object Pascal  Python  Visual Basic 6  Visual Basic .NET  Visual C++, Separate, generated, Windows, Yes, Free  zlib modified
