Name, Parsing algorithm, Output languages, Grammar  code, Development platform, License
Arpeggio, PEG parser interpreter  Packrat, Python (no generation  interpreted), Mixed, All, Free  MIT
AustenX, Packrat (modified), Java, Separate, All, Free  BSD
Aurochs, Packrat, C  OCaml  Java, Mixed, All, Free  GNU GPL
BNFlite, Recursive descent, C++, Mixed, All, Free  MIT
Canopy, Packrat, Java  JavaScript  Python  Ruby, Separate, All, Free  GNU GPL
CL-peg, Packrat, Common Lisp, Mixed, All, Free  MIT
Drat!, Packrat, D, Mixed, All, Free  GNU GPL
Frisby, Packrat, Haskell, Mixed, All, Free  BSD
grammar::peg, Packrat, Tcl, Mixed, All, Free  BSD
Grako, Packrat + Cut + Left Recursion, Python  C++ (beta), Separate, All, Free  BSD
IronMeta, Packrat, C#, Mixed, Windows, Free  BSD
Katahdin, Packrat (modified)  mutating interpreter, C#, Mixed, All, Free  public domain
Laja, 2-phase scannerless top-down backtracking + runtime support, Java, Separate, All, Free  GNU GPL
lars::Parser, Packrat (supporting left-recursion and grammar ambiguity), C++, Identical, All, Free  BSD
LPeg, Parsing machine, Lua, Mixed, All, Free  MIT
lug, Parsing machine, C++17, Mixed, All, Free  MIT
Mouse, Recursive descent, Java, Separate, Java virtual machine, Free  Apache 2.0
Narwhal, Packrat, C, Mixed, POSIX  Windows, Free  BSD
Nearley, Earley, JavaScript, Mixed, All, Free  MIT
Nemerle.Peg, Recursive descent + Pratt, Nemerle, Separate, All, Free  BSD
neotoma, Packrat, Erlang, Separate, All, Free  MIT
NPEG, Recursive descent, C#, Mixed, All, Free  MIT
OMeta, Packrat (modified  partial memoization), JavaScript  Squeak  Python, Mixed, All, Free  MIT
PackCC, Packrat (modified), C, Mixed, All, Free  MIT
Packrat, Packrat, Scheme, Mixed, All, Free  MIT
Pappy, Packrat, Haskell, Mixed, All, Free  BSD
parboiled, Recursive descent, Java  Scala, Mixed, Java virtual machine, Free  Apache 2.0
Lambda PEG, Recursive descent, Java, Mixed, Java virtual machine, Free  Apache 2.0
parsepp, Recursive descent, C++, Mixed, All, Free  public domain
Parsnip, Packrat, C++, Mixed, Windows, Free  GNU GPL
peg, Recursive descent, C, Mixed, All, Free  MIT
PEG.js, Packrat (partial memoization), JavaScript, Mixed, All, Free  MIT
peg-parser, PEG parser interpreter, Dylan, Separate, All, ?
Pegasus, Recursive descent  Packrat (selectively), C#, Mixed, Windows, Free  MIT
pegc, Recursive descent, C, Mixed, All, Free  public domain
pest, Recursive descent, Rust, Separate, All, Free  MPL
PetitParser, Packrat, Smalltalk  Java  Dart, Mixed, All, Free  MIT
PEGTL, Recursive descent, C++11, Mixed, All, Free  MIT
Parser Grammar Engine (PGE), Hybrid recursive descent / operator precedence[6], Parrot bytecode, Mixed, Parrot virtual machine, Free  Artistic 2.0
PyPy rlib, Packrat, Python, Mixed, All, Free  MIT
pyPEG, PEG parser interpreter  Packrat, Python, Mixed, All, Free  GNU GPL
Rats!, Packrat, Java, Mixed, Java virtual machine, Free  GNU LGPL
Spirit2, Recursive descent, C++, Mixed, All, Free  Boost
textX, PEG parser interpreter  Packrat, Python (no generation  interpreted), Separate, All, Free  MIT
Treetop, Recursive descent, Ruby, Mixed, All, Free  MIT
Yard, Recursive descent, C++, Mixed, All, Free  MIT or public domain
Waxeye, Parsing machine, C  Java  JavaScript  Python  Racket  Ruby, Separate, All, Free  MIT
PHP PEG, PEG Parser?, PHP, Mixed, All, Free  BSD
