Format, Languages
name[first:last], ALGOL 68 [7] Julia
name[first+(?len)-?IO], APL
name[first:end:step], Python [8][9] Go
name[first..last], Pascal  Object Pascal  Delphi  Nim
$name[first..last], Windows PowerShell
@name[first..last], Perl[10]
name[first..last] name[first...end] name[first  len], Ruby[9]
copy/part skip name first len, Red
name(first..last), Ada[7]
name(first:last), Fortran [7][8] GNU Octave  MATLAB[7][10]
name[[first;;last;;step]], Mathematica [7][8][9] Wolfram Language
name[[first:last]], S-Lang[7][8][10]
name.[first..last], F#
name.slice(first  end), Haxe  JavaScript  Scala
name.slice(first  len), CFML
array_slice(name  first  len), PHP[9]
(subseq name first end), Common Lisp
(subseq name first end), ISLISP
Array.sub name first len, OCaml
[name subarrayWithRange:NSMakeRange(first  len)], Objective-C (NSArray * only)
(first([+i.@(-~)end){name, J
name[first..<end] name[first...last], Swift
name copyFrom: first to:last name copyFrom: first count:len, Smalltalk
name[first..end], D  C#[11][12]
name[first..end] name[first..=last], Rust
name[first:end], Cobra
