Programming language, Default base index, Specifiable index type[13], Specifiable base index, Bound check, Multidimensional, Dynamically-sized, Vectorized operations
Ada, index type[14], yes, yes, checked, yes, init[15], some  others definable[16]
ALGOL 68, 1, no[17], yes, varies, yes, yes, user definable
APL, 1, ?, 0 or 1[18], checked, yes, yes, yes
AWK, 1, yes  implicitly, no, unchecked, yes  as delimited string, yes  rehashed, no
BASIC, 0, ?, no, checked, no, init[15], ?
C, 0, no, no[19], unchecked, partially, init [15][20] heap[21], no
Ch, 0, no, no, checked, yes  also array of array[22], init [15][20] heap[21], yes
C++[16], 0, no, no[19], unchecked, yes  also array of array[22], heap[21], no
C#, 0, no, partial[23], checked, yes, heap[21][24], yes (LINQ select)
CFML, 1, no, no, checked, yes  also array of array[22], yes, no
COBOL, 1, no[25], no, checked, array of array[22][26], no[27], some intrinsics
Cobra, 0, no, no, checked, array of array[22], heap, ?
Common Lisp, 0, ?, no, checked[28], yes, yes, yes (map or map-into)
D, 0, yes[29], no, varies[30], yes, yes, ?
F#, 0, no, partial[23], checked, yes, heap[21][24], yes (map)
FreeBASIC, 0, no, yes, checked, yes, init [15] init[31], ?
Fortran, 1, yes, yes, varies[32], yes, yes, yes
FoxPro, 1, ?, no, checked, yes, yes, ?
Go, 0, no, no, checked, array of array[22], no[33], no
Hack, 0, yes, yes, checked, yes, yes, yes
Haskell, 0, yes[34], yes, checked, yes  also array of array[22], init[15], ?
IDL, 0, ?, no, checked, yes, yes, yes
ISLISP, 0, ?, no, checked, yes, init[15], yes (map or map-into)
J, 0, ?, no, checked, yes, yes, yes
Java[16], 0, no, no, checked, array of array[22], init[15], ?
JavaScript, 0, no, no, checked[35], array of array[22], yes, yes
Julia, 1, yes, yes, checked, yes, yes, yes
Lingo, 1, ?, ?, unchecked, yes, yes, yes
Ring, 1, ?, partial[36], checked, array of array[22], yes, ?
Lua, 1, ?, partial[36], checked, array of array[22], yes, ?
Mathematica, 1, no, no, checked, yes, yes, yes
MATLAB, 1, ?, no, checked, yes[37], yes, yes
Nim, 0, yes[38], yes, optional[39], array of array[22], yes, yes[40]
Oberon, 0, ?, no, checked, yes, no, ?
Oberon-2, 0, ?, no, checked, yes, yes, ?
Objective-C[16], 0, no, no, checked, array of array[22], yes, no
OCaml, 0, no, no, checked by default, array of array[22], init[15], ?
Pascal  Object Pascal, index type[14], yes, yes, varies[41], yes, varies[42], some
Perl, 0, no, yes ($[), checked[35], array of array[22], yes, no[43]
Raku, 0, no, no, checked[35], yes, yes, yes
PHP, 0, yes[44], yes[44], checked[44], yes, yes, yes
PL/I, 1, ?, yes, checked, yes, no, ?
Python, 0, no, no, checked, array of array[22], yes, no[45]
RPG, 1, no, no, ?, no, no, ?
R, 1, ?, ?, ?, ?, ?, ?
Ruby, 0, no, no, checked[35], array of array[22], yes, ?
Sass, 1, no, no, checked, array of array[22], init[30], ?
S-Lang, 0, ?, no, checked, yes, yes, yes
Scala, 0, no, no, checked, array of array[22], init[15], yes (map)
Scheme, 0, ?, no, checked, array of array[22], init[15], yes (map)
Smalltalk[16], 1, ?, no, checked, array of array[22], yes[46], ?
Swift, 0, no, no, checked, array of array[22], yes, ?
Visual Basic, 0, no, yes, checked, yes, yes, ?
Visual Basic .NET, 0, no, partial[23], checked, yes, yes, yes (LINQ select)
Wolfram Language, 1, no, no, checked, yes, yes, yes
Windows PowerShell, 0, no, no, checked, yes, heap, ?
Xojo, 0, no, no, checked, yes, yes, no
XPath/XQuery, 1, no, no, checked, array of array[4][22], yes, yes
Programming language, Default base index, Specifiable index type[13], Specifiable base index, Bound check, Multidimensional, Dynamically-sized, Vectorized operations
