Software, Windows, macOS, Linux, ChromeOS, BSD, Unix, iOS App, Android App, Windows App
Bebop, Yes, Yes, Yes, ?, Yes, Yes, No, No, No
BibBase, N/A, N/A, N/A, N/A, N/A, N/A, ?, ?, ?
BibDesk, No, Yes, No, ?, No, No, Third-party - PocketBib, ?, ?
BibSonomy, N/A, N/A, N/A, N/A, N/A, N/A, ?, ?, ?
Bibus, Yes, Experimental, Yes, ?, Yes, Yes, No, No, No
Bookends, No, Yes, No, ?, No, No, Yes, ?, ?
Citavi, Yes, No, No, No, No, No, No, No, No
CiteULike, N/A, N/A, N/A, N/A, N/A, N/A, ?, ?, ?
colwiz, Yes, Yes, Yes, ?, Yes, Yes, Yes, Yes, No
EndNote, Yes, Yes, No, No, No, No, Yes, No, No
F1000Workspace, Yes, Yes, No, No, No, No, Yes, Yes, No
JabRef, Yes, Yes, Yes, No, Yes, Yes, No, No, No
KBibTeX, Experimental, Experimental, Yes, ?, Yes, Yes, No, No, No
Mendeley, Yes, Yes, Yes, No, No, No, Yes, Yes, No
Paperpile, Yes, Yes, Yes, Yes, No (requires Chromium), No (requires Chromium), in beta, in beta, No
Pybliographer, Partial[11], Partial[11], Yes, ?, Yes, Yes, No, No, No
Qiqqa, Yes, No, No, ?, No, No, No, Yes, No
ReadCube (now Papers), Yes, Yes, No, Yes, No, No, Yes, Yes, Yes
refbase, Yes, Yes, Yes, ?, Yes, Yes, No, No, No
RefDB, Yes, Yes, Yes, ?, Yes, Yes, No, No, No
Reference Manager, Yes[12], No, No, ?, No, No, No, No, No
Referencer, No, No, Yes, ?, No, No, ?, ?, ?
RefWorks[13], Yes, Yes, No, Yes, Yes, ?, No - but is responsive, ?, No
SciRef, Yes, No, No, ?, No, No, ?, ?, ?
Sente, No, Yes, No, ?, No, No, Yes[14], ?, ?
Wikindx, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
WizFolio, Yes, Yes, Yes, ?, Yes, Yes, ?, ?, ?
Zotero, Yes, Yes, Yes, ?, Yes, Yes, third party, third party - Aziz  Lite![15], No
