Name, Official website, Programming language, Software license, Used by
Boost.Regex[Note 1], Boost C++ Libraries, C++, Boost, Notepad++ >= 6.0.0  EmEditor
Boost.Xpressive, Boost C++ Libraries, C++, Boost, 
CL-PPCRE, Edi Weitz, Common Lisp, BSD, 
cppre, Jeff Stuart, C++, GPL, 
DEELX, RegExLab, C++, Free personal and commercial use, 
FREJ[Note 2], Fuzzy Regular Expressions for Java, Java, LGPL, 
GLib/GRegex[Note 3], GLib reference manual, C, LGPL, 
GRETA, Microsoft Research, C++, ?, 
Gregex, Grovf Inc., RTL  HLS, Proprietary, FPGA accelerated >100Gbps regex engine for cybersecurity  financial  e-commerce industries.
RXP, Titan IC, RTL, Proprietary, hardware-accelerated search acceleration using RegEx available for ASIC  FPGA and cloud. Enables massively parallel content processing at ultra-high speeds.
Hyperscan, Intel, C  x86-specific assembly (SSSE3+[1]), 3-clause BSD, Rspamd
ICU, International Components for Unicode, C  C++[Note 4], ICU, Foundation (Apple and Swift open-source versions)
Jakarta/Regexp, The Apache Jakarta Project, Java, Apache, 
java.util.regex, Java's User manual, Java, GNU GPLv2 with Classpath exception, jEdit
JRegex, JRegex, Java, BSD, 
MATLAB, Regular Expressions, MATLAB Language, MATLAB  The Language of Technical Computing, 
Oniguruma, Kosako, C, BSD, Atom  Take Command Console  Tera Term  TextMate  Sublime Text  SubEthaEdit  EmEditor and jq
Onigmo (Oniguruma-mod), Onigmo, C, BSD, Ruby
Pattwo, Stevesoft, Java (compatible with Java 1.0), LGPL, 
PCRE, pcre.org, C  C++[Note 5], BSD, Apache HTTP Server  Nginx  Julia  HHVM  Notepad++ < 6.0.0  PHP  Delphi  R
Qt/QRegExp, Digia, C++, Qt GNU GPL v. 3.0  Qt GNU LGPL v. 2.1  Qt Commercial, Kate  Kile
regex - Henry Spencer's regular expression libraries, ArgList, C, BSD, 
RE2, RE2, C++, BSD, Go  Google Sheets  Gmail  G Suite
Henry Spencer's Advanced Regular Expressions, Tcl, C, BSD, 
RGX, RGX, C++ based component library, P6R, 
SubReg, Matt Bucknall, C, MIT, 
TPerlRegEx, TPerlRegEx VCL Component, Object Pascal, MPLv1.1, 
TRE[Note 2], Ville Laurikari, C, BSD, 
TRegExpr, RegExp Studio, Object Pascal, Dual-license: freeware  or LGPL with static linking exception, Total Commander
XRegExp, XRegExp, JavaScript, MIT, 
Wolfram Language (Mathematica), Wolfram Language Documentation Center, Wolfram Language, , Mathematica  the Wolfram Development Platform
