Database Name, ACID, Referential integrity, Transactions, Fine-grained locking, Multiversion concurrency control, Unicode, Interface, Type inference
4th Dimension, Yes, Yes, Yes, ?, ?, Yes, GUI & SQL, Yes
ADABAS, Yes, No, Yes, ?, ?, Yes, proprietary direct call & SQL (via 3rd party), Yes
Adaptive Server Enterprise, Yes, Yes, Yes, Yes (Row-level locking), Yes, Yes, API & GUI & SQL, Yes
Advantage Database Server, Yes, Yes, Yes, Yes (Row-level locking), ?, Yes4, API & SQL, Yes
Altibase, Yes, Yes, Yes, Yes (Row-level locking), ?, Yes, API & GUI & SQL, Yes
Apache Derby, Yes, Yes, Yes, Yes (Row-level locking) [46], ?, Yes, SQL, Yes
ClustrixDB, Yes, Yes, Yes, Yes, Yes, Yes, SQL, Yes
CUBRID, Yes, Yes, Yes, Yes (Row-level locking), ?, Yes, GUI & SQL, Yes
DB2, Yes, Yes, Yes, Yes (Row-level locking)[47], ?, Yes, GUI & SQL, Yes
Empress Embedded Database, Yes, Yes, Yes, ?, ?, Yes, API & SQL, Yes
EXASolution, Yes, Yes, Yes, ?, ?, Yes, API & GUI & SQL, Yes
Firebird, Yes, Yes, Yes, ?, Yes, Yes, API & SQL, Yes
HSQLDB, Yes, Yes, Yes, ?, Yes, Yes, SQL, Yes
H2, Yes, Yes, Yes, ?, Yes[48], Yes, SQL, Yes
Informix Dynamic Server, Yes, Yes, Yes, Yes (Row-level locking), Yes, Yes, SQL  REST  and JSON, Yes
Ingres, Yes, Yes, Yes, ?, ?, Yes, SQL & QUEL, Yes
InterBase, Yes, Yes, Yes, ?, ?, Yes, SQL, Yes
Linter SQL RDBMS, Yes, Yes, Yes (Except for DDL), Yes (Row-level locking), ?, Yes, API & GUI & SQL, Yes
LucidDB, Yes, No, No, ?, ?, Yes, SQL, Yes
MariaDB, Yes2, Yes6, Yes2 except for DDL[49][50], Yes (Row-level locking), Yes, Yes, SQL, Yes
MaxDB, Yes, Yes, Yes, ?, ?, Yes, SQL, Yes
Microsoft Access (JET), Yes, Yes, Yes, ?, ?, Yes, GUI & SQL, Yes
Microsoft Visual FoxPro, Yes, Yes, Yes, Yes (Row-level locking SMB2), Yes, No, GUI & SQL, Yes
Microsoft SQL Server, Yes, Yes, Yes, Yes (Row-level locking)[51], Yes, Yes, GUI & SQL, Yes
Microsoft SQL Server Compact (Embedded Database), Yes, Yes, Yes, ?, ?, Yes, GUI & SQL, Yes
Mimer SQL, Yes, Yes, Yes, Yes (Optimistic locking), Yes, Yes, API & GUI & SQL, Yes
MonetDB, Yes, Yes, Yes, ?, ?, Yes, SQL, Yes
MySQL, Yes2, Yes3, Yes2 except for DDL[49], Yes (Row-level locking)[52], Yes, Yes, GUI 5 & SQL, Yes
OpenBase SQL, Yes, Yes, Yes, ?, ?, Yes, GUI & SQL, Yes
OpenEdge, Yes, Yes7, Yes, Yes (Row-level locking), ?, Yes, GUI & SQL, Yes
OpenLink Virtuoso, Yes, Yes, Yes, ?, ?, Yes, API & GUI & SQL, Yes
Oracle, Yes, Yes, Yes except for DDL[49], Yes (Row-level locking)[53], Yes, Yes, API & GUI & SQL, Yes
Oracle Rdb, Yes, Yes, Yes, ?, ?, Yes, SQL, Yes
Pervasive PSQL, Yes, Yes, Yes, ?, ?, Yes6, API & GUI & SQL, Yes
Polyhedra DBMS, Yes, Yes, Yes, Yes (optimistic and pessimistic cell-level locking)[54], ?, Yes, API & SQL, Yes
PostgreSQL, Yes, Yes, Yes, Yes (Row-level locking)[55], Yes, Yes, API & GUI & SQL, No[56]
Raima Database Manager, Yes, Yes, Yes, ?, Yes, Yes, SQL & API, Yes
RDM Server, Yes, Yes, Yes, ?, ?, Yes, SQL & API, Yes
SAP HANA, Yes, Yes, Yes, Yes (Row-level locking), Yes, Yes, API & GUI & SQL, Yes
solidDB, Yes, Yes, Yes, Yes (Row-level locking), ?, Yes, API & SQL, Yes
SQL Anywhere, Yes, Yes, Yes, Yes (Row-level locking)[57], Yes[58], Yes, API & GUI & HTTP(S) (REST & SOAP)[59] & SQL, Yes
SQLBase, Yes, Yes, Yes, ?, ?, Yes, API & GUI & SQL, Yes
SQLite, Yes, Yes, Yes, No (Database-level locking)[60], No, Optional[61], API & SQL, Yes
Teradata, Yes, Yes, Yes, Yes (Hash and Partition), ?, Yes, SQL, Yes
Tibero, Yes, Yes, Yes, Yes (Row-level locking), Yes, Yes, API & GUI & SQL, Yes
UniData, Yes, No, Yes, ?, ?, Yes, Multiple, Yes
UniVerse, Yes, No, Yes, ?, ?, Yes, Multiple, Yes
Database Name, ACID, Referential integrity, Transactions, Fine-grained locking, Multiversion concurrency control, Unicode, Interface, Type inference
