Rank, Country, U.S. equivalents, GDP (Billions of int$)
1, {{Flagicon|China}} China, {{USA}} {{Flagicon|California}} California, 23 159
2, {{Flagicon|India}} India, {{Flagicon|California}} California {{Flagicon|Texas}} Texas {{flagicon|New York}} New York {{Flagicon|Florida}} Florida {{Flagicon|Illinois}} Illinois {{Flagicon|Oregon}} Oregon, 9 459
3, {{Flagicon|Japan}} Japan, {{Flagicon|California}} California {{Flagicon|Texas}} Texas {{Flagicon|New York}} New York {{Flagicon|Florida}} Florida, 5 429
4, {{Flagicon|Germany}} Germany, {{Flagicon|California}} California {{flagicon|Texas}} Texas {{flagicon|Mississippi}} Mississippi, 4 170
5, {{Flagicon|Russia}} Russia, {{Flagicon|California}} California {{flagicon|Texas}} Texas, 4 007
6, {{Flagicon|Indonesia}} Indonesia, {{Flagicon|California}} California {{Flagicon|Michigan}} Michigan, 3 244
7, {{Flagicon|Brazil}} Brazil, {{Flagicon|California}} California {{Flagicon|Michigan}} Michigan, 3 240
8, {{Flagicon|United Kingdom}} United Kingdom, {{Flagicon|California}} California {{Flagicon|Utah}} Utah, 2 914
9, {{Flagicon|France}} France, {{Flagicon|California}} California {{Flagicon|Hawaii}} Hawaii, 2 836
10, {{Flagicon|Mexico}} Mexico, {{Flagicon|Texas}} Texas {{Flagicon|Pennsylvania}} Pennsylvania, 2 458
11, {{Flagicon|Italy}} Italy, {{Flagicon|Texas}} Texas {{Flagicon|New Jersey}} New Jersey {{Flagicon|Vermont}} Vermont, 2 311
12, {{Flagicon|Turkey}} Turkey, {{Flagicon|Texas}} Texas {{Flagicon|Michigan}} Michigan, 2 173
13, {{Flagicon|South Korea}} South Korea, {{Flagicon|Texas}} Texas {{Flagicon|Colorado}} Colorado, 2 029
14, {{Flagicon|Spain}} Spain, {{flagicon|Texas}} Texas {{Flagicon|West Virginia}} West Virginia, 1 774
15, {{Flagicon|Saudi Arabia}} Saudi Arabia, {{flagicon|Texas}} Texas {{Flagicon|West Virginia}} West Virginia, 1 774
16, {{Flagicon|Canada}} Canada, {{flagicon|Texas}} Texas {{Flagicon|West Virginia}} West Virginia, 1 769
17, {{Flagicon|Iran}} Iran, {{Flagicon|New York}} New York {{Flagicon|New Mexico}} New Mexico, 1 645
18, {{Flagicon|Australia}} Australia, {{Flagicon|Florida}} Florida {{Flagicon|Utah}} Utah, 1 247
19, {{Flagicon|Thailand}} Thailand, {{Flagicon|Florida}} Florida {{Flagicon|Nevada}} Nevada, 1 234
20, {{Flagicon|Egypt}} Egypt, {{Flagicon|Florida}} Florida {{Flagicon|Mississippi}} Mississippi, 1 201
21, {{Flagicon|Taiwan}} Taiwan, {{Flagicon|Florida}} Florida {{Flagicon|Mississippi}} Mississippi, 1 186
22, {{Flagicon|Poland}} Poland, {{Flagicon|Florida}} Florida {{Flagicon|Mississippi}} Mississippi, 1 121
23, {{Flagicon|Nigeria}} Nigeria, {{Flagicon|Florida}} Florida {{Flagicon|Mississippi}} Mississippi, 1 119
24, {{Flagicon|Pakistan}} Pakistan, {{Flagicon|Florida}} Florida, 1 057
25, {{Flagicon|Malaysia}} Malaysia, {{Flagicon|Illinois}} Illinois {{Flagicon|Mississippi}} Mississippi, 931
26, {{Flagicon|Argentina}} Argentina, {{Flagicon|Illinois}} Illinois {{Flagicon|New Mexico}} New Mexico, 920
27, {{Flagicon|Netherlands}} Netherlands, {{Flagicon|Illinois}} Illinois {{Flagicon|New Mexico}} New Mexico, 916
28, {{Flagicon|Philippines}} Philippines, {{Flagicon|Illinois}} Illinois {{Flagicon|North Dakota}} North Dakota, 876
29, {{Flagicon|South Africa}} South Africa, {{Flagicon|Ohio}} Ohio {{Flagicon|Mississippi}} Mississippi, 766
30, {{Flagicon|Colombia}} Colombia, {{Flagicon|Ohio}} Ohio {{Flagicon|Maine}} Maine, 714
31, {{Flagicon|Bangladesh}} Bangladesh, {{Flagicon|Ohio}} Ohio {{Flagicon|Wyoming}} Wyoming, 687
