UK, US
accelerator, gas [pedal]  accelerator
bonnet, hood[27]
boot, trunk[27][28]
mudguard  wheel arch  wing, fender[29]
hood  soft/hard top, convertible top  soft/hard top
car park, parking lot[30]
driving licence, driver's license[31]
dual carriageway, divided highway[27]
estate car, station wagon[30]
flyover, overpass [30] flyover
gearbox, transmission[27]
hard shoulder, shoulder
hired car  hire car, rental car  rental
juggernaut  lorry, semi  semi-truck  18 wheeler  tractor-trailer[32]
lorry, truck[28]
articulated lorry, trailer truck  semi[30]
manual, stick shift  manual
motorway, freeway [32] highway or expressway
pavement  footpath, sidewalk[32]
roadworks, construction zone  roadwork
petrol, gasoline or gas[27]
saloon, sedan[33]
shield, bumper
silencer, muffler[27]
spanner, wrench[27][28]
ticking over, idling[32]
windscreen, windshield[27]
car valeting, auto detailing
