Country, Name, Initialisms/Acronym, Founded, Terminated, Capabilities of the space agency, Remarks
 Astronauts, Operates Satellites, Sounding Rockets capable, Recoverable Biological Sounding Rockets capable
 {{BAN}}, Space Research and Remote Sensing Organization, SPARRSO, 1980, —, {{No}}, {{No}}, {{No}}, {{No}}, [135]
 {{PRC}}, China National Space Administration (Chinese: ?????), CNSA, 22 April 1993, —, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, [136]
 {{IND}}, Indian Space Research Organisation ({{lang-hi|?????? ???????? ???????? ?????}}), ISRO ????, 15 August 1969, —, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, [137][138][139]
 {{IDN}}, {{lang-id|Lembaga Antariksa dan Penerbangan Nasional}} (National Institute of Aeronautics and Space), LAPAN, 27 November 1964, —, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Citation needed|date=March 2008}}
 {{IRN}}, Iranian Space Agency ({{lang-fa|?????? ????? ?????}}), ISA, 2003, —, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, [140][141][142]
 {{ISR}}, Israeli Space Agency ({{lang-he|?????? ???? ????????}}), ISA ??"?, April 1983, —, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Citation needed|date=March 2008}}
 {{JPN}}, Japan Aerospace Exploration Agency ({{lang-ja|??????????}}), JAXA, 1 October 2003, —, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, [143][144]
 {{MYS}}, Malaysian National Space Agency ({{lang-ms|Agensi Angkasa Negara}}), ANGKASA, 2002, —, {{Yes}}, {{Yes}}, {{No}}, {{No}}, [145]
 {{PRK}}, Korean Committee of Space Technology ({{lang-ko|???????????}}), KCST, 1980s, 2013, {{No}}, {{Yes}}, {{Yes}}, {{No}}, [146][147][148]
 {{PAK}}, Pakistan Space and Upper Atmosphere Research Commission ({{lang-ur|??????? ????? ? ???? ????? ???????? ?????}}), SUPARCO ??????, 16 September 1961, —, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Citation needed|date=March 2008}}
 {{PHL}}, Philippine Space Agency, PhilSA, 8 August 2019, —, {{No}}, {{Yes}}, {{No}}, {{No}}, [149]
 {{KOR}}, Korea Aerospace Research Institute ({{lang-ko|?????????}}), KARI, 10 October 1989, —, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Citation needed|date=March 2008}}
 {{ROC}}, National Space Organization ({{zh|c=??????}}), NSPO, 3 October 1991, —, {{No}}, {{Yes}}, {{Yes}}, {{No}}, [150]
 {{THA}}, Geo-Informatics and Space Technology Development Agency ({{lang-th|??????????????????????????????????????????}}), GISTDA ????, 3 November 2002, —, {{No}}, {{Yes}}, {{No}}, {{No}}, [151]
 
