BitTorrent client, Cache [67], Hash Web seeding, HTTP Web seeding, Broad-catching (RSS), Prioritization, Selective downloads, Sequential downloading, SOCKS, Tracker exchange [68], Remote control via web, Search engine, Auto updates, Reviews and Comments, Notes
ABC, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes2}} Separate download, {{no}}, {{no}}, 
Acquisition, {{no}}, {{no}}, , {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, 3 torrents max  infinite when registered
BitComet, {{yes}}, {{no}}, {{yes}}[69], {{beta}}, {{yes}}, {{yes}}, {{yes}}[70], {{yes}}, {{no}}, {{yes}}, {{partial|Built-in Web browser}}, {{yes}}, {{no}}, Portable version available
BitLet, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, 
BitLord, {{yes}}, {{no}}, {{partial|Partial [71][72]}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{partial|Built-in Web browser}}, {{yes}}, {{no}}, 
BitTornado, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes2}} via PMS, {{no}}, 
BitTorrent 5  Mainline, {{no}}, {{yes}}, {{partial|Partial [72]}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, 
BitTorrent 6, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}}[73], {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, 
BitTyrant, {{yes}}, {{yes}}[74], {{yes}}, {{yes2}} Plugin, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes2}} Plugin[75], {{partial|3rd party plugins}}, {{yes}}, {{no}}, Upload priority optimized according to a series of research papers
Blog Torrent, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, 
Deluge, {{yes}}, {{yes}}, {{partial|Partial [71]}}, {{yes2}} Plugin, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes2}} via PMS, {{no}}, 
FlashGet, {{no}}, {{no}}, , {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, FlashGet (standalone application) is not FlashGot (Firefox Addon)
Free Download Manager, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{Optional}}, {{no}}, 
