System, Office Integration, Multi Lingual, Languages Supported, Web-Based, Time Tracking, Attaching Emails to Business Objects, Desktop Environment, Global Search, LDAP Support
 Act! CRM, {{yes}}, {{yes}}, en  de  fr, {{yes}}, , , {{yes}}, {{yes}}, {{No}}
 Adempiere, ?, ?, ?, ?, ?, ?, ?, ?, ?
 Base CRM, {{yes}}, {{yes}}, de  en  es  fr  nl  pl  pt, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}
 CiviCRM, ?, {{yes}}, {{yes}} Over 40, {{yes}} Integrated with Drupal  Wordpress  Joomla! or Backdrop, ?, {{yes}} (when email is sent from software), ?, {{yes}}, ?
 Dolibarr, A module google is available for customer and agenda sync, {{yes}}, Over 30, {{yes}}, {{yes}}, {{yes}} (when email is sent from software), ?, {{yes}}, {{yes}}
 Microsoft Dynamics CRM, {{yes}}, {{yes}}, {{yes}} over 40, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}} with ADFS
 Epesi CRM, Any type of file attachments, {{yes}}, ar  bg  cs  da  de  el  en  es  et  fa  fi  fr  he  hr  hu  id  in  it  jp  ko  lt  nl  no  pl  pt  ro  ru  sk  sl  sr  sv  th  tr  vi  zh, {{yes}}, {{yes}}, {{yes}}, ?, ?, ?
 GNU Enterprise, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, ?, ?, ?, ?
 Group-Office, {{yes}}, {{yes}}, Over 20 languages, {{yes}}, {{yes}}, ?, ?, ?, ?
 HubSpot CRM Free, Gmail  G Suite  Outlook  Office 365 for Windows[6], {{Yes}}, en  fr  jp  de  pt  es[7], {{Yes}}[6], {{No}}, {{Yes}}[8], {{Yes}}[9], {{Yes}}, {{No}}
 Neolane, ?, ?, ?, ?, ?, ?, ?, ?, ?
 Nutshell CRM, Google Apps  Microsoft Exchange, {{no}}, {{en icon}}, {{yes}}, {{no}}, {{yes}}, ?, {{yes}}, ?
 Pega CRM[4], ?, ?, ?, ?, ?, ?, ?, {{Maybe}}[10], {{Yes}}[11]
 Pipedrive, {{yes}}, {{yes}}, de  en  es  et  fi  fr  it  no  nl  pl  pt  ru  tr  ko  ja, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Pivotal CRM, {{yes}}, {{yes}}, {{yes}}, Web/Windows, ?, {{yes}}, ?, {{yes}}, {{yes}}
 Really Simple Systems, {{yes}}, {{No}}, en, {{yes}}, {{No}}, ?, ?, ?, ?
 SageCRM, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, ?
 Salesbox CRM, {{yes}}, {{yes}}, de  en  es  fr  nl  pt  se  no  fi  tr  ro  ru  jp  ch  ko  hu, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}
 Salesforce.com[12], {{yes}}, {{yes}}, en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}
 Siebel, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, ?, ?, {{yes}}
 SAP CRM, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , {{yes}}, {{yes}}
 SAP Cloud for Customer, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , {{yes}}, {{yes}}
 Streak, via Google Docs, {{yes}}, de  en  es  fr  it  nl  pl  pt  pt-br  ru  zh-cn, {{yes}}, {{no}}, ?, ?, ?, ?
 SugarCRM, {{yes}} - Outlook  Excel  Word Plugins{{ref|https://support.sugarcrm.com/Documentation/Plug-ins/}}, {{yes}}, sq_AL  ar_SA  bg_BG  ca_ES  zh_CN  hr_HR  cs_CZ  da_DK  nl_NL  en_UK  en_us  et_EE  fi_FI  fr_FR  de_DE  el_EL  he_IL  hu_HU  it_it  ja_JP  ko_KR  lv_LV  lt_LT  nb_NO  pl_PL  pt_PT  pt_BR  ro_RO  ru_RU  sr_RS  sk_SK  es_ES  es_LA  sv_SE  th_TH  zh_TW  tr_TR  uk_UA, {{yes}}, {{yes}}, {{yes}}, ?, {{Yes}}, {{Yes}}
 SuiteCRM, Via Plugin, {{yes}}, 20 languages, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}
 SuperOfficeCRM, {{yes}}, {{yes}}, cn  de  dk  en  es  fi  fr  it  jp  nl  no  ru  se  zh, {{yes}}, {{yes}}, ?, ?, ?, ?
 TeamLab, {{yes}}, {{yes}}, en  de  fr  es  it  ru  lat, {{yes}}, {{yes}}, ?, ?, ?, ?
 Tryton, ?, {{yes}}, bg  ca  cs  de  en  es-ar  es-co  es-es  fr  nl  ru  sl, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 WORKetc, Outlook Addon and Google Docs, {{yes}}, de  en  es  fr  it  nl, {{yes}}, {{yes}}, {{yes}}, ?, {{yes}}, ?
 Zoho CRM, Outlook & MS Office, {{yes}}, en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl  pl, {{yes}}, {{yes}}, {{yes}}, ?, {{yes}}, {{yes}}
 
